catalog	null_order	wl_um	star	localzodi	exozodi	total
hab2hi	2	4.103	13545.5301	7.8953	268.7185	13822.1439
hab2hi	2	4.313	10717.8526	10.2657	275.669	11003.7874
hab2hi	2	4.534	8492.3736	14.1539	282.1688	8788.6964
hab2hi	2	4.767	6722.8137	20.3062	288.2362	7031.3561
hab2hi	2	5.011	5317.0321	29.7404	293.8852	5640.6576
hab2hi	2	5.268	4195.0449	43.7926	298.9525	4537.79
hab2hi	2	5.538	3314.4593	64.1168	303.5226	3682.0987
hab2hi	2	5.822	2612.9169	92.7994	307.6189	3013.3352
hab2hi	2	6.121	2057.7135	132.2182	311.3203	2501.252
hab2hi	2	6.435	1619.5439	185.1153	314.4849	2119.1441
hab2hi	2	6.765	1273.9803	254.503	317.1725	1845.6558
hab2hi	2	7.112	1001.7335	343.5742	319.4809	1664.7885
hab2hi	2	7.476	787.1179	455.5757	321.0792	1563.7728
hab2hi	2	7.86	618.6879	593.6481	322.2997	1534.6357
hab2hi	2	8.263	485.8461	760.6757	323.0977	1569.6196
hab2hi	2	8.686	381.3776	959.1151	323.3331	1663.8258
hab2hi	2	9.132	299.3473	1190.8359	323.1589	1813.3422
hab2hi	2	9.6	234.9619	1456.9826	322.606	2014.5505
hab2hi	2	10.093	184.2054	1757.8672	321.388	2263.4607
hab2hi	2	10.61	144.3015	2092.9003	319.7688	2556.9706
hab2hi	2	11.154	112.9871	2460.5664	317.893	2891.4465
hab2hi	2	11.726	88.5056	2858.4444	315.5259	3262.476
hab2hi	2	12.328	69.267	3283.27	312.9093	3665.4463
hab2hi	2	12.96	54.1968	3731.036	309.8008	4095.0336
hab2hi	2	13.624	42.4043	4197.1226	306.3883	4545.9152
hab2hi	2	14.323	33.1885	4676.4482	302.5989	5012.2356
hab2hi	2	15.058	25.9691	5163.6317	298.705	5488.3058
hab2hi	2	15.83	20.3152	5653.1568	294.3291	5967.8012
hab2hi	2	16.642	15.8878	6139.53	289.8392	6445.257
hab2hi	2	17.495	12.4191	6617.4251	285.0961	6914.9403
hab2hi	2	18.216	10.1642	6993.8038	281.2168	7285.1848
hab2hi	4	4.103	4.6769	5.9215	142.2302	152.8286
hab2hi	4	4.313	3.3555	7.6992	148.2397	159.2944
hab2hi	4	4.534	2.4009	10.6153	154.1546	167.1708
hab2hi	4	4.767	1.7173	15.2297	159.7985	176.7454
hab2hi	4	5.011	1.2278	22.3049	165.3549	188.8876
hab2hi	4	5.268	0.8766	32.8447	170.6651	204.3864
hab2hi	4	5.538	0.6261	48.0868	175.687	224.3999
hab2hi	4	5.822	0.4472	69.5981	180.3193	250.3646
hab2hi	4	6.121	0.3188	99.1688	184.7611	284.2487
hab2hi	4	6.435	0.227	138.8466	188.7929	327.8666
hab2hi	4	6.765	0.1615	190.8911	192.646	383.6986
hab2hi	4	7.112	0.1147	257.696	195.9897	453.8004
hab2hi	4	7.476	0.0815	341.6914	198.9942	540.7671
hab2hi	4	7.86	0.0579	445.2361	201.7254	647.0194
hab2hi	4	8.263	0.0412	570.5067	204.1254	774.6732
