design	catalog	target_yr	short_budget	long_budget	mtime_yr
bracewell4	hab2hi	5.5	100.0000	100.0000	5.4063
bracewell4	hab2hi	5.5	100.0000	153.3608	5.4195
bracewell4	hab2hi	5.5	100.0000	235.1953	5.5010
bracewell4	hab2hi	5.5	100.0000	360.6973	5.5686
bracewell4	hab2hi	5.5	100.0000	553.1681	5.6049
bracewell4	hab2hi	5.5	100.0000	848.3429	5.7400
bracewell4	hab2hi	5.5	100.0000	1301.0252	6.0370
bracewell4	hab2hi	5.5	100.0000	1995.2623	6.3290
bracewell4	hab2hi	5.5	100.0000	3059.9497	6.9002
bracewell4	hab2hi	5.5	100.0000	4692.7625	7.4699
bracewell4	hab2hi	5.5	100.0000	7196.8567	8.7558
bracewell4	hab2hi	5.5	100.0000	11037.1550	10.2757
bracewell4	hab2hi	5.5	100.0000	16926.6662	10.2757
bracewell4	hab2hi	5.5	100.0000	25958.8659	10.2757
bracewell4	hab2hi	5.5	100.0000	39810.7171	10.2757
bracewell4	hab2hi	5.5	153.3608	100.0000	5.4006
bracewell4	hab2hi	5.5	153.3608	153.3608	5.4243
bracewell4	hab2hi	5.5	153.3608	235.1953	5.5229
bracewell4	hab2hi	5.5	153.3608	360.6973	5.6011
bracewell4	hab2hi	5.5	153.3608	553.1681	5.6427
bracewell4	hab2hi	5.5	153.3608	848.3429	5.7662
bracewell4	hab2hi	5.5	153.3608	1301.0252	6.0858
bracewell4	hab2hi	5.5	153.3608	1995.2623	6.3369
bracewell4	hab2hi	5.5	153.3608	3059.9497	6.9336
bracewell4	hab2hi	5.5	153.3608	4692.7625	7.5931
bracewell4	hab2hi	5.5	153.3608	7196.8567	8.7629
bracewell4	hab2hi	5.5	153.3608	11037.1550	10.3045
bracewell4	hab2hi	5.5	153.3608	16926.6662	10.3045
bracewell4	hab2hi	5.5	153.3608	25958.8659	10.3045
bracewell4	hab2hi	5.5	153.3608	39810.7171	10.3045
bracewell4	hab2hi	5.5	235.1953	100.0000	5.4360
bracewell4	hab2hi	5.5	235.1953	153.3608	5.5401
bracewell4	hab2hi	5.5	235.1953	235.1953	5.5839
bracewell4	hab2hi	5.5	235.1953	360.6973	5.6416
bracewell4	hab2hi	5.5	235.1953	553.1681	5.6691
bracewell4	hab2hi	5.5	235.1953	848.3429	5.8681
bracewell4	hab2hi	5.5	235.1953	1301.0252	6.1148
bracewell4	hab2hi	5.5	235.1953	1995.2623	6.4015
bracewell4	hab2hi	5.5	235.1953	3059.9497	6.9447
bracewell4	hab2hi	5.5	235.1953	4692.7625	7.6398
bracewell4	hab2hi	5.5	235.1953	7196.8567	8.7660
bracewell4	hab2hi	5.5	235.1953	11037.1550	10.3485
bracewell4	hab2hi	5.5	235.1953	16926.6662	10.3485
bracewell4	hab2hi	5.5	235.1953	25958.8659	10.3485
bracewell4	hab2hi	5.5	235.1953	39810.7171	10.3485
bracewell4	hab2hi	5.5	360.6973	100.0000	5.5595
bracewell4	hab2hi	5.5	360.6973	153.3608	5.5408
bracewell4	hab2hi	5.5	360.6973	235.1953	5.5824
bracewell4	hab2hi	5.5	360.6973	360.6973	5.5884
bracewell4	hab2hi	5.5	360.6973	553.1681	5.7178
bracewell4	hab2hi	5.5	360.6973	848.3429	5.9170
bracewell4	hab2hi	5.5	360.6973	1301.0252	6.1121
bracewell4	hab2hi	5.5	360.6973	1995.2623	6.4910
bracewell4	hab2hi	5.5	360.6973	3059.9497	6.9686
bracewell4	hab2hi	5.5	360.6973	4692.7625	7.7099
bracewell4	hab2hi	5.5	360.6973	7196.8567	8.8123
bracewell4	hab2hi	5.5	360.6973	11037.1550	10.3996
bracewell4	hab2hi	5.5	360.6973	16926.6662	10.3996
bracewell4	hab2hi	5.5	360.6973	25958.8659	10.3996
bracewell4	hab2hi	5.5	360.6973	39810.7171	10.3996
bracewell4	hab2hi	5.5	553.1681	100.0000	5.6215
bracewell4	hab2hi	5.5	553.1681	153.3608	5.6094
bracewell4	hab2hi	5.5	553.1681	235.1953	5.6454
bracewell4	hab2hi	5.5	553.1681	360.6973	5.7364
bracewell4	hab2hi	5.5	553.1681	553.1681	5.7585
bracewell4	hab2hi	5.5	553.1681	848.3429	6.0440
bracewell4	hab2hi	5.5	553.1681	1301.0252	6.2730
bracewell4	hab2hi	5.5	553.1681	1995.2623	6.5864
bracewell4	hab2hi	5.5	553.1681	3059.9497	7.0494
bracewell4	hab2hi	5.5	553.1681	4692.7625	7.8070
bracewell4	hab2hi	5.5	553.1681	7196.8567	8.9282
bracewell4	hab2hi	5.5	553.1681	11037.1550	10.4528
bracewell4	hab2hi	5.5	553.1681	16926.6662	10.4528
