design	catalog	target_yr	family	amplitude_ph_s_um	mode	mtime_yr	n_universes	wall_s
bracewell4	hab2hi	zero	flat	0.0	strict	5.3193	100	32.3
bracewell4	hab2hi	zero	flat	0.0	nonstrict	5.3035	100	4.7
bracewell4	hab2hi	zero	flat	0.0	retain	5.3193	100	4.6
bracewell4	hab2hi	zero	flat	0.0	corrected	5.3035	100	4.8
bracewell4	hab2hi	5.5	flat	142.4	strict	5.5419	100	26.6
bracewell4	hab2hi	5.5	flat	142.4	nonstrict	5.4190	100	4.8
bracewell4	hab2hi	5.5	flat	142.4	retain	5.5419	100	4.9
bracewell4	hab2hi	5.5	flat	142.4	corrected	5.4190	100	4.7
bracewell4	hab2hi	5.5	short_weighted	298.3	strict	5.4551	100	26.3
bracewell4	hab2hi	5.5	short_weighted	298.3	nonstrict	5.3843	100	4.9
bracewell4	hab2hi	5.5	short_weighted	298.3	retain	5.4551	100	5.0
bracewell4	hab2hi	5.5	short_weighted	298.3	corrected	5.3843	100	4.7
bracewell4	hab2hi	5.5	long_weighted	210.5	strict	5.5262	100	26.4
bracewell4	hab2hi	5.5	long_weighted	210.5	nonstrict	5.4442	100	4.8
bracewell4	hab2hi	5.5	long_weighted	210.5	retain	5.5262	100	4.8
bracewell4	hab2hi	5.5	long_weighted	210.5	corrected	5.4442	100	4.9
bracewell4	hab2hi	6.0	flat	610.3	strict	5.9942	100	26.6
bracewell4	hab2hi	6.0	flat	610.3	nonstrict	5.7809	100	4.9
bracewell4	hab2hi	6.0	flat	610.3	retain	5.9942	100	5.0
bracewell4	hab2hi	6.0	flat	610.3	corrected	5.7809	100	5.0
bracewell4	hab2hi	6.0	short_weighted	1303.1	strict	6.0463	100	27.2
bracewell4	hab2hi	6.0	short_weighted	1303.1	nonstrict	5.7298	100	4.7
bracewell4	hab2hi	6.0	short_weighted	1303.1	retain	6.0463	100	5.0
bracewell4	hab2hi	6.0	short_weighted	1303.1	corrected	5.7298	100	4.9
bracewell4	hab2hi	6.0	long_weighted	1089.3	strict	5.9627	100	27.4
bracewell4	hab2hi	6.0	long_weighted	1089.3	nonstrict	5.8403	100	4.9
bracewell4	hab2hi	6.0	long_weighted	1089.3	retain	5.9627	100	5.1
bracewell4	hab2hi	6.0	long_weighted	1089.3	corrected	5.8403	100	5.0
