design	catalog	target_yr	family	amplitude_ph_s_um	mode	mtime_yr	n_universes	wall_s
bracewell4	hab2lo	zero	flat	0.0	strict	7.4097	100	38.0
bracewell4	hab2lo	zero	flat	0.0	nonstrict	7.3129	100	4.2
bracewell4	hab2lo	zero	flat	0.0	retain	7.4097	100	4.8
bracewell4	hab2lo	zero	flat	0.0	corrected	7.3129	100	4.5
bracewell4	hab2lo	7.5	flat	62.2	strict	7.4864	100	32.9
bracewell4	hab2lo	7.5	flat	62.2	nonstrict	7.3777	100	4.2
bracewell4	hab2lo	7.5	flat	62.2	retain	7.4864	100	4.7
bracewell4	hab2lo	7.5	flat	62.2	corrected	7.3777	100	4.4
bracewell4	hab2lo	7.5	short_weighted	197.9	strict	7.5237	100	33.1
bracewell4	hab2lo	7.5	short_weighted	197.9	nonstrict	7.4105	100	4.4
bracewell4	hab2lo	7.5	short_weighted	197.9	retain	7.5237	100	4.5
bracewell4	hab2lo	7.5	short_weighted	197.9	corrected	7.4105	100	4.4
bracewell4	hab2lo	7.5	long_weighted	156.7	strict	7.5289	100	32.6
bracewell4	hab2lo	7.5	long_weighted	156.7	nonstrict	7.4015	100	4.5
bracewell4	hab2lo	7.5	long_weighted	156.7	retain	7.5289	100	4.7
bracewell4	hab2lo	7.5	long_weighted	156.7	corrected	7.4015	100	4.1
bracewell4	hab2lo	8.0	flat	462.8	strict	8.0407	100	30.3
bracewell4	hab2lo	8.0	flat	462.8	nonstrict	7.9320	100	3.8
bracewell4	hab2lo	8.0	flat	462.8	retain	8.0407	100	3.7
bracewell4	hab2lo	8.0	flat	462.8	corrected	7.9320	100	4.2
bracewell4	hab2lo	8.0	short_weighted	973.9	strict	8.0855	100	32.8
bracewell4	hab2lo	8.0	short_weighted	973.9	nonstrict	7.9198	100	4.6
bracewell4	hab2lo	8.0	short_weighted	973.9	retain	8.0855	100	4.5
bracewell4	hab2lo	8.0	short_weighted	973.9	corrected	7.9198	100	4.3
bracewell4	hab2lo	8.0	long_weighted	810.1	strict	7.9944	100	32.9
bracewell4	hab2lo	8.0	long_weighted	810.1	nonstrict	7.8945	100	3.6
bracewell4	hab2lo	8.0	long_weighted	810.1	retain	7.9944	100	4.3
bracewell4	hab2lo	8.0	long_weighted	810.1	corrected	7.8945	100	5.1
