design	catalog	target_yr	family	strict_B2	corrected	change_pct
bracewell4	hab2hi	5.5	flat	142.4	201.2	+41.3
bracewell4	hab2hi	5.5	short_weighted	298.3	437.6	+46.7
bracewell4	hab2hi	5.5	long_weighted	210.5	407.9	+93.8
bracewell4	hab2hi	6.0	flat	610.3	820.2	+34.4
bracewell4	hab2hi	6.0	short_weighted	1303.1	1795.1	+37.8
bracewell4	hab2hi	6.0	long_weighted	1089.3	1359.3	+24.8
bracewell4	hab2lo	7.5	flat	62.2	121.3	+94.9
bracewell4	hab2lo	7.5	short_weighted	197.9	280.1	+41.5
bracewell4	hab2lo	7.5	long_weighted	156.7	231.4	+47.7
bracewell4	hab2lo	8.0	flat	462.8	506.5	+9.5
bracewell4	hab2lo	8.0	short_weighted	973.9	1142.3	+17.3
bracewell4	hab2lo	8.0	long_weighted	810.1	1048.7	+29.5
triple6	hab2hi	4.0	flat	241.4	346.6	+43.6
triple6	hab2hi	4.0	short_weighted	403.1	457.1	+13.4
triple6	hab2hi	4.0	long_weighted	556.9	893.8	+60.5
triple6	hab2hi	4.5	flat	701.6	890.8	+27.0
triple6	hab2hi	4.5	short_weighted	1384.9	1570.2	+13.4
triple6	hab2hi	4.5	long_weighted	1762.0	2105.3	+19.5
triple6	hab2lo	5.5	flat	177.3	265.9	+50.0
triple6	hab2lo	5.5	short_weighted	226.1	361.1	+59.7
triple6	hab2lo	5.5	long_weighted	602.2	781.3	+29.7
triple6	hab2lo	6.0	flat	409.0	520.0	+27.1
triple6	hab2lo	6.0	short_weighted	733.9	955.5	+30.2
triple6	hab2lo	6.0	long_weighted	1313.7	1359.8	+3.5
