design	catalog	target_yr	family	amplitude_ph_s_um	mode	mtime_yr	n_universes	wall_s
triple6	hab2hi	zero	flat	0.0	strict	3.7191	100	43.8
triple6	hab2hi	zero	flat	0.0	nonstrict	3.6309	100	6.3
triple6	hab2hi	zero	flat	0.0	retain	3.7191	100	6.5
triple6	hab2hi	zero	flat	0.0	corrected	3.6309	100	6.4
triple6	hab2hi	4.0	flat	241.4	strict	4.0447	100	37.2
triple6	hab2hi	4.0	flat	241.4	nonstrict	3.9557	100	6.7
triple6	hab2hi	4.0	flat	241.4	retain	4.0447	100	6.7
triple6	hab2hi	4.0	flat	241.4	corrected	3.9557	100	6.6
triple6	hab2hi	4.0	short_weighted	403.1	strict	4.0264	100	36.5
triple6	hab2hi	4.0	short_weighted	403.1	nonstrict	3.8849	100	6.1
triple6	hab2hi	4.0	short_weighted	403.1	retain	4.0264	100	6.7
triple6	hab2hi	4.0	short_weighted	403.1	corrected	3.8849	100	6.7
triple6	hab2hi	4.0	long_weighted	556.9	strict	4.0114	100	34.5
triple6	hab2hi	4.0	long_weighted	556.9	nonstrict	3.8903	100	5.2
triple6	hab2hi	4.0	long_weighted	556.9	retain	4.0114	100	5.6
triple6	hab2hi	4.0	long_weighted	556.9	corrected	3.8903	100	6.1
triple6	hab2hi	4.5	flat	701.6	strict	4.5139	100	36.9
triple6	hab2hi	4.5	flat	701.6	nonstrict	4.3251	100	6.4
triple6	hab2hi	4.5	flat	701.6	retain	4.5139	100	6.5
triple6	hab2hi	4.5	flat	701.6	corrected	4.3251	100	6.6
triple6	hab2hi	4.5	short_weighted	1384.9	strict	4.4811	100	36.1
triple6	hab2hi	4.5	short_weighted	1384.9	nonstrict	4.4136	100	6.2
triple6	hab2hi	4.5	short_weighted	1384.9	retain	4.4811	100	6.2
triple6	hab2hi	4.5	short_weighted	1384.9	corrected	4.4136	100	5.4
triple6	hab2hi	4.5	long_weighted	1762.0	strict	4.5112	100	28.7
triple6	hab2hi	4.5	long_weighted	1762.0	nonstrict	4.3986	100	5.3
triple6	hab2hi	4.5	long_weighted	1762.0	retain	4.5112	100	5.3
triple6	hab2hi	4.5	long_weighted	1762.0	corrected	4.3986	100	5.1
