design	catalog	target_yr	family	amplitude_ph_s_um	mode	mtime_yr	n_universes	wall_s
triple6	hab2lo	zero	flat	0.0	strict	5.0851	100	40.8
triple6	hab2lo	zero	flat	0.0	nonstrict	4.9840	100	4.2
triple6	hab2lo	zero	flat	0.0	retain	5.0851	100	4.3
triple6	hab2lo	zero	flat	0.0	corrected	4.9840	100	4.3
triple6	hab2lo	5.5	flat	177.3	strict	5.5337	100	33.9
triple6	hab2lo	5.5	flat	177.3	nonstrict	5.4155	100	4.4
triple6	hab2lo	5.5	flat	177.3	retain	5.5337	100	4.4
triple6	hab2lo	5.5	flat	177.3	corrected	5.4155	100	4.6
triple6	hab2lo	5.5	short_weighted	226.1	strict	5.4806	100	34.0
triple6	hab2lo	5.5	short_weighted	226.1	nonstrict	5.3641	100	4.1
triple6	hab2lo	5.5	short_weighted	226.1	retain	5.4806	100	4.2
triple6	hab2lo	5.5	short_weighted	226.1	corrected	5.3641	100	4.2
triple6	hab2lo	5.5	long_weighted	602.2	strict	5.4900	100	33.5
triple6	hab2lo	5.5	long_weighted	602.2	nonstrict	5.4345	100	3.8
triple6	hab2lo	5.5	long_weighted	602.2	retain	5.4900	100	4.2
triple6	hab2lo	5.5	long_weighted	602.2	corrected	5.4345	100	3.6
triple6	hab2lo	6.0	flat	409.0	strict	6.0275	100	30.5
triple6	hab2lo	6.0	flat	409.0	nonstrict	5.7447	100	4.3
triple6	hab2lo	6.0	flat	409.0	retain	6.0275	100	4.2
triple6	hab2lo	6.0	flat	409.0	corrected	5.7447	100	4.1
triple6	hab2lo	6.0	short_weighted	733.9	strict	5.9911	100	33.9
triple6	hab2lo	6.0	short_weighted	733.9	nonstrict	5.8774	100	4.5
triple6	hab2lo	6.0	short_weighted	733.9	retain	5.9911	100	4.4
triple6	hab2lo	6.0	short_weighted	733.9	corrected	5.8774	100	4.3
triple6	hab2lo	6.0	long_weighted	1313.7	strict	6.0363	100	33.1
triple6	hab2lo	6.0	long_weighted	1313.7	nonstrict	5.9267	100	4.4
triple6	hab2lo	6.0	long_weighted	1313.7	retain	6.0363	100	4.1
triple6	hab2lo	6.0	long_weighted	1313.7	corrected	5.9267	100	4.1
