nstar	snr_ref	snr_t6	ratio	ratio_equal_area	in_ref_top50
0	23.1896	99.5377	4.29234	3.50584	True
1	22.3625	58.5249	2.61711	2.13757	True
2	11.3413	18.0874	1.59482	1.3026	True
4	2.95987	5.01443	1.69414	1.38372	False
5	8.72031	11.3724	1.30413	1.06517	False
6	3.19607	5.00093	1.56471	1.27801	False
7	3.33766	4.96058	1.48624	1.21391	False
8	12.2727	18.9386	1.54314	1.26039	True
9	1.45038	1.87136	1.29026	1.05384	False
10	15.8607	25.898	1.63285	1.33365	True
11	1.92369	2.79121	1.45097	1.1851	False
12	1.37722	1.76562	1.28202	1.04711	False
13	0.551206	0.919545	1.66824	1.36257	False
14	1.32525	1.7163	1.29508	1.05778	False
15	1.98212	2.57114	1.29717	1.05948	False
16	2.73977	4.2276	1.54305	1.26031	False
17	2.53917	3.32049	1.30771	1.06809	False
18	0.807493	1.03019	1.27578	1.04202	False
20	0.820542	1.04714	1.27615	1.04232	False
22	2.37891	3.42736	1.44072	1.17674	False
23	0.911693	1.15749	1.26961	1.03697	False
24	0.536871	0.676269	1.25965	1.02884	False
25	1.74453	2.3917	1.37096	1.11976	False
26	1.04119	1.28006	1.22942	1.00415	False
28	1.1844	1.63661	1.38181	1.12862	False
29	2.73268	4.14182	1.51567	1.23795	False
30	0.89697	1.14742	1.27922	1.04482	False
31	1.1248	1.41522	1.25819	1.02765	False
33	0.91963	1.1342	1.23332	1.00734	False
34	0.694496	0.814733	1.17313	0.958172	False
35	1.55395	2.07992	1.33847	1.09322	False
36	0.417479	0.526302	1.26067	1.02967	False
38	0.997405	1.40335	1.407	1.14919	False
40	0.707638	0.857216	1.21138	0.989413	False
41	0.822661	0.855409	1.03981	0.849281	False
43	0.544546	0.486198	0.89285	0.729251	False
44	3.90498	6.80599	1.7429	1.42354	False
46	0.668189	0.798476	1.19498	0.976024	False
47	0.708101	0.607989	0.858619	0.701292	False
50	0.348421	0.266009	0.76347	0.623578	False
56	3.87753	4.34234	1.11987	0.914676	False
59	5.96009	8.0707	1.35412	1.106	False
60	4.10167	7.04325	1.71717	1.40253	False
61	5.05157	6.68	1.32236	1.08006	False
62	11.0666	16.2961	1.47254	1.20273	True
63	40.1582	70.0531	1.74443	1.42479	True
64	0.27049	0.356646	1.31852	1.07692	False
65	27.5105	44.3099	1.61065	1.31553	True
66	30.2153	52.011	1.72135	1.40594	True
67	7.82142	9.83413	1.25733	1.02695	False
68	14.7198	22.5234	1.53014	1.24977	True
69	5.0935	7.4733	1.46722	1.19838	False
70	1.77069	2.59056	1.46303	1.19495	False
71	5.55953	7.05467	1.26893	1.03642	False
72	5.42369	7.84316	1.44609	1.18112	False
73	7.01019	10.9027	1.55526	1.27029	False
75	8.76698	12.2179	1.39363	1.13827	False
76	3.91205	5.57564	1.42525	1.1641	False
77	1.75388	1.85597	1.05821	0.864308	False
78	4.38855	6.5903	1.50171	1.22654	False
79	14.9013	22.7744	1.52835	1.24831	True
80	8.46192	14.7505	1.74316	1.42376	False
82	4.8496	9.68275	1.99661	1.63076	False
83	20.4377	29.5632	1.4465	1.18146	True
84	2.00536	2.71244	1.35259	1.10475	False
85	1.80076	2.4838	1.3793	1.12657	False
86	5.2185	7.24859	1.38902	1.1345	False
87	9.14081	15.3436	1.67858	1.37101	False
88	0.890172	1.62119	1.82121	1.48751	False
89	4.24869	6.92878	1.6308	1.33199	False
91	20.3493	34.0106	1.67134	1.3651	True
92	13.1897	23.8893	1.81122	1.47934	True
94	7.05243	9.41062	1.33438	1.08988	False
95	2.97117	4.03228	1.35713	1.10846	False
96	5.95508	8.34886	1.40197	1.14509	False
97	9.38476	12.9074	1.37535	1.12334	False
98	50.6108	108.662	2.14702	1.75361	True
99	5.49973	7.91513	1.43918	1.17548	False
100	17.5238	27.2938	1.55753	1.27214	True
101	6.00442	8.24628	1.37337	1.12172	False
102	3.89569	5.98493	1.5363	1.2548	False
103	2.26371	2.60336	1.15004	0.939315	False
104	0.722884	0.912119	1.26178	1.03058	False
105	13.2314	20.6196	1.55838	1.27284	True
106	6.46356	9.9391	1.53771	1.25595	False
107	5.15761	9.22789	1.78918	1.46134	False
108	0.779661	1.17513	1.50723	1.23106	False
109	2.37258	3.18074	1.34063	1.09498	False
111	71.7645	106.921	1.48989	1.21689	True
113	2.97022	3.91091	1.31671	1.07544	False
114	5.51719	7.77456	1.40915	1.15095	False
115	18.8969	26.6713	1.41141	1.15279	True
116	3.06849	4.58569	1.49445	1.22061	False
117	7.10881	9.30838	1.30941	1.06949	False
118	53.6617	115.024	2.1435	1.75074	True
119	9.07421	11.9433	1.31618	1.07502	False
120	8.17797	13.6637	1.67079	1.36465	False
121	5.83332	9.63667	1.65201	1.3493	False
122	1.43583	2.20182	1.53348	1.2525	False
123	1.92013	2.63019	1.3698	1.11881	False
125	0.651798	0.985899	1.51258	1.23543	False
127	2.07254	3.50469	1.69101	1.38116	False
128	0.575966	0.820862	1.42519	1.16405	False
129	2.19628	4.63756	2.11155	1.72464	False
130	13.8676	19.2361	1.38712	1.13296	True
133	4.70169	6.28239	1.3362	1.09136	False
134	3.47904	5.99884	1.72428	1.40834	False
135	3.73433	5.23518	1.40191	1.14503	False
136	2.90143	3.73477	1.28722	1.05136	False
137	3.75815	5.52585	1.47036	1.20094	False
138	9.94384	15.3244	1.54109	1.25872	True
139	8.2931	12.9278	1.55886	1.27323	False
140	0.815925	1.0686	1.30968	1.06971	False
142	2.62432	3.67263	1.39946	1.14303	False
143	1.97775	2.93996	1.48652	1.21414	False
144	1.41349	1.92281	1.36033	1.11107	False
145	16.4136	22.5988	1.37683	1.12455	True
146	1.82329	2.43562	1.33584	1.09107	False
147	1.33141	1.82318	1.36937	1.11845	False
148	1.53756	2.22278	1.44566	1.18076	False
149	10.7004	18.3188	1.71198	1.39829	True
151	2.47729	3.21374	1.29728	1.05957	False
152	1.37538	2.13344	1.55117	1.26694	False
153	2.28866	3.45211	1.50836	1.23198	False
154	3.01613	3.96328	1.31403	1.07326	False
