nstar	snr_ref	snr_t6	ratio	ratio_equal_area	in_ref_top50
0	23.251	95.2908	4.09836	3.34741	True
1	13.499	38.3015	2.83736	2.31746	True
2	10.91	13.1981	1.20972	0.98806	True
4	3.08144	3.93306	1.27637	1.0425	False
5	10.5864	16.1551	1.52603	1.24641	True
6	1.31495	1.68112	1.27847	1.04421	False
7	2.12283	2.95192	1.39056	1.13576	False
8	6.10977	8.26191	1.35224	1.10447	False
9	1.12374	1.47654	1.31395	1.07319	False
10	11.8309	18.2345	1.54126	1.25885	True
11	1.5486	2.15082	1.38888	1.13439	False
12	1.91285	2.55302	1.33467	1.09011	False
13	0.500958	0.662815	1.32309	1.08066	False
14	1.82518	2.90662	1.59252	1.30071	False
15	6.60632	9.83957	1.48942	1.21651	False
16	2.3261	3.05071	1.31151	1.0712	False
17	3.28368	4.50509	1.37197	1.12058	False
18	0.567767	0.728397	1.28292	1.04784	False
20	0.563301	0.743547	1.31998	1.07812	False
22	2.51242	4.94926	1.96991	1.60896	False
23	0.940424	1.22751	1.30528	1.06611	False
24	0.805351	1.19498	1.4838	1.21192	False
25	2.3211	3.32501	1.43251	1.17003	False
26	1.54645	1.53779	0.994401	0.812194	False
28	0.393163	0.539771	1.37289	1.12133	False
29	2.00373	2.58777	1.29148	1.05484	False
30	0.816323	1.02086	1.25056	1.02142	False
31	3.01165	4.23316	1.4056	1.14805	False
33	1.51699	2.49526	1.64488	1.34348	False
34	1.12812	1.5035	1.33275	1.08854	False
35	1.81263	2.42097	1.33561	1.09088	False
36	0.555201	0.696658	1.25479	1.02487	False
38	1.35396	1.81781	1.34259	1.09658	False
40	0.833158	0.993627	1.1926	0.974079	False
41	0.297538	0.283788	0.953785	0.77902	False
43	0.781962	0.836032	1.06915	0.873244	False
44	4.75966	7.34829	1.54387	1.26098	False
46	0.710577	0.594928	0.837247	0.683836	False
47	0.448476	0.29046	0.64766	0.528988	False
50	0.542269	0.505224	0.931685	0.76097	False
56	8.08209	13.2494	1.63935	1.33897	False
59	5.91263	6.67866	1.12956	0.922586	False
60	3.94243	5.46161	1.38534	1.1315	False
61	3.61253	4.51699	1.25037	1.02126	False
62	9.78171	15.176	1.55147	1.26719	True
63	48.1946	63.3444	1.31434	1.07351	True
64	0.121785	0.145792	1.19712	0.97777	False
65	18.2768	25.5782	1.39949	1.14306	True
66	36.8873	57.2023	1.55073	1.26659	True
67	5.78883	7.16661	1.23801	1.01116	False
68	7.80211	10.3266	1.32356	1.08104	False
69	4.21787	5.89516	1.39767	1.14157	False
70	1.85676	2.39705	1.29098	1.05443	False
71	5.28766	7.23184	1.36768	1.11708	False
72	6.83462	8.35172	1.22197	0.998069	False
73	7.0391	9.34301	1.3273	1.0841	False
75	4.87657	8.18416	1.67826	1.37075	False
76	4.58181	6.31602	1.3785	1.12591	False
77	1.79919	3.31069	1.8401	1.50294	False
78	3.62086	6.64805	1.83604	1.49962	False
79	13.9271	17.7671	1.27573	1.04197	True
80	14.3219	23.3885	1.63306	1.33383	True
82	5.07966	7.66683	1.50932	1.23276	False
83	24.5418	37.3664	1.52256	1.24357	True
84	3.15872	5.3072	1.68017	1.37231	False
85	1.98086	3.11638	1.57325	1.28498	False
86	5.23154	7.41949	1.41822	1.15836	False
87	12.3331	18.6011	1.50822	1.23187	True
88	1.17595	1.76767	1.50318	1.22775	False
89	5.20062	7.21965	1.38823	1.13386	False
91	19.4013	43.1155	2.2223	1.81511	True
92	18.1942	26.8229	1.47426	1.20413	True
94	3.53601	7.17857	2.03013	1.65815	False
95	4.06553	7.98293	1.96356	1.60377	False
96	5.75972	8.81873	1.5311	1.25056	False
97	4.31566	5.64597	1.30825	1.06854	False
98	43.2904	73.154	1.68984	1.38021	True
99	6.50314	8.82097	1.35642	1.10788	False
100	17.2673	26.1602	1.51501	1.23741	True
101	3.77448	4.78634	1.26808	1.03573	False
102	4.58838	6.40302	1.39549	1.13979	False
103	2.28132	3.03547	1.33057	1.08677	False
104	0.756869	1.90137	2.51215	2.05184	False
105	4.76609	6.36926	1.33637	1.0915	False
106	8.74819	13.5984	1.55443	1.26961	False
107	3.31131	4.94352	1.49292	1.21937	False
108	0.563953	0.734674	1.30272	1.06402	False
109	1.11354	1.38853	1.24696	1.01847	False
111	44.9229	61.8979	1.37787	1.1254	True
113	3.20127	3.98826	1.24584	1.01756	False
114	4.73053	7.45699	1.57635	1.28751	False
115	7.88984	11.9275	1.51176	1.23475	False
116	4.10836	5.80169	1.41217	1.15341	False
117	8.17222	11.6518	1.42579	1.16454	False
118	85.6498	188.584	2.2018	1.79836	True
119	11.587	16.9364	1.46168	1.19385	True
120	6.65983	10.3263	1.55054	1.26643	False
121	5.07915	6.90106	1.3587	1.10974	False
122	0.778404	0.985692	1.2663	1.03427	False
123	1.6947	2.37076	1.39893	1.1426	False
125	0.327692	0.420397	1.2829	1.04783	False
127	3.96005	7.20915	1.82047	1.4869	False
128	0.495601	0.655689	1.32302	1.0806	False
129	1.82813	3.73202	2.04144	1.66738	False
130	9.91734	15.03	1.51553	1.23783	True
133	10.3486	15.8512	1.53173	1.25107	True
