timestamp	catalog	null_order	throughput	eff_tot	mtime_zero_budget_yr	wall_s
2026-07-27T19:10:32+00:00	hab2hi	2	0.15	0.09	5.318721	14.9
2026-07-27T19:10:44+00:00	hab2hi	4	0.15	0.09	4.467216	11.7
2026-07-27T19:11:08+00:00	hab2hi	2	0.125	0.075	6.452808	10.2
2026-07-27T19:11:19+00:00	hab2hi	4	0.125	0.075	5.021678	11.2
2026-07-27T19:11:43+00:00	hab2hi	2	0.1	0.06	7.667634	11.0
2026-07-27T19:11:55+00:00	hab2hi	4	0.1	0.06	6.093191	11.3
2026-07-27T19:12:23+00:00	hab2hi	2	0.075	0.045	9.71224	13.3
2026-07-27T19:12:36+00:00	hab2hi	4	0.075	0.045	7.653264	12.7
2026-07-27T19:12:57+00:00	hab2lo	2	0.15	0.09	7.409976	9.8
2026-07-27T19:13:07+00:00	hab2lo	4	0.15	0.09	6.04165	10.7
2026-07-27T19:13:29+00:00	hab2lo	2	0.125	0.075	8.602286	10.1
2026-07-27T19:13:41+00:00	hab2lo	4	0.125	0.075	7.001819	11.1
2026-07-27T19:14:02+00:00	hab2lo	2	0.1	0.06	10.400762	9.4
2026-07-27T19:14:12+00:00	hab2lo	4	0.1	0.06	8.547633	9.5
2026-07-27T19:14:30+00:00	hab2lo	2	0.075	0.045	13.268285	8.8
2026-07-27T19:14:40+00:00	hab2lo	4	0.075	0.045	10.7874	9.8
