design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
bracewell4	hab2hi	5.75	flat	0	813.5140	5.7790	converged	0.0000	877.1376	5	corrected	458.4
bracewell4	hab2hi	5.75	flat	1	737.4881	5.7058	converged	0.0000	927.6080	5	corrected	448.0
bracewell4	hab2hi	5.75	flat	2	609.9880	5.7728	converged	0.0000	747.3584	5	corrected	439.6
bracewell4	hab2hi	5.75	flat	3	473.1356	5.7556	converged	368.3111	911.8813	5	corrected	455.3
bracewell4	hab2hi	5.75	flat	4	695.3889	5.7540	converged	0.0000	1754.0911	4	corrected	376.5
bracewell4	hab2hi	5.75	flat	5	527.9061	5.7954	converged	507.0301	542.0062	8	corrected	666.8
bracewell4	hab2hi	5.75	flat	6	574.7237	5.7843	converged	0.0000	1235.9413	4	corrected	368.0
bracewell4	hab2hi	5.75	flat	7	594.6469	5.7478	converged	0.0000	699.2412	5	corrected	438.0
bracewell4	hab2hi	5.75	flat	8	466.1409	5.7908	converged	0.0000	519.4517	6	corrected	523.0
bracewell4	hab2hi	5.75	flat	9	760.8146	5.7977	converged	0.0000	1534.5291	4	corrected	375.2
bracewell4	hab2hi	5.75	flat	10	372.3221	5.7350	converged	0.0000	527.6089	5	corrected	441.4
bracewell4	hab2hi	5.75	flat	11	559.8142	5.7955	converged	0.0000	655.3398	5	corrected	446.4
bracewell4	hab2hi	5.75	flat	12	934.5823	5.7941	converged	0.0000	2050.1682	4	corrected	371.2
bracewell4	hab2hi	5.75	flat	13	573.8814	5.7472	converged	0.0000	1315.2453	4	corrected	379.3
bracewell4	hab2hi	5.75	flat	14	726.5926	5.7530	converged	0.0000	778.4362	5	corrected	443.0
bracewell4	hab2hi	5.75	flat	15	495.9138	5.7732	converged	0.0000	1258.2431	4	corrected	375.9
bracewell4	hab2hi	5.75	flat	16	774.5511	5.7849	converged	0.0000	868.7005	5	corrected	455.3
bracewell4	hab2hi	5.75	flat	17	717.6779	5.7230	converged	0.0000	1585.1756	4	corrected	376.8
bracewell4	hab2hi	5.75	flat	18	803.5667	5.7985	converged	0.0000	1693.6470	4	corrected	373.4
bracewell4	hab2hi	5.75	flat	19	591.5346	5.7546	converged	0.0000	1245.4882	4	corrected	378.0
bracewell4	hab2hi	5.75	flat	20	572.0462	5.7868	converged	0.0000	1123.3148	4	corrected	363.1
bracewell4	hab2hi	5.75	flat	21	517.5721	5.7633	converged	0.0000	624.3604	5	corrected	458.0
bracewell4	hab2hi	5.75	flat	22	349.8571	5.7743	converged	0.0000	455.9120	5	corrected	447.6
bracewell4	hab2hi	5.75	flat	23	433.0602	5.7904	converged	0.0000	1019.1928	4	corrected	374.5
bracewell4	hab2hi	5.75	flat	24	481.9115	5.7076	converged	442.9102	521.0058	6	corrected	515.0
bracewell4	hab2hi	5.75	flat	25	485.1415	5.7967	converged	436.9767	516.2576	6	corrected	514.2
bracewell4	hab2hi	5.75	flat	26	269.7640	5.7318	converged	0.0000	732.5707	4	corrected	371.5
bracewell4	hab2hi	5.75	flat	27	509.1817	5.7394	converged	0.0000	581.4195	6	corrected	517.0
bracewell4	hab2hi	5.75	flat	28	669.8130	5.7785	converged	0.0000	848.6452	5	corrected	436.8
bracewell4	hab2hi	5.75	flat	29	661.8683	5.7407	converged	0.0000	1599.8986	4	corrected	371.4
bracewell4	hab2hi	5.75	flat	30	616.3601	5.7034	converged	573.3361	687.8285	6	corrected	519.2
bracewell4	hab2hi	5.75	flat	31	671.2667	5.7763	converged	0.0000	773.5686	5	corrected	441.9
bracewell4	hab2hi	5.75	flat	32	504.8512	5.7109	converged	0.0000	564.9363	5	corrected	439.5
bracewell4	hab2hi	5.75	flat	33	697.0094	5.6459	converged	697.0094	706.8826	9	corrected	730.6
bracewell4	hab2hi	5.75	flat	34	678.2229	5.7361	converged	0.0000	801.5953	5	corrected	443.6
bracewell4	hab2hi	5.75	flat	35	359.4429	5.7734	converged	0.0000	864.2338	4	corrected	360.0
bracewell4	hab2hi	5.75	flat	36	651.6772	5.7537	converged	0.0000	784.8195	5	corrected	446.9
bracewell4	hab2hi	5.75	flat	37	687.8319	5.7428	converged	0.0000	1635.9774	4	corrected	361.0
bracewell4	hab2hi	5.75	flat	38	665.4356	5.6747	converged	665.4356	672.1389	10	corrected	834.6
bracewell4	hab2hi	5.75	flat	39	446.1246	5.7636	converged	0.0000	650.6829	5	corrected	439.6
bracewell4	hab2hi	5.75	flat	40	567.4532	5.7014	converged	0.0000	749.1508	5	corrected	451.0
bracewell4	hab2hi	5.75	flat	41	687.2965	5.7945	converged	0.0000	1548.5684	4	corrected	378.4
bracewell4	hab2hi	5.75	flat	42	480.8636	5.7220	converged	0.0000	1256.7832	4	corrected	376.5
bracewell4	hab2hi	5.75	flat	43	919.0388	5.7147	converged	0.0000	1179.9861	5	corrected	440.0
bracewell4	hab2hi	5.75	flat	44	750.4695	5.7853	converged	0.0000	1682.0296	4	corrected	372.5
bracewell4	hab2hi	5.75	flat	45	872.0436	5.7862	converged	0.0000	1942.3824	4	corrected	367.7
bracewell4	hab2hi	5.75	flat	46	431.5762	5.7267	converged	0.0000	509.4844	5	corrected	440.5
bracewell4	hab2hi	5.75	flat	47	761.4838	5.7600	converged	685.4996	1615.1171	5	corrected	442.1
bracewell4	hab2hi	5.75	flat	48	381.2940	5.7093	converged	359.7267	454.5177	7	corrected	580.8
bracewell4	hab2hi	5.75	flat	49	667.5201	5.7827	converged	0.0000	1515.2439	4	corrected	363.0
