replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
0	0	2.250942	0.475002	2.065019	4.790963
0	1	2.250942	0.460797	1.924068	4.635807
0	2	2.250942	0.513736	2.449359	5.214037
0	3	2.250942	0.453460	2.274977	4.979379
0	4	2.250942	0.513736	2.449359	5.214037
0	5	2.250942	0.553923	2.848114	5.652979
0	6	2.250942	0.460797	1.924068	4.635807
0	7	2.250942	0.513736	2.449359	5.214037
0	8	2.250942	0.522614	2.537452	5.311008
0	9	2.250942	0.530254	2.613260	5.394457
0	10	2.250942	0.417597	1.495420	4.163959
0	11	2.250942	0.499184	2.304971	5.055098
0	12	2.250942	0.559553	3.062873	5.873368
0	13	2.250942	0.540846	2.718361	5.510149
0	14	2.250942	0.460797	1.924068	4.635807
0	15	2.250942	0.499774	2.310825	5.061541
0	16	2.250942	0.417597	1.495420	4.163959
0	17	2.250942	0.465595	1.971679	4.688216
0	18	2.250942	0.480984	2.495119	5.227045
0	19	2.250942	0.542033	2.889027	5.682002
0	20	2.250942	0.465595	1.971679	4.688216
0	21	2.250942	0.476540	2.080277	4.807759
0	22	2.250942	0.499138	2.304506	5.054586
0	23	2.250942	0.603679	3.341814	6.196435
0	24	2.250942	0.546158	2.771064	5.568164
0	25	2.250942	0.548702	2.796313	5.595957
0	26	2.250942	0.522649	2.537795	5.311386
0	27	2.250942	0.516794	2.479698	5.247434
0	28	2.250942	0.476540	2.080277	4.807759
0	29	2.250942	0.553923	2.848114	5.652979
0	30	2.250942	0.544136	2.751008	5.546087
0	31	2.250942	0.550719	2.816326	5.617988
0	32	2.250942	0.425121	1.570073	4.246135
0	33	2.250942	0.540846	2.718361	5.510149
0	34	2.250942	0.555728	2.866021	5.672691
0	35	2.250942	0.497451	2.287772	5.036165
0	36	2.250942	0.499774	2.310825	5.061541
0	37	2.250942	0.540846	2.718361	5.510149
0	38	2.250942	0.536843	2.678639	5.466424
0	39	2.250942	0.493022	2.243820	4.987784
0	40	2.250942	0.568577	2.993521	5.813041
0	41	2.250942	0.496909	2.282398	5.030249
0	42	2.250942	0.530446	2.615164	5.396552
0	43	2.250942	0.467627	1.991846	4.710416
0	44	2.250942	0.517223	2.483961	5.252126
0	45	2.250942	0.513736	2.449359	5.214037
0	46	2.250942	0.563724	3.104259	5.918925
0	47	2.250942	0.522614	2.537452	5.311008
0	48	2.250942	0.494461	2.258100	5.003502
0	49	2.250942	0.544136	2.751008	5.546087
0	50	2.250942	0.503367	2.346472	5.100781
0	51	2.250942	0.511540	2.427572	5.190054
0	52	2.250942	0.552154	2.830560	5.633656
0	53	2.250942	0.446569	1.782899	4.480410
0	54	2.250942	0.538028	2.690396	5.479366
0	55	2.250942	0.556094	3.028551	5.835588
0	56	2.250942	0.511051	2.687539	5.449533
0	57	2.250942	0.560011	2.908527	5.719480
0	58	2.250942	0.553923	2.848114	5.652979
0	59	2.250942	0.547399	2.783381	5.581722
0	60	2.250942	0.565119	2.959211	5.775273
0	61	2.250942	0.516794	2.479698	5.247434
0	62	2.250942	0.555728	2.866021	5.672691
0	63	2.250942	0.478331	2.098050	4.827323
0	64	2.250942	0.579697	3.103856	5.934495
