design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
bracewell4	hab2hi	6.0	flat	100	744.2147	6.0123	converged	0.0000	794.7228	6	corrected	532.2
bracewell4	hab2hi	6.0	flat	101	999.4337	5.9659	converged	0.0000	1106.8413	5	corrected	451.0
bracewell4	hab2hi	6.0	flat	102	835.8776	5.9945	converged	0.0000	969.8173	5	corrected	443.8
bracewell4	hab2hi	6.0	flat	103	856.8548	6.0475	converged	0.0000	1795.4899	4	corrected	373.4
bracewell4	hab2hi	6.0	flat	104	732.0850	6.0441	converged	0.0000	865.9612	5	corrected	465.3
bracewell4	hab2hi	6.0	flat	105	512.4346	5.9883	converged	0.0000	561.4604	6	corrected	534.3
bracewell4	hab2hi	6.0	flat	106	1040.8788	6.0111	converged	0.0000	1224.5498	5	corrected	461.1
bracewell4	hab2hi	6.0	flat	107	915.0010	6.0370	converged	0.0000	985.2697	6	corrected	532.8
bracewell4	hab2hi	6.0	flat	108	984.7585	5.9566	converged	944.7554	1096.2018	7	corrected	609.8
bracewell4	hab2hi	6.0	flat	109	806.1818	6.0102	converged	0.0000	872.7199	5	corrected	453.7
bracewell4	hab2hi	6.0	flat	110	853.9030	6.0221	converged	0.0000	1892.7375	4	corrected	375.9
bracewell4	hab2hi	6.0	flat	111	998.5954	6.0284	converged	0.0000	1117.2147	5	corrected	450.3
bracewell4	hab2hi	6.0	flat	112	722.3026	5.9511	converged	697.4587	769.7585	7	corrected	595.5
bracewell4	hab2hi	6.0	flat	113	848.7395	5.9868	converged	0.0000	1561.6656	4	corrected	377.4
bracewell4	hab2hi	6.0	flat	114	1313.2996	5.9885	converged	0.0000	1405.3930	5	corrected	447.0
bracewell4	hab2hi	6.0	flat	115	939.7539	5.9857	converged	0.0000	2056.2361	4	corrected	373.9
bracewell4	hab2hi	6.0	flat	116	887.2156	6.0023	converged	0.0000	945.4190	5	corrected	446.2
bracewell4	hab2hi	6.0	flat	117	1011.3511	6.0399	converged	0.0000	2121.5456	4	corrected	371.0
bracewell4	hab2hi	6.0	flat	118	667.8679	6.0469	converged	0.0000	1531.9400	4	corrected	378.4
bracewell4	hab2hi	6.0	flat	119	927.6904	5.9619	converged	873.3801	1094.3201	6	corrected	528.7
bracewell4	hab2hi	6.0	flat	120	843.2482	6.0401	converged	0.0000	1761.8394	4	corrected	380.7
bracewell4	hab2hi	6.0	flat	121	996.4809	5.9789	converged	0.0000	1183.6391	5	corrected	468.7
bracewell4	hab2hi	6.0	flat	122	919.7749	6.0480	converged	0.0000	979.8776	6	corrected	535.2
bracewell4	hab2hi	6.0	flat	123	1125.8425	5.9861	converged	0.0000	2020.8698	4	corrected	374.7
bracewell4	hab2hi	6.0	flat	124	711.4015	5.9969	converged	0.0000	879.7480	5	corrected	455.3
bracewell4	hab2hi	6.0	flat	125	1211.9867	6.0435	converged	1171.5966	1230.6198	7	corrected	597.8
bracewell4	hab2hi	6.0	flat	126	993.0615	6.0171	converged	0.0000	1118.8408	5	corrected	456.8
bracewell4	hab2hi	6.0	flat	127	768.0957	6.0090	converged	0.0000	869.6520	5	corrected	447.8
bracewell4	hab2hi	6.0	flat	128	1120.0363	6.0148	converged	0.0000	1234.4503	5	corrected	437.6
bracewell4	hab2hi	6.0	flat	129	878.5203	6.0097	converged	0.0000	957.8253	5	corrected	451.2
bracewell4	hab2hi	6.0	flat	130	988.6876	6.0036	converged	0.0000	1215.5036	5	corrected	445.6
bracewell4	hab2hi	6.0	flat	131	1046.0327	6.0039	converged	0.0000	1164.4052	5	corrected	454.3
bracewell4	hab2hi	6.0	flat	132	1109.8013	6.0126	converged	0.0000	1206.6050	5	corrected	464.3
bracewell4	hab2hi	6.0	flat	133	1053.9723	5.9946	converged	0.0000	1244.0986	5	corrected	449.0
bracewell4	hab2hi	6.0	flat	134	910.4533	5.9601	converged	881.1891	949.2222	7	corrected	610.0
bracewell4	hab2hi	6.0	flat	135	954.5866	5.9719	converged	0.0000	1035.6917	5	corrected	450.7
bracewell4	hab2hi	6.0	flat	136	837.1422	5.9626	converged	0.0000	973.4987	5	corrected	454.3
bracewell4	hab2hi	6.0	flat	137	939.9789	5.9766	converged	0.0000	1022.6771	5	corrected	455.7
bracewell4	hab2hi	6.0	flat	138	1067.3151	6.0360	converged	1029.3350	1094.1788	7	corrected	610.3
bracewell4	hab2hi	6.0	flat	139	858.1443	5.9942	converged	0.0000	1856.0434	4	corrected	376.6
bracewell4	hab2hi	6.0	flat	140	885.9375	5.9570	converged	848.2504	913.6032	6	corrected	532.6
bracewell4	hab2hi	6.0	flat	141	912.0788	5.9890	converged	0.0000	975.2142	5	corrected	445.1
bracewell4	hab2hi	6.0	flat	142	851.9833	5.9938	converged	0.0000	1142.7463	5	corrected	446.0
bracewell4	hab2hi	6.0	flat	143	1090.4177	6.0171	converged	0.0000	1217.2889	5	corrected	451.3
bracewell4	hab2hi	6.0	flat	144	825.6163	6.0279	converged	0.0000	906.8551	5	corrected	457.0
bracewell4	hab2hi	6.0	flat	145	652.9085	5.9954	converged	0.0000	1507.4080	4	corrected	384.2
bracewell4	hab2hi	6.0	flat	146	809.0973	6.0086	converged	0.0000	889.7368	5	corrected	434.5
bracewell4	hab2hi	6.0	flat	147	1051.7120	5.9938	converged	936.0250	1765.0760	5	corrected	452.4
