replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
100	0	2.237123	0.483661	2.150938	4.871722
100	1	2.237123	0.569739	3.005045	5.811907
100	2	2.237123	0.518811	2.499719	5.255653
100	3	2.237123	0.590555	3.211598	6.039277
100	4	2.237123	0.483661	2.150938	4.871722
100	5	2.237123	0.548869	2.797966	5.583958
100	6	2.237123	0.513926	2.451246	5.202296
100	7	2.237123	0.534313	2.653531	5.424967
100	8	2.237123	0.588084	3.187075	6.012282
100	9	2.237123	0.531065	2.621307	5.389495
100	10	2.237123	0.581448	3.121231	5.939802
100	11	2.237123	0.428537	1.603975	4.269636
100	12	2.237123	0.502955	2.342385	5.082463
100	13	2.237123	0.421701	1.536141	4.194965
100	14	2.237123	0.590555	3.211598	6.039277
100	15	2.237123	0.524081	2.552008	5.313212
100	16	2.237123	0.562537	2.933590	5.733250
100	17	2.237123	0.421701	1.536141	4.194965
100	18	2.237123	0.541188	2.721753	5.500064
100	19	2.237123	0.537605	2.686204	5.460933
100	20	2.237123	0.502459	2.549318	5.288901
100	21	2.237123	0.475588	2.070840	4.783552
100	22	2.237123	0.525479	2.565878	5.328480
100	23	2.237123	0.496628	2.491461	5.225212
100	24	2.237123	0.465407	1.969810	4.672340
100	25	2.237123	0.497187	2.285155	5.019465
100	26	2.237123	0.610999	3.414450	6.262572
100	27	2.237123	0.393822	2.053973	4.684918
100	28	2.237123	0.610999	3.414450	6.262572
100	29	2.237123	0.479189	2.106567	4.822879
100	30	2.237123	0.574533	3.052621	5.864277
100	31	2.237123	0.476500	2.079882	4.793505
100	32	2.237123	0.511181	2.424008	5.172312
100	33	2.237123	0.438331	1.701149	4.376603
100	34	2.237123	0.428537	1.603975	4.269636
100	35	2.237123	0.478925	2.103951	4.819999
100	36	2.237123	0.548164	2.790972	5.576259
100	37	2.237123	0.569739	3.005045	5.811907
100	38	2.237123	0.499188	2.305002	5.041313
100	39	2.237123	0.574533	3.052621	5.864277
100	40	2.237123	0.598064	3.286106	6.121293
100	41	2.237123	0.551216	2.821256	5.609595
100	42	2.237123	0.544890	2.758487	5.540500
100	43	2.237123	0.472414	2.039346	4.748884
100	44	2.237123	0.483661	2.150938	4.871722
100	45	2.237123	0.553699	2.845890	5.636712
100	46	2.237123	0.423393	1.552934	4.213450
100	47	2.237123	0.563641	2.944546	5.745310
100	48	2.237123	0.513926	2.451246	5.202296
100	49	2.237123	0.585149	3.157955	5.980227
100	50	2.237123	0.539884	2.920667	5.697674
100	51	2.237123	0.524081	2.552008	5.313212
100	52	2.237123	0.533242	2.642904	5.413269
100	53	2.237123	0.479189	2.106567	4.822879
100	54	2.237123	0.542041	2.730220	5.509385
100	55	2.237123	0.495313	2.743231	5.475667
100	56	2.237123	0.473665	2.051756	4.762544
100	57	2.237123	0.518811	2.499719	5.255653
100	58	2.237123	0.558759	2.896099	5.691981
100	59	2.237123	0.497187	2.285155	5.019465
100	60	2.237123	0.544508	2.754691	5.536322
100	61	2.237123	0.586108	3.167472	5.990703
100	62	2.237123	0.574533	3.052621	5.864277
100	63	2.237123	0.610384	3.461314	6.308821
100	64	2.237123	0.501223	2.325195	5.063540
100	65	2.237123	0.533242	2.642904	5.413269
100	66	2.237123	0.533242	2.642904	5.413269
100	67	2.237123	0.534059	2.651015	5.422197
100	68	2.237123	0.483704	2.151369	4.872196
100	69	2.237123	0.558759	2.896099	5.691981
100	70	2.237123	0.562537	2.933590	5.733250
100	71	2.237123	0.588084	3.187075	6.012282
100	72	2.237123	0.537605	2.686204	5.460933
