replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
50	0	2.211854	0.511637	2.428535	5.152026
50	1	2.211854	0.390289	1.224460	3.826604
50	2	2.211854	0.562057	2.928824	5.702735
50	3	2.211854	0.413738	1.457129	4.082721
50	4	2.211854	0.490934	2.223106	4.925894
50	5	2.211854	0.453647	1.853123	4.518624
50	6	2.211854	0.487155	2.185610	4.884619
50	7	2.211854	0.426371	1.582476	4.220701
50	8	2.211854	0.451037	1.827225	4.490116
50	9	2.211854	0.521477	2.526172	5.259503
50	10	2.211854	0.451637	1.833183	4.496674
50	11	2.211854	0.519124	2.661715	5.392693
50	12	2.211854	0.489343	2.207319	4.908516
50	13	2.211854	0.497597	2.289221	4.998673
50	14	2.211854	0.517716	2.488854	5.218424
50	15	2.211854	0.512352	2.435630	5.159836
50	16	2.211854	0.489343	2.207319	4.908516
50	17	2.211854	0.507612	2.388590	5.108056
50	18	2.211854	0.504355	2.356278	5.072487
50	19	2.211854	0.425378	1.572630	4.209862
50	20	2.211854	0.497447	2.287735	4.997036
50	21	2.211854	0.560939	2.917727	5.690520
50	22	2.211854	0.505490	2.367543	5.084888
50	23	2.211854	0.439593	1.713671	4.365117
50	24	2.211854	0.390289	1.224460	3.826604
50	25	2.211854	0.565820	2.966166	5.743841
50	26	2.211854	0.499316	2.306281	5.017451
50	27	2.211854	0.453482	1.851489	4.516825
50	28	2.211854	0.560834	2.969653	5.742341
50	29	2.211854	0.506487	2.748175	5.466516
50	30	2.211854	0.546494	2.933292	5.691639
50	31	2.211854	0.483739	2.575428	5.271021
50	32	2.211854	0.619662	3.500409	6.331925
50	33	2.211854	0.453482	1.851489	4.516825
50	34	2.211854	0.530221	2.612930	5.355005
50	35	2.211854	0.507612	2.388590	5.108056
50	36	2.211854	0.439763	1.715367	4.366984
50	37	2.211854	0.494874	2.262199	4.968927
50	38	2.211854	0.439529	1.713044	4.364427
50	39	2.211854	0.546494	2.933292	5.691639
50	40	2.211854	0.410295	1.422964	4.045113
50	41	2.211854	0.505490	2.367543	5.084888
50	42	2.211854	0.463887	1.954732	4.630473
50	43	2.211854	0.439529	1.713044	4.364427
50	44	2.211854	0.550015	2.809334	5.571202
50	45	2.211854	0.439529	1.713044	4.364427
50	46	2.211854	0.539614	2.706130	5.457598
50	47	2.211854	0.517716	2.488854	5.218424
50	48	2.211854	0.499316	2.306281	5.017451
50	49	2.211854	0.511637	2.428535	5.152026
50	50	2.211854	0.472489	2.040086	4.724429
50	51	2.211854	0.458291	1.899207	4.569352
50	52	2.211854	0.466157	1.977259	4.655270
50	53	2.211854	0.519124	2.661715	5.392693
50	54	2.211854	0.489343	2.207319	4.908516
50	55	2.211854	0.520683	2.518291	5.250828
50	56	2.211854	0.550015	2.809334	5.571202
50	57	2.211854	0.496077	2.274141	4.982072
50	58	2.211854	0.472634	2.412272	5.096760
50	59	2.211854	0.439593	1.713671	4.365117
50	60	2.211854	0.509777	2.410078	5.131709
50	61	2.211854	0.439529	1.713044	4.364427
50	62	2.211854	0.490934	2.223106	4.925894
50	63	2.211854	0.448722	1.804257	4.464833
50	64	2.211854	0.517716	2.488854	5.218424
50	65	2.211854	0.468041	1.995954	4.675849
50	66	2.211854	0.403664	1.357170	3.972688
50	67	2.211854	0.448722	1.804257	4.464833
50	68	2.211854	0.512352	2.435630	5.159836
50	69	2.211854	0.451037	1.827225	4.490116
50	70	2.211854	0.487156	2.185624	4.884634
50	71	2.211854	0.494874	2.262199	4.968927
50	72	2.211854	0.439763	1.715367	4.366984
50	73	2.211854	0.513719	2.608079	5.333652
50	74	2.211854	0.479486	2.109513	4.800853
50	75	2.211854	0.497447	2.287735	4.997036
50	76	2.211854	0.468041	1.995954	4.675849
50	77	2.211854	0.508756	2.399947	5.120557
50	78	2.211854	0.487487	2.188903	4.888244
50	79	2.211854	0.439763	1.715367	4.366984
50	80	2.211854	0.458291	1.899207	4.569352
50	81	2.211854	0.539614	2.706130	5.457598
50	82	2.211854	0.572057	3.081014	5.864925
50	83	2.211854	0.503739	2.350167	5.065760
50	84	2.211854	0.489343	2.207319	4.908516
50	85	2.211854	0.480865	2.123195	4.815914
50	86	2.211854	0.495520	2.268611	4.975985
50	87	2.211854	0.472489	2.040086	4.724429
50	88	2.211854	0.547730	2.786661	5.546245
50	89	2.211854	0.520683	2.518291	5.250828
50	90	2.211854	0.539485	2.704851	5.456190
50	91	2.211854	0.537108	2.681265	5.430227
50	92	2.211854	0.489343	2.207319	4.908516
50	93	2.211854	0.495520	2.268611	4.975985
50	94	2.211854	0.499316	2.306281	5.017451
50	95	2.211854	0.520683	2.518291	5.250828
50	96	2.211854	0.460051	1.916672	4.588578
50	97	2.211854	0.490189	2.215711	4.917754
50	98	2.211854	0.520683	2.518291	5.250828
50	99	2.211854	0.530415	2.614854	5.357122
51	0	2.115258	0.538890	2.804882	5.459030
51	1	2.115258	0.535553	2.665835	5.316646
51	2	2.115258	0.563216	3.099217	5.777692
51	3	2.115258	0.462352	1.939503	4.517113
51	4	2.115258	0.475646	2.071416	4.662321
51	5	2.115258	0.441279	2.313003	4.869540
51	6	2.115258	0.475646	2.071416	4.662321
51	7	2.115258	0.400721	1.910567	4.426546
51	8	2.115258	0.477450	2.089308	4.682015
51	9	2.115258	0.525080	2.561924	5.202263
51	10	2.115258	0.511264	2.636689	5.263212
51	11	2.115258	0.464131	1.957153	4.536542
51	12	2.115258	0.425425	1.573090	4.113773
51	13	2.115258	0.466072	1.976413	4.557743
51	14	2.115258	0.526404	2.575056	5.216718
51	15	2.115258	0.519655	2.508090	5.143003
51	16	2.115258	0.464675	1.962552	4.542485
51	17	2.115258	0.484968	2.163904	4.764130
51	18	2.115258	0.484152	2.155814	4.755224
51	19	2.115258	0.465432	1.970064	4.550754
51	20	2.115258	0.443648	1.753911	4.312817
51	21	2.115258	0.516751	2.638168	5.270177
51	22	2.115258	0.586398	3.170343	5.871999
51	23	2.115258	0.563781	2.945927	5.624966
51	24	2.115258	0.417022	2.019356	4.551637
51	25	2.115258	0.466072	1.976413	4.557743
51	26	2.115258	0.400065	1.321460	3.836783
51	27	2.115258	0.514729	2.459217	5.089205
51	28	2.115258	0.462323	1.939218	4.516799
51	29	2.115258	0.425425	1.573090	4.113773
51	30	2.115258	0.445033	1.767658	4.327950
51	31	2.115258	0.604503	3.349999	6.069761
51	32	2.115258	0.586398	3.170343	5.871999
51	33	2.115258	0.543105	2.740777	5.399140
51	34	2.115258	0.459139	1.907617	4.482013
51	35	2.115258	0.504687	2.359574	4.979520
51	36	2.115258	0.462754	1.943495	4.521507
51	37	2.115258	0.509407	2.406405	5.031070
51	38	2.115258	0.492773	2.241358	4.849389
51	39	2.115258	0.492773	2.241358	4.849389
51	40	2.115258	0.504687	2.359574	4.979520
51	41	2.115258	0.464675	1.962552	4.542485
51	42	2.115258	0.525137	2.562484	5.202879
51	43	2.115258	0.462754	1.943495	4.521507
51	44	2.115258	0.459804	1.914217	4.489279
51	45	2.115258	0.548879	2.798062	5.462199
51	46	2.115258	0.511591	2.428079	5.054928
51	47	2.115258	0.444499	1.762360	4.322117
51	48	2.115258	0.459139	1.907617	4.482013
51	49	2.115258	0.484968	2.163904	4.764130
51	50	2.115258	0.503627	2.349053	4.967938
51	51	2.115258	0.514729	2.459217	5.089205
51	52	2.115258	0.511382	2.743789	5.370429
51	53	2.115258	0.417678	1.496227	4.029163
51	54	2.115258	0.466072	1.976413	4.557743
51	55	2.115258	0.504687	2.359574	4.979520
51	56	2.115258	0.469563	2.011050	4.595870
51	57	2.115258	0.459139	1.907617	4.482013
51	58	2.115258	0.464131	1.957153	4.536542
51	59	2.115258	0.457619	1.892535	4.465411
51	60	2.115258	0.478315	2.097894	4.691467
51	61	2.115258	0.507045	2.382970	5.005274
51	62	2.115258	0.464675	1.962552	4.542485
51	63	2.115258	0.544649	2.756098	5.416005
51	64	2.115258	0.445033	1.767658	4.327950
51	65	2.115258	0.492773	2.241358	4.849389
