replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
0	0	2.232011	0.466974	1.985364	4.684349
0	1	2.232011	0.454153	1.858144	4.544308
0	2	2.232011	0.502401	2.336892	5.071305
0	3	2.232011	0.448012	2.220927	4.900951
0	4	2.232011	0.502401	2.336892	5.071305
0	5	2.232011	0.541480	2.724651	5.498143
0	6	2.232011	0.454153	1.858144	4.544308
0	7	2.232011	0.502401	2.336892	5.071305
0	8	2.232011	0.512903	2.441097	5.186012
0	9	2.232011	0.524414	2.555313	5.311739
0	10	2.232011	0.412351	1.443362	4.087724
0	11	2.232011	0.490434	2.218141	4.940586
0	12	2.232011	0.563329	3.047376	5.842717
0	13	2.232011	0.533060	2.641097	5.406168
0	14	2.232011	0.454153	1.858144	4.544308
0	15	2.232011	0.494174	2.255260	4.981446
0	16	2.232011	0.412351	1.443362	4.087724
0	17	2.232011	0.458460	1.900880	4.591351
0	18	2.232011	0.472870	2.414617	5.119499
0	19	2.232011	0.542966	2.898282	5.673259
0	20	2.232011	0.458460	1.900880	4.591351
0	21	2.232011	0.467952	1.995066	4.695029
0	22	2.232011	0.489116	2.205072	4.926200
0	23	2.232011	0.596926	3.274808	6.103745
0	24	2.232011	0.537960	2.689726	5.459698
0	25	2.232011	0.530168	2.612402	5.374581
0	26	2.232011	0.511400	2.426180	5.169591
0	27	2.232011	0.505850	2.371113	5.108975
0	28	2.232011	0.467952	1.995066	4.695029
0	29	2.232011	0.541480	2.724651	5.498143
0	30	2.232011	0.535025	2.660597	5.427633
0	31	2.232011	0.528048	2.644337	5.404396
0	32	2.232011	0.421369	1.532852	4.186233
0	33	2.232011	0.533060	2.641097	5.406168
0	34	2.232011	0.543400	2.743698	5.519110
0	35	2.232011	0.492554	2.239178	4.963743
0	36	2.232011	0.494174	2.255260	4.981446
0	37	2.232011	0.533060	2.641097	5.406168
0	38	2.232011	0.514103	2.452998	5.199113
0	39	2.232011	0.485438	2.168569	4.886017
0	40	2.232011	0.558980	2.898292	5.689284
0	41	2.232011	0.490388	2.217689	4.940089
0	42	2.232011	0.524758	2.558728	5.315498
0	43	2.232011	0.458929	1.905534	4.596474
0	44	2.232011	0.507622	2.388695	5.128329
0	45	2.232011	0.502401	2.336892	5.071305
0	46	2.232011	0.578727	3.200159	6.010897
0	47	2.232011	0.512903	2.441097	5.186012
0	48	2.232011	0.487391	2.187956	4.907358
0	49	2.232011	0.535025	2.660597	5.427633
0	50	2.232011	0.498055	2.293761	5.023827
0	51	2.232011	0.506120	2.373792	5.111923
0	52	2.232011	0.543454	2.744233	5.519698
0	53	2.232011	0.439751	1.715239	4.387001
0	54	2.232011	0.530451	2.615218	5.377681
0	55	2.232011	0.566075	3.074623	5.872710
0	56	2.232011	0.501063	2.588432	5.321507
0	57	2.232011	0.545057	2.760138	5.537206
0	58	2.232011	0.541480	2.724651	5.498143
0	59	2.232011	0.533475	2.645223	5.410710
0	60	2.232011	0.556881	2.877467	5.666360
0	61	2.232011	0.505850	2.371113	5.108975
0	62	2.232011	0.543400	2.743698	5.519110
0	63	2.232011	0.470545	2.020800	4.723357
0	64	2.232011	0.578511	3.092089	5.902612
0	65	2.232011	0.545057	2.760138	5.537206
0	66	2.232011	0.543400	2.743698	5.519110
0	67	2.232011	0.566075	3.074623	5.872710
0	68	2.232011	0.573445	3.041822	5.847278
0	69	2.232011	0.487391	2.187956	4.907358
0	70	2.232011	0.412351	1.443362	4.087724
0	71	2.232011	0.489116	2.205072	4.926200
0	72	2.232011	0.524758	2.558728	5.315498
0	73	2.232011	0.421369	1.532852	4.186233
0	74	2.232011	0.588645	3.192642	6.013298
0	75	2.232011	0.507589	2.388365	5.127965
0	76	2.232011	0.466974	1.985364	4.684349
0	77	2.232011	0.439751	1.715239	4.387001
0	78	2.232011	0.541805	2.727877	5.501694
0	79	2.232011	0.545057	2.760138	5.537206
0	80	2.232011	0.439751	1.715239	4.387001
0	81	2.232011	0.537960	2.689726	5.459698
0	82	2.232011	0.516389	2.475686	5.224087
0	83	2.232011	0.427425	1.592935	4.252371
0	84	2.232011	0.427425	1.592935	4.252371
0	85	2.232011	0.585969	3.166095	5.984075
0	86	2.232011	0.506062	2.373219	5.111292
0	87	2.232011	0.511400	2.426180	5.169591
0	88	2.232011	0.578727	3.200159	6.010897
0	89	2.232011	0.531744	2.628044	5.391800
0	90	2.232011	0.458929	1.905534	4.596474
0	91	2.232011	0.485438	2.168569	4.886017
0	92	2.232011	0.487391	2.187956	4.907358
0	93	2.232011	0.547641	2.785786	5.565438
0	94	2.232011	0.530168	2.612402	5.374581
0	95	2.232011	0.405764	1.378008	4.015783
0	96	2.232011	0.505850	2.371113	5.108975
0	97	2.232011	0.525795	2.569016	5.326823
0	98	2.232011	0.512903	2.441097	5.186012
0	99	2.232011	0.515649	2.468341	5.216002
1	0	2.124808	0.464801	1.963802	4.553411
1	1	2.124808	0.468777	2.003256	4.596841
1	2	2.124808	0.471664	2.031897	4.628368
1	3	2.124808	0.554299	2.851845	5.530952
1	4	2.124808	0.498050	2.293715	4.916573
1	5	2.124808	0.543662	2.746299	5.414768
1	6	2.124808	0.543627	2.745958	5.414393
1	7	2.124808	0.574882	3.056078	5.755767
1	8	2.124808	0.559002	2.951474	5.635284
1	9	2.124808	0.437344	1.691357	4.253509
1	10	2.124808	0.581741	3.124144	5.830693
1	11	2.124808	0.554143	2.850296	5.529247
1	12	2.124808	0.402074	1.341390	3.868272
1	13	2.124808	0.501166	2.324634	4.950608
1	14	2.124808	0.543662	2.746299	5.414768
1	15	2.124808	0.587930	3.185551	5.898289
1	16	2.124808	0.518723	2.498844	5.142375
1	17	2.124808	0.535909	2.669367	5.330084
1	18	2.124808	0.547643	2.785797	5.458248
1	19	2.124808	0.527284	2.583792	5.235884
1	20	2.124808	0.600848	3.313726	6.039382
1	21	2.124808	0.549402	2.803251	5.477460
1	22	2.124808	0.465485	1.970590	4.560883
1	23	2.124808	0.513959	2.504533	5.143300
1	24	2.124808	0.471664	2.031897	4.628368
1	25	2.124808	0.570577	3.172252	5.867636
