design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
bracewell4	hab2hi	6.0	long_weighted	0	2163.2916	5.9820	converged	0.0000	3454.2449	4	corrected	396.8
bracewell4	hab2hi	6.0	long_weighted	1	2128.1080	5.9661	converged	0.0000	3305.9248	4	corrected	373.6
bracewell4	hab2hi	6.0	long_weighted	2	1537.1996	6.0160	converged	0.0000	1852.7974	5	corrected	454.1
bracewell4	hab2hi	6.0	long_weighted	3	1363.5179	6.1423	converged	1356.0762	1363.5179	8	corrected	693.7
bracewell4	hab2hi	6.0	long_weighted	4	1632.8901	5.9936	converged	0.0000	1863.5358	5	corrected	456.1
bracewell4	hab2hi	6.0	long_weighted	5	1520.2853	6.0287	converged	0.0000	1721.1210	5	corrected	456.7
bracewell4	hab2hi	6.0	long_weighted	6	1470.7717	5.9861	converged	0.0000	2560.2990	4	corrected	373.6
bracewell4	hab2hi	6.0	long_weighted	7	1532.9142	6.0257	converged	0.0000	1683.6161	5	corrected	448.5
bracewell4	hab2hi	6.0	long_weighted	8	1514.3146	6.0373	converged	0.0000	1701.9900	5	corrected	444.8
bracewell4	hab2hi	6.0	long_weighted	9	1721.3760	5.9873	converged	0.0000	2993.6061	4	corrected	384.0
bracewell4	hab2hi	6.0	long_weighted	10	1228.4598	5.9956	converged	0.0000	1542.3992	5	corrected	450.2
bracewell4	hab2hi	6.0	long_weighted	11	1770.2325	6.0081	converged	0.0000	2989.4236	4	corrected	378.3
bracewell4	hab2hi	6.0	long_weighted	12	2209.7303	6.0434	converged	2128.3925	2253.0795	7	corrected	615.4
bracewell4	hab2hi	6.0	long_weighted	13	1383.0433	5.9961	converged	0.0000	1506.6069	6	corrected	544.3
bracewell4	hab2hi	6.0	long_weighted	14	1953.6228	5.9979	converged	0.0000	3359.1499	4	corrected	381.7
bracewell4	hab2hi	6.0	long_weighted	15	1353.5709	6.0001	converged	1187.7663	1475.9061	6	corrected	550.2
bracewell4	hab2hi	6.0	long_weighted	16	1999.1988	6.0044	converged	0.0000	2178.3508	5	corrected	463.7
bracewell4	hab2hi	6.0	long_weighted	17	1791.8058	6.0499	converged	0.0000	3082.2670	4	corrected	396.3
bracewell4	hab2hi	6.0	long_weighted	18	1987.0162	6.0040	converged	0.0000	3265.5604	4	corrected	381.4
bracewell4	hab2hi	6.0	long_weighted	19	1581.7713	5.9944	converged	1457.2583	1659.1044	6	corrected	548.7
bracewell4	hab2hi	6.0	long_weighted	20	1604.8685	5.9762	converged	0.0000	2479.7041	4	corrected	382.4
bracewell4	hab2hi	6.0	long_weighted	21	1499.2422	5.9883	converged	0.0000	1630.1770	5	corrected	463.7
bracewell4	hab2hi	6.0	long_weighted	22	1295.2476	5.9846	converged	0.0000	2404.2942	4	corrected	395.2
bracewell4	hab2hi	6.0	long_weighted	23	1223.1948	6.0814	converged	1214.6876	1223.1948	9	corrected	755.4
bracewell4	hab2hi	6.0	long_weighted	24	1077.3730	6.0360	converged	0.0000	1379.6221	5	corrected	460.2
bracewell4	hab2hi	6.0	long_weighted	25	1432.6351	5.9961	converged	0.0000	2303.8237	4	corrected	388.2
bracewell4	hab2hi	6.0	long_weighted	26	922.2182	6.0256	converged	0.0000	1013.3335	5	corrected	464.4
bracewell4	hab2hi	6.0	long_weighted	27	1448.9864	6.0085	converged	0.0000	1807.4479	6	corrected	542.2
bracewell4	hab2hi	6.0	long_weighted	28	1704.3596	6.0030	converged	0.0000	1968.5229	5	corrected	455.9
bracewell4	hab2hi	6.0	long_weighted	29	1559.5115	5.9800	converged	1538.9482	1580.1189	8	corrected	696.6
bracewell4	hab2hi	6.0	long_weighted	30	1574.3478	6.0032	converged	0.0000	1670.3898	5	corrected	461.4
bracewell4	hab2hi	6.0	long_weighted	31	1808.3797	6.0478	converged	0.0000	1936.6802	5	corrected	463.7
bracewell4	hab2hi	6.0	long_weighted	32	1629.8558	6.0341	converged	0.0000	2748.3976	4	corrected	377.0
bracewell4	hab2hi	6.0	long_weighted	33	1662.3401	5.9820	converged	0.0000	1973.4260	5	corrected	452.0
bracewell4	hab2hi	6.0	long_weighted	34	1475.1883	6.0454	converged	1450.0462	1489.4992	9	corrected	750.3
bracewell4	hab2hi	6.0	long_weighted	35	1331.7707	5.9864	converged	1163.8540	2130.9880	5	corrected	461.7
bracewell4	hab2hi	6.0	long_weighted	36	1842.0885	6.0405	converged	0.0000	3179.7858	4	corrected	375.2
bracewell4	hab2hi	6.0	long_weighted	37	1680.7389	5.9902	converged	0.0000	1785.5079	5	corrected	454.6
bracewell4	hab2hi	6.0	long_weighted	38	2092.7547	6.0165	converged	1939.4147	3502.0546	5	corrected	454.4
bracewell4	hab2hi	6.0	long_weighted	39	1572.6512	6.0382	converged	1504.8285	1591.5171	9	corrected	760.2
bracewell4	hab2hi	6.0	long_weighted	40	1766.8584	6.0308	converged	0.0000	2887.6841	4	corrected	382.3
bracewell4	hab2hi	6.0	long_weighted	41	1737.5907	6.0360	converged	0.0000	2983.0811	4	corrected	382.1
bracewell4	hab2hi	6.0	long_weighted	42	1395.1682	6.0282	converged	0.0000	1506.4655	5	corrected	453.9
bracewell4	hab2hi	6.0	long_weighted	43	2018.2867	6.0207	converged	0.0000	2136.2435	7	corrected	612.1
bracewell4	hab2hi	6.0	long_weighted	44	1944.9113	5.9782	converged	0.0000	3276.8267	4	corrected	385.0
bracewell4	hab2hi	6.0	long_weighted	45	2200.4949	6.0487	converged	0.0000	3435.5766	4	corrected	392.5
bracewell4	hab2hi	6.0	long_weighted	46	1423.2339	5.9840	converged	0.0000	1538.0476	6	corrected	543.2
bracewell4	hab2hi	6.0	long_weighted	47	1729.5904	6.0219	converged	0.0000	3098.4977	4	corrected	385.0
bracewell4	hab2hi	6.0	long_weighted	48	1238.2292	5.9837	converged	0.0000	1376.8325	5	corrected	453.3
bracewell4	hab2hi	6.0	long_weighted	49	1761.8980	5.9934	converged	0.0000	2939.4362	4	corrected	399.6
bracewell4	hab2hi	6.0	long_weighted	50	1163.1403	5.9995	converged	0.0000	1281.6934	6	corrected	555.0
bracewell4	hab2hi	6.0	long_weighted	51	1365.4145	5.9658	converged	1258.6736	1750.4838	6	corrected	549.0
bracewell4	hab2hi	6.0	long_weighted	52	1827.4872	5.9815	converged	1714.9228	2609.8243	6	corrected	548.6
bracewell4	hab2hi	6.0	long_weighted	53	1198.0330	6.0467	converged	0.0000	1430.6224	5	corrected	463.1
bracewell4	hab2hi	6.0	long_weighted	54	1679.6839	5.9867	converged	1561.5409	2860.3845	5	corrected	464.2
bracewell4	hab2hi	6.0	long_weighted	55	863.9092	6.0285	converged	0.0000	1562.5598	4	corrected	382.0
bracewell4	hab2hi	6.0	long_weighted	56	1727.3408	6.0250	converged	0.0000	2894.8683	4	corrected	379.4
bracewell4	hab2hi	6.0	long_weighted	57	1766.8161	6.0264	converged	0.0000	2738.8886	4	corrected	388.5
bracewell4	hab2hi	6.0	long_weighted	58	1696.1121	5.9691	converged	1597.9315	2285.8615	6	corrected	527.1
bracewell4	hab2hi	6.0	long_weighted	59	1390.3780	5.9893	converged	0.0000	1486.6049	6	corrected	528.6
bracewell4	hab2hi	6.0	long_weighted	60	2283.9686	6.0100	converged	0.0000	2564.6559	5	corrected	448.2
