design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
bracewell4	hab2hi	6.0	long_weighted	200	1110.5721	5.9689	converged	1011.5584	1293.1829	6	corrected	523.2
bracewell4	hab2hi	6.0	long_weighted	201	2002.6153	5.9974	converged	1825.5832	3267.0250	5	corrected	453.9
bracewell4	hab2hi	6.0	long_weighted	202	1720.8413	5.9637	converged	0.0000	1927.6325	5	corrected	456.1
bracewell4	hab2hi	6.0	long_weighted	203	1928.0756	6.0318	converged	0.0000	2114.3141	6	corrected	536.3
bracewell4	hab2hi	6.0	long_weighted	204	1872.6636	5.9875	converged	1822.2864	1920.2049	7	corrected	604.5
bracewell4	hab2hi	6.0	long_weighted	205	2221.8944	6.0197	converged	0.0000	3683.8562	4	corrected	389.0
bracewell4	hab2hi	6.0	long_weighted	206	1399.8526	6.0391	converged	0.0000	2266.6376	4	corrected	390.7
bracewell4	hab2hi	6.0	long_weighted	207	1700.1105	5.9779	converged	0.0000	2673.8926	4	corrected	381.8
bracewell4	hab2hi	6.0	long_weighted	208	1590.0301	6.0246	converged	0.0000	1762.4506	5	corrected	465.6
bracewell4	hab2hi	6.0	long_weighted	209	1566.6522	6.0143	converged	0.0000	1682.4087	5	corrected	474.2
bracewell4	hab2hi	6.0	long_weighted	210	1511.4303	6.0086	converged	0.0000	2765.1781	4	corrected	385.8
bracewell4	hab2hi	6.0	long_weighted	211	1697.0139	6.0447	converged	0.0000	1900.6478	5	corrected	467.2
bracewell4	hab2hi	6.0	long_weighted	212	1832.8127	6.0312	converged	0.0000	3143.4540	4	corrected	385.5
bracewell4	hab2hi	6.0	long_weighted	213	1331.9032	5.9621	converged	1307.9158	1410.8387	9	corrected	760.8
bracewell4	hab2hi	6.0	long_weighted	214	1478.4947	6.0117	converged	0.0000	2689.9053	4	corrected	369.7
bracewell4	hab2hi	6.0	long_weighted	215	1710.0809	5.9505	converged	0.0000	2965.1318	4	corrected	374.7
bracewell4	hab2hi	6.0	long_weighted	216	1501.5505	6.0411	converged	0.0000	1729.9747	5	corrected	458.9
