replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
100	0	2.218267	0.488311	2.197076	4.903654
100	1	2.218267	0.574627	3.053549	5.846443
100	2	2.218267	0.527656	2.587484	5.333407
100	3	2.218267	0.605119	3.356105	6.179490
100	4	2.218267	0.488311	2.197076	4.903654
100	5	2.218267	0.551055	2.819662	5.588984
100	6	2.218267	0.516864	2.480394	5.215525
100	7	2.218267	0.554924	2.858048	5.631239
100	8	2.218267	0.589705	3.203162	6.011134
100	9	2.218267	0.533038	2.640887	5.392193
100	10	2.218267	0.591337	3.219352	6.028955
100	11	2.218267	0.429728	1.615791	4.263786
100	12	2.218267	0.513932	2.451308	5.183507
100	13	2.218267	0.423410	1.553101	4.194778
100	14	2.218267	0.605119	3.356105	6.179490
100	15	2.218267	0.529828	2.609031	5.357125
100	16	2.218267	0.568266	2.990437	5.776970
100	17	2.218267	0.423410	1.553101	4.194778
100	18	2.218267	0.547263	2.782029	5.547559
100	19	2.218267	0.541911	2.728923	5.489101
100	20	2.218267	0.530640	2.775984	5.524892
100	21	2.218267	0.477594	2.090737	4.786598
100	22	2.218267	0.532915	2.639665	5.390847
100	23	2.218267	0.509061	2.614824	5.342152
100	24	2.218267	0.469200	2.007452	4.694919
100	25	2.218267	0.503007	2.342903	5.064177
100	26	2.218267	0.623732	3.540791	6.382789
100	27	2.218267	0.398036	2.095784	4.712087
100	28	2.218267	0.623732	3.540791	6.382789
100	29	2.218267	0.484742	2.161670	4.864679
100	30	2.218267	0.584531	3.151820	5.954617
100	31	2.218267	0.473098	2.046125	4.737489
100	32	2.218267	0.514303	2.454986	5.187555
100	33	2.218267	0.438995	1.707743	4.365005
100	34	2.218267	0.429728	1.615791	4.263786
100	35	2.218267	0.488785	2.201786	4.908838
100	36	2.218267	0.550619	2.815334	5.584220
100	37	2.218267	0.574627	3.053549	5.846443
100	38	2.218267	0.502374	2.336616	5.057256
100	39	2.218267	0.584531	3.151820	5.954617
100	40	2.218267	0.599529	3.300638	6.118434
100	41	2.218267	0.553385	2.842777	5.614429
100	42	2.218267	0.549152	2.800770	5.568189
100	43	2.218267	0.474029	2.055368	4.747664
100	44	2.218267	0.488311	2.197076	4.903654
100	45	2.218267	0.559202	2.900496	5.677965
100	46	2.218267	0.426834	1.587078	4.232179
100	47	2.218267	0.569810	3.005752	5.793829
100	48	2.218267	0.516864	2.480394	5.215525
100	49	2.218267	0.591491	3.220886	6.030644
100	50	2.218267	0.584434	3.256791	6.059492
100	51	2.218267	0.529828	2.609031	5.357125
100	52	2.218267	0.538639	2.696456	5.453361
100	53	2.218267	0.484742	2.161670	4.864679
100	54	2.218267	0.550821	2.817340	5.586428
100	55	2.218267	0.472311	2.567960	5.258538
100	56	2.218267	0.478577	2.100495	4.797338
100	57	2.218267	0.527656	2.587484	5.333407
100	58	2.218267	0.561975	2.928015	5.708257
100	59	2.218267	0.503007	2.342903	5.064177
100	60	2.218267	0.554509	2.853927	5.626702
100	61	2.218267	0.588058	3.186815	5.993140
100	62	2.218267	0.584531	3.151820	5.954617
100	63	2.218267	0.584611	3.311506	6.114384
100	64	2.218267	0.502843	2.341275	5.062385
100	65	2.218267	0.538639	2.696456	5.453361
100	66	2.218267	0.538639	2.696456	5.453361
100	67	2.218267	0.538538	2.695452	5.452257
100	68	2.218267	0.489039	2.204303	4.911608
100	69	2.218267	0.561975	2.928015	5.708257
100	70	2.218267	0.568266	2.990437	5.776970
100	71	2.218267	0.589705	3.203162	6.011134
100	72	2.218267	0.541911	2.728923	5.489101
100	73	2.218267	0.583389	3.140495	5.942151
100	74	2.218267	0.415766	1.477256	4.111290
100	75	2.218267	0.516864	2.480394	5.215525
100	76	2.218267	0.550821	2.817340	5.586428
100	77	2.218267	0.538538	2.695452	5.452257
100	78	2.218267	0.547263	2.782029	5.547559
100	79	2.218267	0.541911	2.728923	5.489101
100	80	2.218267	0.429728	1.615791	4.263786
100	81	2.218267	0.584531	3.151820	5.954617
100	82	2.218267	0.547263	2.782029	5.547559
100	83	2.218267	0.559202	2.900496	5.677965
100	84	2.218267	0.489039	2.204303	4.911608
100	85	2.218267	0.477594	2.090737	4.786598
100	86	2.218267	0.527327	2.584214	5.329808
100	87	2.218267	0.583270	3.298206	6.099743
100	88	2.218267	0.429728	1.615791	4.263786
100	89	2.218267	0.583270	3.298206	6.099743
100	90	2.218267	0.454238	1.858986	4.531490
100	91	2.218267	0.523967	2.815697	5.557931
100	92	2.218267	0.489039	2.204303	4.911608
100	93	2.218267	0.484742	2.161670	4.864679
100	94	2.218267	0.583270	3.298206	6.099743
100	95	2.218267	0.484072	2.155017	4.857356
100	96	2.218267	0.423410	1.553101	4.194778
100	97	2.218267	0.474029	2.055368	4.747664
100	98	2.218267	0.554509	2.853927	5.626702
100	99	2.218267	0.492001	2.233695	4.943963
101	0	2.123291	0.465724	1.972961	4.561977
101	1	2.123291	0.498701	2.300170	4.922162
101	2	2.123291	0.554527	2.854113	5.531932
101	3	2.123291	0.592158	3.280468	5.995918
101	4	2.123291	0.589685	3.202959	5.915935
101	5	2.123291	0.480929	2.494577	5.098797
101	6	2.123291	0.594254	3.248296	5.965841
101	7	2.123291	0.473303	2.048163	4.644757
101	8	2.123291	0.528628	2.597129	5.249048
101	9	2.123291	0.530598	2.616670	5.270559
101	10	2.123291	0.535852	2.668805	5.327949
101	11	2.123291	0.498701	2.300170	4.922162
101	12	2.123291	0.578528	3.092262	5.794082
101	13	2.123291	0.493156	2.245153	4.861600
101	14	2.123291	0.535852	2.668805	5.327949
101	15	2.123291	0.498701	2.300170	4.922162
101	16	2.123291	0.495983	2.273201	4.892476
101	17	2.123291	0.479624	2.110888	4.713804
101	18	2.123291	0.510607	2.418316	5.052215
101	19	2.123291	0.594254	3.248296	5.965841
101	20	2.123291	0.478549	2.100213	4.702053
101	21	2.123291	0.510417	2.416429	5.050137
101	22	2.123291	0.510607	2.418316	5.052215
101	23	2.123291	0.528628	2.597129	5.249048
101	24	2.123291	0.468034	1.995882	4.587208
101	25	2.123291	0.530598	2.616670	5.270559
101	26	2.123291	0.503692	2.349702	4.976686
101	27	2.123291	0.511212	2.424315	5.058819
101	28	2.123291	0.495983	2.273201	4.892476
101	29	2.123291	0.477465	2.513174	5.113931
101	30	2.123291	0.522308	2.534420	5.180020
101	31	2.123291	0.521017	2.521603	5.165912
101	32	2.123291	0.584869	3.155172	5.863332
101	33	2.123291	0.534877	2.659130	5.317299
101	34	2.123291	0.499910	2.312168	4.935369
101	35	2.123291	0.526224	2.573273	5.222788
101	36	2.123291	0.439105	2.344398	4.906795
101	37	2.123291	0.501329	2.326248	4.950868
101	38	2.123291	0.548456	2.793870	5.465617
101	39	2.123291	0.592173	3.227651	5.943115
101	40	2.123291	0.530598	2.616670	5.270559
101	41	2.123291	0.603501	3.340056	6.066849
101	42	2.123291	0.519729	2.508826	5.151846
101	43	2.123291	0.574482	3.052112	5.749886
101	44	2.123291	0.659345	3.894165	6.676802
101	45	2.123291	0.602345	3.328581	6.054217
101	46	2.123291	0.478549	2.100213	4.702053
101	47	2.123291	0.448272	1.799789	4.371352
101	48	2.123291	0.424742	1.566314	4.114347
101	49	2.123291	0.428750	1.606085	4.158126
101	50	2.123291	0.620450	3.561194	6.304936
101	51	2.123291	0.465724	1.972961	4.561977
101	52	2.123291	0.529360	2.604386	5.257038
101	53	2.123291	0.586155	3.167936	5.877382
101	54	2.123291	0.520786	2.519309	5.163386
101	55	2.123291	0.581352	3.120281	5.824924
101	56	2.123291	0.518069	2.492356	5.133716
101	57	2.123291	0.590684	3.265843	5.979819
101	58	2.123291	0.434946	1.667563	4.225800
101	59	2.123291	0.564086	2.948954	5.636331
101	60	2.123291	0.600687	3.312127	6.036105
101	61	2.123291	0.554527	2.854113	5.531932
101	62	2.123291	0.569011	2.997822	5.690124
101	63	2.123291	0.467124	1.986849	4.577264
101	64	2.123291	0.424742	1.566314	4.114347
101	65	2.123291	0.465724	1.972961	4.561977
101	66	2.123291	0.624599	3.549396	6.297286
101	67	2.123291	0.530269	2.613404	5.266965
101	68	2.123291	0.499910	2.312168	4.935369
101	69	2.123291	0.439105	2.344398	4.906795
101	70	2.123291	0.467124	1.986849	4.577264
101	71	2.123291	0.531734	2.627942	5.282967
101	72	2.123291	0.428750	1.606085	4.158126
101	73	2.123291	0.504543	2.358137	4.985971
101	74	2.123291	0.574482	3.052112	5.749886
101	75	2.123291	0.503692	2.349702	4.976686
101	76	2.123291	0.495983	2.273201	4.892476
101	77	2.123291	0.491745	2.495975	5.111011
101	78	2.123291	0.531734	2.627942	5.282967
101	79	2.123291	0.498701	2.300170	4.922162
101	80	2.123291	0.578528	3.092262	5.794082
101	81	2.123291	0.590553	3.211574	5.925419
101	82	2.123291	0.601687	3.322051	6.047029
101	83	2.123291	0.579285	3.099768	5.802344
101	84	2.123291	0.521302	2.524431	5.169025
101	85	2.123291	0.479624	2.110888	4.713804
101	86	2.123291	0.518086	2.598454	5.239832
101	87	2.123291	0.528628	2.597129	5.249048
101	88	2.123291	0.578528	3.092262	5.794082
101	89	2.123291	0.487940	2.193400	4.804632
101	90	2.123291	0.581352	3.120281	5.824924
101	91	2.123291	0.495983	2.273201	4.892476
101	92	2.123291	0.465724	1.972961	4.561977
101	93	2.123291	0.511212	2.424315	5.058819
101	94	2.123291	0.516549	2.477272	5.117112
101	95	2.123291	0.492064	2.234317	4.849672
101	96	2.123291	0.479624	2.110888	4.713804
101	97	2.123291	0.617145	3.475436	6.215872
101	98	2.123291	0.599393	3.511148	6.233832
101	99	2.123291	0.528628	2.597129	5.249048
102	0	2.102892	0.439745	1.715184	4.257821
102	1	2.102892	0.541821	2.728034	5.372747
102	2	2.102892	0.497429	2.287553	4.887875
102	3	2.102892	0.609855	3.403099	6.115846
102	4	2.102892	0.580282	3.162624	5.845798
102	5	2.102892	0.537398	2.684144	5.324434
102	6	2.102892	0.488494	2.198893	4.790279
102	7	2.102892	0.431065	1.629057	4.163015
102	8	2.102892	0.462443	1.940408	4.505744
102	9	2.102892	0.492509	2.238739	4.834141
102	10	2.102892	0.609855	3.403099	6.115846
102	11	2.102892	0.561869	2.926960	5.591722
102	12	2.102892	0.477102	2.085857	4.665851
102	13	2.102892	0.532981	2.693281	5.329154
102	14	2.102892	0.549371	2.802948	5.455212
102	15	2.102892	0.520475	2.516228	5.139596
102	16	2.102892	0.494055	2.254073	4.851020
102	17	2.102892	0.533843	2.648875	5.285611
102	18	2.102892	0.504397	2.356694	4.963983
102	19	2.102892	0.562997	2.938152	5.604042
102	20	2.102892	0.500296	2.316005	4.919194
102	21	2.102892	0.576200	3.069156	5.748248
102	22	2.102892	0.531627	2.626886	5.261406
102	23	2.102892	0.500154	2.314597	4.917644
102	24	2.102892	0.480952	2.653701	5.237546
102	25	2.102892	0.520475	2.516228	5.139596
102	26	2.102892	0.408345	1.403613	3.914850
102	27	2.102892	0.565573	2.963711	5.632176
102	28	2.102892	0.597953	3.285004	5.985850
102	29	2.102892	0.561869	2.926960	5.591722
102	30	2.102892	0.486483	2.178943	4.768318
102	31	2.102892	0.471775	2.033003	4.607671
102	32	2.102892	0.593653	3.242339	5.938884
102	33	2.102892	0.528985	2.600667	5.232545
102	34	2.102892	0.531492	2.784435	5.418819
102	35	2.102892	0.566810	2.975984	5.645686
102	36	2.102892	0.536295	2.673201	5.312389
102	37	2.102892	0.470252	2.017894	4.591039
102	38	2.102892	0.531627	2.626886	5.261406
102	39	2.102892	0.544378	2.753404	5.400674
102	40	2.102892	0.608886	3.393483	6.105261
102	41	2.102892	0.503820	2.827637	5.434349
102	42	2.102892	0.608886	3.393483	6.105261
102	43	2.102892	0.476820	2.083057	4.662769
102	44	2.102892	0.533843	2.648875	5.285611
