design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
bracewell4	hab2hi	6.0	short_weighted	200	1438.8593	6.0293	converged	0.0000	1623.7027	5	corrected	457.8
bracewell4	hab2hi	6.0	short_weighted	201	2564.5502	5.9970	converged	0.0000	2994.5707	5	corrected	446.5
bracewell4	hab2hi	6.0	short_weighted	202	2501.1015	6.0044	converged	0.0000	2682.1048	5	corrected	442.3
bracewell4	hab2hi	6.0	short_weighted	203	3309.9534	6.0477	converged	0.0000	5339.1030	4	corrected	369.8
bracewell4	hab2hi	6.0	short_weighted	204	3002.1357	6.0211	converged	0.0000	4862.2106	4	corrected	368.5
bracewell4	hab2hi	6.0	short_weighted	205	2776.0529	5.9809	converged	0.0000	2947.1221	5	corrected	445.6
bracewell4	hab2hi	6.0	short_weighted	206	1279.2104	6.0225	converged	0.0000	1625.3430	5	corrected	446.3
bracewell4	hab2hi	6.0	short_weighted	207	2033.4713	5.9969	converged	0.0000	2301.7891	5	corrected	454.6
bracewell4	hab2hi	6.0	short_weighted	208	2256.9179	6.0310	converged	0.0000	2545.5787	5	corrected	449.4
bracewell4	hab2hi	6.0	short_weighted	209	2178.6637	6.0047	converged	0.0000	4022.7253	4	corrected	370.5
bracewell4	hab2hi	6.0	short_weighted	210	1684.3330	6.0155	converged	0.0000	1801.6108	6	corrected	517.9
bracewell4	hab2hi	6.0	short_weighted	211	2120.9277	6.0037	converged	0.0000	2533.1892	5	corrected	451.0
bracewell4	hab2hi	6.0	short_weighted	212	2151.2584	6.0339	converged	0.0000	2382.2598	5	corrected	451.5
bracewell4	hab2hi	6.0	short_weighted	213	1546.5483	5.9555	converged	1471.5733	1640.7678	7	corrected	587.4
bracewell4	hab2hi	6.0	short_weighted	214	1840.7602	5.9760	converged	0.0000	2087.9507	5	corrected	452.0
bracewell4	hab2hi	6.0	short_weighted	215	1993.0306	5.9801	converged	0.0000	2246.9671	5	corrected	445.2
bracewell4	hab2hi	6.0	short_weighted	216	1898.1902	5.9760	converged	0.0000	2235.9957	5	corrected	456.4
bracewell4	hab2hi	6.0	short_weighted	217	2338.1565	6.0431	converged	0.0000	2579.3970	5	corrected	463.1
bracewell4	hab2hi	6.0	short_weighted	218	2151.1694	5.9806	converged	0.0000	2575.7211	5	corrected	456.8
bracewell4	hab2hi	6.0	short_weighted	219	2227.3880	5.9758	converged	2133.9322	2316.7167	6	corrected	534.2
bracewell4	hab2hi	6.0	short_weighted	220	1530.4951	6.0368	converged	0.0000	1840.6407	5	corrected	463.0
bracewell4	hab2hi	6.0	short_weighted	221	1513.5105	5.9851	converged	0.0000	2875.0264	4	corrected	372.0
bracewell4	hab2hi	6.0	short_weighted	222	1796.6604	6.0323	converged	0.0000	2414.6895	5	corrected	454.1
bracewell4	hab2hi	6.0	short_weighted	223	1676.5446	5.9865	converged	1369.9805	2360.7675	5	corrected	434.4
bracewell4	hab2hi	6.0	short_weighted	224	2205.1294	6.0088	converged	0.0000	2416.8371	6	corrected	524.5
bracewell4	hab2hi	6.0	short_weighted	225	2196.3885	6.0394	converged	0.0000	3772.0963	4	corrected	372.8
bracewell4	hab2hi	6.0	short_weighted	226	1479.4607	6.0202	converged	0.0000	1649.2619	5	corrected	462.1
bracewell4	hab2hi	6.0	short_weighted	227	3208.0611	6.0375	converged	0.0000	3653.9826	5	corrected	440.4
bracewell4	hab2hi	6.0	short_weighted	228	1730.6880	5.9769	converged	0.0000	3205.9403	4	corrected	381.2
bracewell4	hab2hi	6.0	short_weighted	229	1882.7914	6.0139	converged	0.0000	2015.7184	6	corrected	525.1
bracewell4	hab2hi	6.0	short_weighted	230	1831.2729	5.9895	converged	0.0000	2196.4180	5	corrected	447.5
bracewell4	hab2hi	6.0	short_weighted	231	2109.5752	5.9533	converged	2097.1836	2141.9066	9	corrected	751.9
bracewell4	hab2hi	6.0	short_weighted	232	1801.0323	6.0357	converged	0.0000	2011.9527	5	corrected	445.5
bracewell4	hab2hi	6.0	short_weighted	233	2445.6786	5.9614	converged	2208.0797	4073.9549	5	corrected	439.8
bracewell4	hab2hi	6.0	short_weighted	234	2696.5362	5.9784	converged	0.0000	2885.9984	5	corrected	440.2
bracewell4	hab2hi	6.0	short_weighted	235	1907.1656	6.0078	converged	0.0000	3430.9927	4	corrected	371.0
bracewell4	hab2hi	6.0	short_weighted	236	2667.7952	5.9646	converged	0.0000	3431.9555	5	corrected	436.7
bracewell4	hab2hi	6.0	short_weighted	237	1875.7081	5.9726	converged	1768.1616	2294.9337	6	corrected	507.7
bracewell4	hab2hi	6.0	short_weighted	238	2582.4003	5.9527	converged	2539.4893	2728.0910	9	corrected	726.8
bracewell4	hab2hi	6.0	short_weighted	239	2001.1332	5.9966	converged	0.0000	2391.1532	5	corrected	448.2
