design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
bracewell4	hab2hi	6.25	short_weighted	0	3286.0641	6.2117	converged	0.0000	3702.6672	5	corrected	472.2
bracewell4	hab2hi	6.25	short_weighted	1	3636.7881	6.2719	converged	0.0000	5914.7833	4	corrected	378.3
bracewell4	hab2hi	6.25	short_weighted	2	3441.0144	6.2524	converged	0.0000	3604.4174	5	corrected	449.2
bracewell4	hab2hi	6.25	short_weighted	3	2254.2196	6.3231	bracket_midpoint	2246.8877	2261.5515	200	corrected	15467.9
bracewell4	hab2hi	6.25	short_weighted	4	2695.6508	6.0715	bracket_midpoint	2686.3612	2704.9403	200	corrected	15111.6
bracewell4	hab2hi	6.25	short_weighted	5	2503.0992	6.2628	converged	0.0000	3298.4790	5	corrected	454.7
bracewell4	hab2hi	6.25	short_weighted	6	2897.7642	6.2468	converged	0.0000	4716.5838	4	corrected	384.1
bracewell4	hab2hi	6.25	short_weighted	7	2886.0882	6.2173	converged	2759.9681	3215.3185	6	corrected	527.8
bracewell4	hab2hi	6.25	short_weighted	8	2813.9203	6.2680	converged	0.0000	3319.1056	5	corrected	451.7
bracewell4	hab2hi	6.25	short_weighted	9	3164.7949	6.2826	converged	3070.0888	3258.9566	6	corrected	528.8
bracewell4	hab2hi	6.25	short_weighted	10	2203.2070	6.2849	converged	2162.1910	2242.6244	8	corrected	677.4
bracewell4	hab2hi	6.25	short_weighted	11	2660.2131	6.2195	converged	0.0000	3060.6154	5	corrected	453.8
bracewell4	hab2hi	6.25	short_weighted	12	4407.6881	6.2544	converged	0.0000	4675.3075	5	corrected	436.2
bracewell4	hab2hi	6.25	short_weighted	13	2621.6808	6.2743	converged	0.0000	2982.2496	5	corrected	456.5
bracewell4	hab2hi	6.25	short_weighted	14	2803.0359	6.2942	converged	0.0000	3238.7998	5	corrected	455.5
bracewell4	hab2hi	6.25	short_weighted	15	2244.5075	6.2939	converged	0.0000	2425.3337	6	corrected	535.7
bracewell4	hab2hi	6.25	short_weighted	16	3436.4905	6.2702	converged	0.0000	3751.2192	5	corrected	456.6
bracewell4	hab2hi	6.25	short_weighted	17	2714.9109	6.2031	converged	0.0000	2914.3628	6	corrected	517.4
bracewell4	hab2hi	6.25	short_weighted	18	3100.5984	6.2468	converged	0.0000	3307.1155	6	corrected	523.0
bracewell4	hab2hi	6.25	short_weighted	19	2696.1564	6.2261	converged	0.0000	3002.3003	5	corrected	454.7
bracewell4	hab2hi	6.25	short_weighted	20	2966.4570	6.2478	converged	0.0000	3146.2650	6	corrected	530.1
bracewell4	hab2hi	6.25	short_weighted	21	2975.5560	6.2961	converged	0.0000	3355.0461	5	corrected	443.7
bracewell4	hab2hi	6.25	short_weighted	22	2128.7594	6.2331	converged	0.0000	2321.6679	6	corrected	521.5
bracewell4	hab2hi	6.25	short_weighted	23	2412.2703	6.2268	converged	0.0000	2600.2168	5	corrected	452.9
bracewell4	hab2hi	6.25	short_weighted	24	2338.0082	6.2665	converged	0.0000	2698.0338	5	corrected	459.2
bracewell4	hab2hi	6.25	short_weighted	25	2769.5743	6.2745	converged	0.0000	4487.9848	4	corrected	377.3
bracewell4	hab2hi	6.25	short_weighted	26	1872.4576	6.2277	converged	0.0000	2274.0976	5	corrected	458.3
bracewell4	hab2hi	6.25	short_weighted	27	2856.8444	6.2309	converged	0.0000	3092.0623	6	corrected	534.0
bracewell4	hab2hi	6.25	short_weighted	28	3171.0526	6.2371	converged	0.0000	5441.0634	4	corrected	385.5
bracewell4	hab2hi	6.25	short_weighted	29	2787.6582	6.2521	converged	0.0000	2920.0535	6	corrected	536.0
bracewell4	hab2hi	6.25	short_weighted	30	3102.5485	6.2955	converged	0.0000	4986.7159	4	corrected	377.9
bracewell4	hab2hi	6.25	short_weighted	31	3442.7859	6.2970	converged	0.0000	5902.7933	4	corrected	371.7
bracewell4	hab2hi	6.25	short_weighted	32	2570.6046	6.2166	converged	0.0000	3090.0489	5	corrected	443.0
bracewell4	hab2hi	6.25	short_weighted	33	3298.5554	6.2316	converged	0.0000	5056.8814	4	corrected	377.6
bracewell4	hab2hi	6.25	short_weighted	34	3235.2272	6.1775	converged	3235.2272	3240.8070	11	corrected	905.8
bracewell4	hab2hi	6.25	short_weighted	35	2104.8844	6.2150	converged	2031.2294	2441.1825	7	corrected	610.8
bracewell4	hab2hi	6.25	short_weighted	36	3645.7631	6.2905	converged	0.0000	5491.1928	4	corrected	373.5
bracewell4	hab2hi	6.25	short_weighted	37	2762.6452	6.2731	converged	0.0000	2893.0907	6	corrected	532.1
bracewell4	hab2hi	6.25	short_weighted	38	3210.3005	6.2802	converged	0.0000	3355.0470	6	corrected	534.1
bracewell4	hab2hi	6.25	short_weighted	39	2033.6682	6.2068	converged	0.0000	2241.6830	7	corrected	598.5
bracewell4	hab2hi	6.25	short_weighted	40	3190.9319	6.2499	converged	0.0000	3387.6577	6	corrected	515.4
bracewell4	hab2hi	6.25	short_weighted	41	2957.2469	6.2445	converged	0.0000	3336.8705	5	corrected	420.2
bracewell4	hab2hi	6.25	short_weighted	42	2200.0488	6.2607	converged	2097.7370	2356.9145	8	corrected	634.9
bracewell4	hab2hi	6.25	short_weighted	43	3981.9589	6.2606	converged	0.0000	4129.5312	6	corrected	465.3
bracewell4	hab2hi	6.25	short_weighted	44	3239.9333	6.2636	converged	0.0000	3453.9876	5	corrected	408.3
bracewell4	hab2hi	6.25	short_weighted	45	3335.5423	6.2549	converged	0.0000	3808.8259	5	corrected	403.1
bracewell4	hab2hi	6.25	short_weighted	46	2382.3947	6.2923	converged	0.0000	2595.2443	6	corrected	450.7
bracewell4	hab2hi	6.25	short_weighted	47	2985.4355	6.2479	converged	0.0000	3307.5448	5	corrected	376.1
bracewell4	hab2hi	6.25	short_weighted	48	2804.0465	6.2772	converged	0.0000	4676.3799	4	corrected	309.6
bracewell4	hab2hi	6.25	short_weighted	49	2991.0931	6.2830	converged	0.0000	3197.5441	5	corrected	375.1
