replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
0	0	2.355696	0.499623	2.309318	5.164637
0	1	2.355696	0.481724	2.131719	4.969139
0	2	2.355696	0.547684	2.786205	5.689584
0	3	2.355696	0.574185	3.208058	6.137940
0	4	2.355696	0.547684	2.786205	5.689584
0	5	2.355696	0.590111	3.207195	6.153003
0	6	2.355696	0.481724	2.131719	4.969139
0	7	2.355696	0.547684	2.786205	5.689584
0	8	2.355696	0.553456	2.843481	5.752633
0	9	2.355696	0.545288	2.762432	5.663416
0	10	2.355696	0.434513	1.663271	4.453480
0	11	2.355696	0.524855	2.559683	5.440234
0	12	2.355696	0.605040	3.461255	6.421991
0	13	2.355696	0.566069	2.968633	5.890398
0	14	2.355696	0.481724	2.131719	4.969139
0	15	2.355696	0.518273	2.494381	5.368351
0	16	2.355696	0.434513	1.663271	4.453480
0	17	2.355696	0.486512	2.179230	5.021438
0	18	2.355696	0.469250	2.484618	5.309564
0	19	2.355696	0.578008	3.245990	6.179694
0	20	2.355696	0.486512	2.179230	5.021438
0	21	2.355696	0.499405	2.307156	5.162257
0	22	2.355696	0.531603	2.626643	5.513942
0	23	2.355696	0.625207	3.555433	6.536336
0	24	2.355696	0.573096	3.038360	5.967152
0	25	2.355696	0.584706	3.153554	6.093956
0	26	2.355696	0.549132	2.800578	5.705406
0	27	2.355696	0.546230	2.771783	5.673709
0	28	2.355696	0.499405	2.307156	5.162257
0	29	2.355696	0.590111	3.207195	6.153003
0	30	2.355696	0.574809	3.055353	5.985857
0	31	2.355696	0.572343	3.030886	5.958925
0	32	2.355696	0.438204	1.699895	4.493795
0	33	2.355696	0.566069	2.968633	5.890398
0	34	2.355696	0.595490	3.260563	6.211749
0	35	2.355696	0.515952	2.471347	5.342995
0	36	2.355696	0.518273	2.494381	5.368351
0	37	2.355696	0.566069	2.968633	5.890398
0	38	2.355696	0.559724	2.905674	5.821094
0	39	2.355696	0.517019	2.481931	5.354646
0	40	2.355696	0.589355	3.199693	6.144745
0	41	2.355696	0.518426	2.495899	5.370021
0	42	2.355696	0.560747	2.915823	5.832266
0	43	2.355696	0.499461	2.307719	5.162877
0	44	2.355696	0.532166	2.632235	5.520097
0	45	2.355696	0.547684	2.786205	5.689584
0	46	2.355696	0.560704	3.180221	6.096621
0	47	2.355696	0.553456	2.843481	5.752633
0	48	2.355696	0.518671	2.498324	5.372691
0	49	2.355696	0.574809	3.055353	5.985857
0	50	2.355696	0.522842	2.539712	5.418249
0	51	2.355696	0.531555	2.626170	5.513421
0	52	2.355696	0.588035	3.186594	6.130326
0	53	2.355696	0.467341	1.989008	4.812045
0	54	2.355696	0.558939	2.897889	5.812525
0	55	2.355696	0.540207	3.029805	5.925708
0	56	2.355696	0.520475	2.834013	5.710185
0	57	2.355696	0.596307	3.268670	6.220673
0	58	2.355696	0.590111	3.207195	6.153003
0	59	2.355696	0.583822	3.144785	6.084303
