design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
bracewell4	hab2lo	7.5	flat	0	387.7596	7.4908	converged	343.4409	975.4073	5	corrected	431.2
bracewell4	hab2lo	7.5	flat	1	607.0795	7.5247	converged	567.5099	1369.9594	6	corrected	484.9
bracewell4	hab2lo	7.5	flat	2	295.1941	7.4680	converged	282.5413	319.9598	7	corrected	547.9
bracewell4	hab2lo	7.5	flat	3	537.3278	7.4674	converged	0.0000	640.5353	5	corrected	414.9
bracewell4	hab2lo	7.5	flat	4	286.2040	7.5208	converged	0.0000	756.2334	4	corrected	348.7
bracewell4	hab2lo	7.5	flat	5	278.8616	7.4829	converged	0.0000	840.0729	4	corrected	340.9
bracewell4	hab2lo	7.5	flat	6	201.9273	7.4920	converged	0.0000	572.8720	4	corrected	345.4
bracewell4	hab2lo	7.5	flat	7	495.3237	7.4530	converged	0.0000	642.4428	5	corrected	420.5
bracewell4	hab2lo	7.5	flat	8	543.9682	7.4990	converged	0.0000	621.0803	5	corrected	421.6
bracewell4	hab2lo	7.5	flat	9	202.7671	7.5078	converged	0.0000	236.5004	6	corrected	488.0
bracewell4	hab2lo	7.5	flat	10	143.8323	7.4604	converged	120.0139	209.9835	6	corrected	494.3
bracewell4	hab2lo	7.5	flat	11	259.9170	7.5011	converged	0.0000	349.7688	5	corrected	424.8
bracewell4	hab2lo	7.5	flat	12	515.1287	7.4715	converged	0.0000	1402.7166	4	corrected	342.1
bracewell4	hab2lo	7.5	flat	13	486.2060	7.5247	converged	409.4690	1027.2948	5	corrected	411.6
bracewell4	hab2lo	7.5	flat	14	337.4740	7.5097	converged	0.0000	878.4584	4	corrected	349.3
bracewell4	hab2lo	7.5	flat	15	570.4504	7.5108	converged	0.0000	666.3020	5	corrected	423.3
bracewell4	hab2lo	7.5	flat	16	236.0802	7.5021	converged	0.0000	267.3541	5	corrected	423.0
bracewell4	hab2lo	7.5	flat	17	227.3939	7.4674	converged	0.0000	321.6985	5	corrected	422.9
bracewell4	hab2lo	7.5	flat	18	323.5979	7.5491	converged	307.2113	348.6339	6	corrected	496.3
bracewell4	hab2lo	7.5	flat	19	311.1911	7.4793	converged	0.0000	399.2320	5	corrected	419.9
bracewell4	hab2lo	7.5	flat	20	194.0624	7.5341	converged	0.0000	475.3460	4	corrected	344.5
bracewell4	hab2lo	7.5	flat	21	564.0684	7.5353	converged	517.2855	1286.4880	5	corrected	417.8
bracewell4	hab2lo	7.5	flat	22	77.0802	7.5174	converged	0.0000	102.2452	5	corrected	436.2
bracewell4	hab2lo	7.5	flat	23	682.4551	7.4829	converged	0.0000	728.3848	5	corrected	428.6
bracewell4	hab2lo	7.5	flat	24	618.9038	7.5444	converged	0.0000	670.5202	5	corrected	413.8
bracewell4	hab2lo	7.5	flat	25	304.1379	7.4927	converged	0.0000	926.4198	4	corrected	339.3
bracewell4	hab2lo	7.5	flat	26	398.3474	7.5230	converged	0.0000	1028.0437	4	corrected	348.2
bracewell4	hab2lo	7.5	flat	27	256.4590	7.5017	converged	0.0000	734.2293	4	corrected	348.8
bracewell4	hab2lo	7.5	flat	28	308.7130	7.5370	converged	0.0000	746.3048	4	corrected	349.4
bracewell4	hab2lo	7.5	flat	29	462.1813	7.4896	converged	0.0000	1059.3732	4	corrected	347.6
bracewell4	hab2lo	7.5	flat	30	204.4279	7.5080	converged	0.0000	239.8866	6	corrected	493.6
bracewell4	hab2lo	7.5	flat	31	312.1789	7.4184	converged	312.1789	318.8499	8	corrected	634.2
bracewell4	hab2lo	7.5	flat	32	933.6541	7.5413	converged	0.0000	2080.8359	4	corrected	340.8
bracewell4	hab2lo	7.5	flat	33	127.1695	7.4952	converged	0.0000	169.1179	5	corrected	417.1
bracewell4	hab2lo	7.5	flat	34	234.3470	7.5139	converged	0.0000	267.4224	6	corrected	484.3
bracewell4	hab2lo	7.5	flat	35	210.8935	7.4778	converged	0.0000	467.6597	4	corrected	350.5
bracewell4	hab2lo	7.5	flat	36	580.0549	7.4660	converged	0.0000	1517.9491	4	corrected	347.7
bracewell4	hab2lo	7.5	flat	37	573.4533	7.6148	converged	563.7746	573.4533	9	corrected	685.7
bracewell4	hab2lo	7.5	flat	38	496.4638	7.5416	converged	467.1633	529.7250	6	corrected	492.1
bracewell4	hab2lo	7.5	flat	39	390.2920	7.4761	converged	0.0000	907.7698	4	corrected	342.8
bracewell4	hab2lo	7.5	flat	40	244.9130	7.5397	converged	0.0000	274.3709	7	corrected	549.2
bracewell4	hab2lo	7.5	flat	41	503.5355	7.5260	converged	0.0000	1284.8955	4	corrected	353.5
bracewell4	hab2lo	7.5	flat	42	342.4957	7.5240	converged	0.0000	980.2418	4	corrected	349.9
bracewell4	hab2lo	7.5	flat	43	533.4731	7.4626	converged	487.6895	1322.4742	5	corrected	409.9
bracewell4	hab2lo	7.5	flat	44	445.1456	7.4908	converged	0.0000	476.2025	6	corrected	491.8
bracewell4	hab2lo	7.5	flat	45	585.8780	7.5402	converged	0.0000	704.6189	5	corrected	413.2
bracewell4	hab2lo	7.5	flat	46	420.9458	7.5134	converged	0.0000	461.5965	6	corrected	486.5
bracewell4	hab2lo	7.5	flat	47	305.1561	7.5073	converged	0.0000	674.3935	4	corrected	341.0
bracewell4	hab2lo	7.5	flat	48	423.9955	7.4788	converged	402.4552	443.7014	7	corrected	548.0
bracewell4	hab2lo	7.5	flat	49	573.2145	7.5436	converged	0.0000	1498.2625	4	corrected	336.4
