design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
bracewell4	hab2lo	7.5	flat	50	332.3787	7.5472	converged	247.7283	496.1314	5	corrected	424.2
bracewell4	hab2lo	7.5	flat	51	367.6750	7.5389	converged	0.0000	432.2824	6	corrected	493.2
bracewell4	hab2lo	7.5	flat	52	555.0863	7.4906	converged	0.0000	1158.4873	4	corrected	363.0
bracewell4	hab2lo	7.5	flat	53	302.9708	7.5230	converged	0.0000	346.4417	5	corrected	425.5
bracewell4	hab2lo	7.5	flat	54	539.6096	7.4665	converged	514.0271	598.9371	6	corrected	498.0
bracewell4	hab2lo	7.5	flat	55	210.1553	7.5478	converged	0.0000	668.6119	4	corrected	356.8
bracewell4	hab2lo	7.5	flat	56	336.8429	7.4663	converged	0.0000	964.8195	4	corrected	352.5
bracewell4	hab2lo	7.5	flat	57	307.9210	7.4888	converged	0.0000	393.7455	5	corrected	419.1
bracewell4	hab2lo	7.5	flat	58	144.6106	7.4666	converged	0.0000	274.7795	5	corrected	420.4
bracewell4	hab2lo	7.5	flat	59	455.1685	7.5468	converged	0.0000	1087.7972	4	corrected	341.8
bracewell4	hab2lo	7.5	flat	60	575.5738	7.4766	converged	552.3743	595.2285	7	corrected	555.7
bracewell4	hab2lo	7.5	flat	61	522.5645	7.4877	converged	476.1827	1250.4903	5	corrected	420.5
bracewell4	hab2lo	7.5	flat	62	231.8722	7.5098	converged	0.0000	687.0925	4	corrected	346.2
bracewell4	hab2lo	7.5	flat	63	265.6197	7.4961	converged	0.0000	307.2843	5	corrected	424.0
bracewell4	hab2lo	7.5	flat	64	503.5065	7.5064	converged	427.5789	543.8436	6	corrected	485.4
bracewell4	hab2lo	7.5	flat	65	374.3392	7.5296	converged	0.0000	834.6198	4	corrected	353.3
bracewell4	hab2lo	7.5	flat	66	260.1141	7.5138	converged	0.0000	314.1136	5	corrected	428.1
bracewell4	hab2lo	7.5	flat	67	600.4374	7.4863	converged	0.0000	1431.5086	4	corrected	349.0
bracewell4	hab2lo	7.5	flat	68	295.2254	7.4705	converged	0.0000	856.6735	4	corrected	347.0
bracewell4	hab2lo	7.5	flat	69	260.7809	7.4676	converged	0.0000	341.6780	5	corrected	420.4
bracewell4	hab2lo	7.5	flat	70	345.6016	7.4512	converged	0.0000	939.5747	4	corrected	360.2
bracewell4	hab2lo	7.5	flat	71	418.0170	7.5149	converged	0.0000	524.9710	5	corrected	421.1
bracewell4	hab2lo	7.5	flat	72	367.2155	7.5251	converged	0.0000	448.8674	5	corrected	413.1
bracewell4	hab2lo	7.5	flat	73	193.4463	7.5269	converged	0.0000	231.9797	5	corrected	417.2
bracewell4	hab2lo	7.5	flat	74	256.7818	7.4878	converged	0.0000	331.7271	5	corrected	419.3
bracewell4	hab2lo	7.5	flat	75	647.1544	7.4681	converged	0.0000	731.2979	5	corrected	408.0
bracewell4	hab2lo	7.5	flat	76	292.0064	7.5498	converged	248.9461	687.3753	5	corrected	410.6
bracewell4	hab2lo	7.5	flat	77	394.0823	7.4294	converged	394.0823	401.3803	9	corrected	685.6
bracewell4	hab2lo	7.5	flat	78	393.9018	7.5423	converged	0.0000	1030.1401	4	corrected	342.1
bracewell4	hab2lo	7.5	flat	79	0.0000	7.6480	zero_budget_at_or_above_target	0.0000	20000.0000	2	corrected	213.4
bracewell4	hab2lo	7.5	flat	80	654.8160	7.4636	converged	0.0000	808.9849	5	corrected	418.6
bracewell4	hab2lo	7.5	flat	81	423.5978	7.5041	converged	0.0000	467.7439	5	corrected	405.8
bracewell4	hab2lo	7.5	flat	82	408.2612	7.4732	converged	0.0000	878.3054	4	corrected	354.5
bracewell4	hab2lo	7.5	flat	83	272.4496	7.5161	converged	0.0000	543.7236	4	corrected	352.4
bracewell4	hab2lo	7.5	flat	84	542.9537	7.5325	converged	0.0000	1297.7304	4	corrected	343.2
bracewell4	hab2lo	7.5	flat	85	249.1648	7.5368	converged	0.0000	679.8644	4	corrected	333.6
bracewell4	hab2lo	7.5	flat	86	285.7353	7.2399	converged	285.7353	295.5439	8	corrected	627.7
bracewell4	hab2lo	7.5	flat	87	611.7035	7.5138	converged	0.0000	671.9883	5	corrected	420.2
bracewell4	hab2lo	7.5	flat	88	238.6982	7.5416	converged	0.0000	333.9140	5	corrected	416.3
bracewell4	hab2lo	7.5	flat	89	705.7189	7.5229	converged	678.3706	779.7686	6	corrected	488.1
bracewell4	hab2lo	7.5	flat	90	522.1256	7.5133	converged	0.0000	569.7934	7	corrected	564.7
bracewell4	hab2lo	7.5	flat	91	457.9066	7.4741	converged	430.2487	539.4726	6	corrected	482.1
bracewell4	hab2lo	7.5	flat	92	555.2336	7.5253	converged	0.0000	1441.2725	4	corrected	341.9
bracewell4	hab2lo	7.5	flat	93	439.4209	7.5384	converged	375.1736	1060.3923	5	corrected	409.6
bracewell4	hab2lo	7.5	flat	94	182.3749	7.5044	converged	0.0000	552.0350	4	corrected	341.9
bracewell4	hab2lo	7.5	flat	95	474.8385	7.5321	converged	0.0000	1325.6781	4	corrected	343.9
bracewell4	hab2lo	7.5	flat	96	239.1238	7.5081	converged	0.0000	679.4749	4	corrected	337.3
bracewell4	hab2lo	7.5	flat	97	560.8897	7.5393	converged	509.9731	1228.6299	5	corrected	414.4
bracewell4	hab2lo	7.5	flat	98	369.7852	7.5418	converged	0.0000	412.0613	6	corrected	472.1
bracewell4	hab2lo	7.5	flat	99	269.2675	7.5137	converged	0.0000	332.0634	5	corrected	401.9
