replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
50	0	3.225483	0.518078	2.492442	6.236002
50	1	3.225483	0.464456	1.960375	5.650313
50	2	3.225483	0.597616	3.334619	7.157717
50	3	3.225483	0.625078	3.660076	7.510636
50	4	3.225483	0.493391	2.247488	5.966362
50	5	3.225483	0.556540	2.874078	6.656100
50	6	3.225483	0.631493	3.617808	7.474784
50	7	3.225483	0.421483	1.533980	5.180946
50	8	3.225483	0.500997	2.322952	6.049431
50	9	3.225483	0.646092	3.762658	7.634232
50	10	3.225483	0.604458	3.349550	7.179490
50	11	3.225483	0.487242	2.186477	5.899202
50	12	3.225483	0.620937	3.513060	7.359480
50	13	3.225483	0.593834	3.297099	7.116416
50	14	3.225483	0.528754	2.598375	6.352612
50	15	3.225483	0.470991	2.025226	5.721700
50	16	3.225483	0.620937	3.513060	7.359480
50	17	3.225483	0.471654	2.031801	5.728938
50	18	3.225483	0.615283	3.509927	7.350693
50	19	3.225483	0.560081	2.909222	6.694786
50	20	3.225483	0.498762	2.300783	6.025028
50	21	3.225483	0.651057	3.811926	7.688465
50	22	3.225483	0.685249	4.151200	8.061932
50	23	3.225483	0.471092	2.026219	5.722794
50	24	3.225483	0.464456	1.960375	5.650313
50	25	3.225483	0.606212	3.366951	7.198645
50	26	3.225483	0.549252	2.801763	6.576498
50	27	3.225483	0.637622	3.678621	7.541726
50	28	3.225483	0.438206	1.699909	5.363597
50	29	3.225483	0.489355	2.207437	5.922274
50	30	3.225483	0.564740	2.955444	6.745666
50	31	3.225483	0.552339	2.832397	6.610218
50	32	3.225483	0.583084	3.137467	6.946034
50	33	3.225483	0.637622	3.678621	7.541726
50	34	3.225483	0.588235	3.188577	7.002295
50	35	3.225483	0.471654	2.031801	5.728938
50	36	3.225483	0.540659	2.716500	6.482641
50	37	3.225483	0.623227	3.747634	7.596343
50	38	3.225483	0.480799	2.122547	5.828829
50	39	3.225483	0.564740	2.955444	6.745666
50	40	3.225483	0.493657	2.250123	5.969262
50	41	3.225483	0.685249	4.151200	8.061932
50	42	3.225483	0.695074	4.248684	8.169240
50	43	3.225483	0.480799	2.122547	5.828829
50	44	3.225483	0.634768	3.650299	7.510549
50	45	3.225483	0.480799	2.122547	5.828829
50	46	3.225483	0.525585	2.566933	6.318000
50	47	3.225483	0.528754	2.598375	6.352612
50	48	3.225483	0.549252	2.801763	6.576498
50	49	3.225483	0.518078	2.492442	6.236002
50	50	3.225483	0.530264	2.613354	6.369100
50	51	3.225483	0.537691	2.687051	6.450224
50	52	3.225483	0.580909	3.115888	6.922280
50	53	3.225483	0.487242	2.186477	5.899202
50	54	3.225483	0.620937	3.513060	7.359480
50	55	3.225483	0.609880	3.403349	7.238712
50	56	3.225483	0.634768	3.650299	7.510549
50	57	3.225483	0.586941	3.440550	7.252973
50	58	3.225483	0.531038	2.621035	6.377556
50	59	3.225483	0.471092	2.026219	5.722794
50	60	3.225483	0.662320	3.923685	7.811488
50	61	3.225483	0.480799	2.122547	5.828829
50	62	3.225483	0.493391	2.247488	5.966362
50	63	3.225483	0.552549	2.834480	6.612511
50	64	3.225483	0.528754	2.598375	6.352612
50	65	3.225483	0.487036	2.184427	5.896945
50	66	3.225483	0.663511	3.935503	7.824497
50	67	3.225483	0.552549	2.834480	6.612511
50	68	3.225483	0.470991	2.025226	5.721700
50	69	3.225483	0.500997	2.322952	6.049431
50	70	3.225483	0.624623	3.602601	7.452707
50	71	3.225483	0.623227	3.747634	7.596343
50	72	3.225483	0.540659	2.716500	6.482641
50	73	3.225483	0.513867	2.874373	6.613723
50	74	3.225483	0.605008	3.355001	7.185491
50	75	3.225483	0.498762	2.300783	6.025028
50	76	3.225483	0.487036	2.184427	5.896945
50	77	3.225483	0.614757	3.451743	7.291983
50	78	3.225483	0.554483	2.853671	6.633636
50	79	3.225483	0.540659	2.716500	6.482641
50	80	3.225483	0.537691	2.687051	6.450224
50	81	3.225483	0.525585	2.566933	6.318000
50	82	3.225483	0.538443	2.694513	6.458439
50	83	3.225483	0.607387	3.378612	7.211482
50	84	3.225483	0.620937	3.513060	7.359480
50	85	3.225483	0.475982	2.074742	5.776206
50	86	3.225483	0.583714	3.143713	6.952909
50	87	3.225483	0.530264	2.613354	6.369100
50	88	3.225483	0.484423	2.158501	5.868407
50	89	3.225483	0.609880	3.403349	7.238712
50	90	3.225483	0.582491	3.131576	6.939550
50	91	3.225483	0.517956	2.491230	6.234668
50	92	3.225483	0.620937	3.513060	7.359480
50	93	3.225483	0.583714	3.143713	6.952909
50	94	3.225483	0.549252	2.801763	6.576498
50	95	3.225483	0.609880	3.403349	7.238712
50	96	3.225483	0.642529	3.886197	7.754209
50	97	3.225483	0.560498	2.913359	6.699340
50	98	3.225483	0.609880	3.403349	7.238712
50	99	3.225483	0.563586	2.943995	6.733064
51	0	3.338011	0.528629	3.073805	6.940444
51	1	3.338011	0.556193	2.870636	6.764839
51	2	3.338011	0.586914	3.440283	7.365208
51	3	3.338011	0.569785	3.005510	6.913307
51	4	3.338011	0.602293	3.328061	7.268365
51	5	3.338011	0.554276	2.851622	6.743909
51	6	3.338011	0.602293	3.328061	7.268365
51	7	3.338011	0.549091	2.800167	6.687269
51	8	3.338011	0.628053	3.583665	7.549729
51	9	3.338011	0.558440	3.104790	7.001241
51	10	3.338011	0.691287	4.211114	8.240412
51	11	3.338011	0.530620	2.616887	6.485517
51	12	3.338011	0.505044	2.363116	6.206171
51	13	3.338011	0.488436	2.198325	6.024772
51	14	3.338011	0.570143	3.009053	6.917207
51	15	3.338011	0.576841	3.075519	6.990371
51	16	3.338011	0.601420	3.319400	7.258831
51	17	3.338011	0.508026	2.392705	6.238742
51	18	3.338011	0.615250	3.456636	7.409897
51	19	3.338011	0.485654	2.170714	5.994378
51	20	3.338011	0.635384	3.656413	7.629808
51	21	3.338011	0.521923	2.530593	6.390527
51	22	3.338011	0.488984	2.203761	6.030756
51	23	3.338011	0.744828	4.742372	8.825211
51	24	3.338011	0.505188	2.364542	6.207741
51	25	3.338011	0.488436	2.198325	6.024772
51	26	3.338011	0.626953	3.572756	7.537720
51	27	3.338011	0.542988	2.739614	6.620613
51	28	3.338011	0.523792	2.549144	6.410947
51	29	3.338011	0.505044	2.363116	6.206171
51	30	3.338011	0.550280	2.811970	6.700261
51	31	3.338011	0.573198	3.145295	7.056503
51	32	3.338011	0.488984	2.203761	6.030756
51	33	3.338011	0.572250	3.400715	7.310977
51	34	3.338011	0.526214	2.573177	6.437402
51	35	3.338011	0.522326	2.534592	6.394929
51	36	3.338011	0.507926	2.391712	6.237649
51	37	3.338011	0.472254	2.037753	5.848018
51	38	3.338011	0.513084	2.442891	6.293986
51	39	3.338011	0.513084	2.442891	6.293986
51	40	3.338011	0.522326	2.534592	6.394929
51	41	3.338011	0.601420	3.319400	7.258831
51	42	3.338011	0.507939	2.391839	6.237789
51	43	3.338011	0.507926	2.391712	6.237649
51	44	3.338011	0.549655	3.123545	7.011210
51	45	3.338011	0.530639	2.617077	6.485727
51	46	3.338011	0.556276	2.871460	6.765746
51	47	3.338011	0.554106	2.849934	6.742052
51	48	3.338011	0.526214	2.573177	6.437402
51	49	3.338011	0.508026	2.392705	6.238742
51	50	3.338011	0.591319	3.325109	7.254439
51	51	3.338011	0.542988	2.739614	6.620613
51	52	3.338011	0.638718	3.795421	7.772150
51	53	3.338011	0.589644	3.202560	7.130216
51	54	3.338011	0.488436	2.198325	6.024772
51	55	3.338011	0.522326	2.534592	6.394929
51	56	3.338011	0.511287	2.425055	6.274352
51	57	3.338011	0.526214	2.573177	6.437402
51	58	3.338011	0.530620	2.616887	6.485517
51	59	3.338011	0.671340	4.119116	8.128467
51	60	3.338011	0.493962	2.253156	6.085129
51	61	3.338011	0.603583	3.340866	7.282460
51	62	3.338011	0.601420	3.319400	7.258831
51	63	3.338011	0.474177	2.056832	5.869019
51	64	3.338011	0.550280	2.811970	6.700261
51	65	3.338011	0.513084	2.442891	6.293986
51	66	3.338011	0.542336	2.733145	6.613493
51	67	3.338011	0.588137	3.187601	7.113748
51	68	3.338011	0.600446	3.309743	7.248200
51	69	3.338011	0.588137	3.187601	7.113748
51	70	3.338011	0.508026	2.392705	6.238742
51	71	3.338011	0.589131	3.197463	7.124605
51	72	3.338011	0.523887	2.550085	6.411983
51	73	3.338011	0.569785	3.005510	6.913307
51	74	3.338011	0.583409	3.140690	7.062110
51	75	3.338011	0.420514	1.524363	5.282887
51	76	3.338011	0.526214	2.573177	6.437402
51	77	3.338011	0.511287	2.425055	6.274352
51	78	3.338011	0.534764	2.658012	6.530787
51	79	3.338011	0.490903	2.222798	6.051712
51	80	3.338011	0.542856	2.738303	6.619170
51	81	3.338011	0.490903	2.222798	6.051712
51	82	3.338011	0.554832	2.857139	6.749982
51	83	3.338011	0.542336	2.733145	6.613493
51	84	3.338011	0.554832	2.857139	6.749982
51	85	3.338011	0.580353	3.110371	7.028736
51	86	3.338011	0.635384	3.656413	7.629808
51	87	3.338011	0.534764	2.658012	6.530787
51	88	3.338011	0.490903	2.222798	6.051712
51	89	3.338011	0.505044	2.363116	6.206171
51	90	3.338011	0.507926	2.391712	6.237649
51	91	3.338011	0.626953	3.572756	7.537720
51	92	3.338011	0.635384	3.656413	7.629808
51	93	3.338011	0.523792	2.549144	6.410947
51	94	3.338011	0.600310	3.626170	7.564491
51	95	3.338011	0.635894	3.661467	7.635372
51	96	3.338011	0.523792	2.549144	6.410947
51	97	3.338011	0.472254	2.037753	5.848018
51	98	3.338011	0.526214	2.573177	6.437402
51	99	3.338011	0.554106	2.849934	6.742052
52	0	3.024739	0.593098	3.236829	6.854666
52	1	3.024739	0.524642	2.557574	6.106955
52	2	3.024739	0.504853	2.361219	5.890812
52	3	3.024739	0.590560	3.211647	6.826947
52	4	3.024739	0.630597	3.767800	7.423136
52	5	3.024739	0.567482	2.982650	6.574871
52	6	3.024739	0.581141	3.118183	6.724063
52	7	3.024739	0.580347	3.110303	6.715389
52	8	3.024739	0.535825	2.668541	6.229106
52	9	3.024739	0.586088	3.167276	6.778104
52	10	3.024739	0.542939	2.739130	6.306809
52	11	3.024739	0.532667	2.849054	6.406461
52	12	3.024739	0.502040	2.333302	5.860081
52	13	3.024739	0.626836	3.571592	7.223168
52	14	3.024739	0.535825	2.668541	6.229106
52	15	3.024739	0.596158	3.267195	6.888092
52	16	3.024739	0.485748	2.171646	5.682134
52	17	3.024739	0.501727	2.330202	5.856669
52	18	3.024739	0.610792	3.412400	7.047932
52	19	3.024739	0.602541	3.330529	6.957809
52	20	3.024739	0.676334	4.274590	7.975663
52	21	3.024739	0.570756	3.015141	6.610637
52	22	3.024739	0.488350	2.197463	5.710552
52	23	3.024739	0.580347	3.110303	6.715389
52	24	3.024739	0.547962	2.788967	6.361668
52	25	3.024739	0.540457	2.714502	6.279699
52	26	3.024739	0.570756	3.015141	6.610637
52	27	3.024739	0.662256	3.923047	7.610043
52	28	3.024739	0.543953	2.749186	6.317878
52	29	3.024739	0.567482	2.982650	6.574871
52	30	3.024739	0.555677	2.865520	6.445937
52	31	3.024739	0.642538	3.727398	7.394676
52	32	3.024739	0.501727	2.330202	5.856669
52	33	3.024739	0.436153	2.315111	5.776004
52	34	3.024739	0.583094	3.137560	6.745393
52	35	3.024739	0.584696	3.312353	6.921788
52	36	3.024739	0.662256	3.923047	7.610043
52	37	3.024739	0.623593	3.539411	7.187743
52	38	3.024739	0.502040	2.333302	5.860081
52	39	3.024739	0.583094	3.137560	6.745393
52	40	3.024739	0.590560	3.211647	6.826947
52	41	3.024739	0.690741	4.205690	7.921170
