replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
0	0	3.337141	0.563620	2.944333	6.845093
0	1	3.337141	0.639071	3.693000	7.669212
0	2	3.337141	0.697980	4.277517	8.312638
0	3	3.337141	0.566825	3.240954	7.144920
0	4	3.337141	0.697980	4.277517	8.312638
0	5	3.337141	0.550110	2.810279	6.697529
0	6	3.337141	0.639071	3.693000	7.669212
0	7	3.337141	0.697980	4.277517	8.312638
0	8	3.337141	0.580077	3.107630	7.024848
0	9	3.337141	0.512833	2.970041	6.820015
0	10	3.337141	0.624450	3.547918	7.509509
0	11	3.337141	0.604234	3.400294	7.341669
0	12	3.337141	0.509712	2.409428	6.256280
0	13	3.337141	0.648364	3.785202	7.770706
0	14	3.337141	0.639071	3.693000	7.669212
0	15	3.337141	0.551958	2.828618	6.717717
0	16	3.337141	0.624450	3.547918	7.509509
0	17	3.337141	0.665070	3.950975	7.953186
0	18	3.337141	0.546129	2.770780	6.654050
0	19	3.337141	0.699727	4.294854	8.331721
0	20	3.337141	0.665070	3.950975	7.953186
0	21	3.337141	0.519344	2.505009	6.361494
0	22	3.337141	0.529656	2.607322	6.474118
0	23	3.337141	0.598284	3.288291	7.223717
0	24	3.337141	0.510544	2.417685	6.265370
0	25	3.337141	0.487165	2.185705	6.010011
0	26	3.337141	0.621022	3.513903	7.472065
0	27	3.337141	0.635439	3.656952	7.629532
0	28	3.337141	0.519344	2.505009	6.361494
0	29	3.337141	0.550110	2.810279	6.697529
0	30	3.337141	0.564950	2.957529	6.859620
0	31	3.337141	0.529014	2.600960	6.467115
0	32	3.337141	0.507284	2.385343	6.229768
0	33	3.337141	0.648364	3.785202	7.770706
0	34	3.337141	0.547708	2.786451	6.671300
0	35	3.337141	0.614697	3.451142	7.402980
0	36	3.337141	0.551958	2.828618	6.717717
0	37	3.337141	0.648364	3.785202	7.770706
0	38	3.337141	0.665611	4.115228	8.117979
0	39	3.337141	0.550791	2.817035	6.704966
0	40	3.337141	0.671732	4.017070	8.025942
0	41	3.337141	0.499917	2.788910	6.625967
0	42	3.337141	0.543773	2.747399	6.628313
0	43	3.337141	0.486470	2.178808	6.002418
0	44	3.337141	0.604311	3.348091	7.289543
0	45	3.337141	0.697980	4.277517	8.312638
0	46	3.337141	0.503364	2.346447	6.186952
0	47	3.337141	0.580077	3.107630	7.024848
0	48	3.337141	0.496789	2.281203	6.115133
0	49	3.337141	0.564950	2.957529	6.859620
0	50	3.337141	0.716913	4.465385	8.519439
0	51	3.337141	0.549753	2.806738	6.693632
