replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
50	0	3.196881	0.518404	2.495678	6.210963
50	1	3.196881	0.464382	1.959640	5.620903
50	2	3.196881	0.577786	3.190825	6.965492
50	3	3.196881	0.602984	3.493814	7.293679
50	4	3.196881	0.494294	2.256447	5.947622
50	5	3.196881	0.557372	2.882339	6.636592
50	6	3.196881	0.614237	3.499540	7.310658
50	7	3.196881	0.422017	1.539279	5.158178
50	8	3.196881	0.501084	2.323818	6.021783
50	9	3.196881	0.651840	3.819695	7.668416
50	10	3.196881	0.606708	3.371872	7.175461
50	11	3.196881	0.487525	2.189278	5.873684
50	12	3.196881	0.620606	3.509776	7.327263
50	13	3.196881	0.620331	3.507044	7.324255
50	14	3.196881	0.528793	2.598761	6.324434
50	15	3.196881	0.471442	2.029697	5.698021
50	16	3.196881	0.620606	3.509776	7.327263
50	17	3.196881	0.472729	2.042472	5.712083
50	18	3.196881	0.568449	3.151143	6.916473
50	19	3.196881	0.560467	2.913053	6.670401
50	20	3.196881	0.499486	2.307964	6.004332
50	21	3.196881	0.657517	3.876027	7.730425
50	22	3.196881	0.693166	4.229753	8.119800
50	23	3.196881	0.470776	2.023092	5.690750
50	24	3.196881	0.464382	1.959640	5.620903
50	25	3.196881	0.608932	3.393944	7.199758
50	26	3.196881	0.549984	2.809027	6.555892
50	27	3.196881	0.637543	3.677831	7.512254
50	28	3.196881	0.438738	1.705188	5.340807
50	29	3.196881	0.490000	2.213835	5.900716
50	30	3.196881	0.565354	2.961536	6.723771
50	31	3.196881	0.553244	2.841379	6.591504
50	32	3.196881	0.584860	3.155088	6.936829
50	33	3.196881	0.637543	3.677831	7.512254
50	34	3.196881	0.590850	3.214522	7.002253
50	35	3.196881	0.472729	2.042472	5.712083
50	36	3.196881	0.539316	2.703179	6.439376
50	37	3.196881	0.566876	3.294419	7.058176
50	38	3.196881	0.481734	2.131817	5.810432
50	39	3.196881	0.565354	2.961536	6.723771
50	40	3.196881	0.496658	2.279898	5.973437
50	41	3.196881	0.693166	4.229753	8.119800
50	42	3.196881	0.711338	4.410069	8.318289
50	43	3.196881	0.481734	2.131817	5.810432
50	44	3.196881	0.636621	3.668687	7.502189
50	45	3.196881	0.481734	2.131817	5.810432
50	46	3.196881	0.526019	2.571238	6.294138
50	47	3.196881	0.528793	2.598761	6.324434
50	48	3.196881	0.549984	2.809027	6.555892
50	49	3.196881	0.518404	2.495678	6.210963
50	50	3.196881	0.529776	2.608516	6.335173
50	51	3.196881	0.537124	2.681426	6.415431
50	52	3.196881	0.585398	3.160428	6.942707
50	53	3.196881	0.487525	2.189278	5.873684
50	54	3.196881	0.620606	3.509776	7.327263
50	55	3.196881	0.609903	3.403574	7.210358
50	56	3.196881	0.636621	3.668687	7.502189
50	57	3.196881	0.565866	3.284402	7.047149
50	58	3.196881	0.532887	2.639384	6.369151
50	59	3.196881	0.470776	2.023092	5.690750
50	60	3.196881	0.663997	3.940327	7.801205
50	61	3.196881	0.481734	2.131817	5.810432
50	62	3.196881	0.494294	2.256447	5.947622
50	63	3.196881	0.553307	2.841999	6.592187
50	64	3.196881	0.528793	2.598761	6.324434
50	65	3.196881	0.486938	2.183454	5.867273
50	66	3.196881	0.667804	3.978101	7.842787
50	67	3.196881	0.553307	2.841999	6.592187
50	68	3.196881	0.471442	2.029697	5.698021
50	69	3.196881	0.501084	2.323818	6.021783
50	70	3.196881	0.625493	3.611232	7.433606
50	71	3.196881	0.566876	3.294419	7.058176
