design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
bracewell4	hab2lo	7.75	long_weighted	0	1022.0425	7.7999	converged	0.0000	1950.6159	4	corrected	353.1
bracewell4	hab2lo	7.75	long_weighted	1	1404.1755	7.7256	converged	0.0000	2550.6137	4	corrected	340.3
bracewell4	hab2lo	7.75	long_weighted	2	884.8401	7.7728	converged	820.5364	1695.9492	5	corrected	402.0
bracewell4	hab2lo	7.75	long_weighted	3	1176.1684	7.7050	converged	0.0000	1355.9083	5	corrected	399.6
bracewell4	hab2lo	7.75	long_weighted	4	884.6707	7.7835	converged	0.0000	1650.0344	4	corrected	332.0
bracewell4	hab2lo	7.75	long_weighted	5	874.5707	7.7094	converged	0.0000	1801.3097	4	corrected	339.2
bracewell4	hab2lo	7.75	long_weighted	6	780.5620	7.7900	converged	0.0000	1437.1799	4	corrected	338.1
bracewell4	hab2lo	7.75	long_weighted	7	1412.4022	7.7756	converged	1361.9731	1475.8268	6	corrected	473.7
bracewell4	hab2lo	7.75	long_weighted	8	1312.7434	7.7595	converged	0.0000	1511.1028	5	corrected	414.8
bracewell4	hab2lo	7.75	long_weighted	9	739.6013	7.7443	converged	0.0000	805.0386	5	corrected	411.5
bracewell4	hab2lo	7.75	long_weighted	10	760.5718	7.7719	converged	0.0000	1365.7530	4	corrected	347.1
bracewell4	hab2lo	7.75	long_weighted	11	958.2578	7.7523	converged	0.0000	1047.0824	5	corrected	400.0
bracewell4	hab2lo	7.75	long_weighted	12	1288.8440	7.7751	converged	0.0000	2595.2110	4	corrected	337.2
bracewell4	hab2lo	7.75	long_weighted	13	1035.1561	7.7555	converged	0.0000	2034.6858	4	corrected	341.5
bracewell4	hab2lo	7.75	long_weighted	14	1130.4593	7.7182	converged	0.0000	1893.1726	4	corrected	344.3
bracewell4	hab2lo	7.75	long_weighted	15	1423.1461	7.7595	converged	0.0000	1640.4894	5	corrected	399.9
bracewell4	hab2lo	7.75	long_weighted	16	903.5716	7.7609	converged	0.0000	1660.3304	4	corrected	335.9
bracewell4	hab2lo	7.75	long_weighted	17	919.2653	7.7720	converged	0.0000	1006.9936	5	corrected	413.0
bracewell4	hab2lo	7.75	long_weighted	18	965.7326	7.7891	converged	0.0000	1756.9328	4	corrected	356.3
bracewell4	hab2lo	7.75	long_weighted	19	910.0875	7.7735	converged	0.0000	980.5911	6	corrected	492.4
bracewell4	hab2lo	7.75	long_weighted	20	728.0377	7.7937	converged	0.0000	1332.1245	4	corrected	351.2
bracewell4	hab2lo	7.75	long_weighted	21	1468.7968	7.7518	converged	1387.8060	2398.2196	5	corrected	431.3
bracewell4	hab2lo	7.75	long_weighted	22	602.4561	7.7647	converged	0.0000	1129.7585	4	corrected	348.1
bracewell4	hab2lo	7.75	long_weighted	23	1761.1860	7.7520	converged	0.0000	2974.3652	4	corrected	348.8
bracewell4	hab2lo	7.75	long_weighted	24	1610.6985	7.7764	converged	0.0000	1698.0694	5	corrected	420.4
bracewell4	hab2lo	7.75	long_weighted	25	901.2557	7.7965	converged	0.0000	1913.5450	4	corrected	351.0
bracewell4	hab2lo	7.75	long_weighted	26	1044.8257	7.7136	converged	0.0000	2034.9032	4	corrected	349.7
bracewell4	hab2lo	7.75	long_weighted	27	792.4713	7.7128	converged	726.7560	947.8095	6	corrected	491.6
bracewell4	hab2lo	7.75	long_weighted	28	983.0379	7.6625	converged	983.0379	989.5797	9	corrected	685.3
bracewell4	hab2lo	7.75	long_weighted	29	1310.7574	7.7844	converged	0.0000	2098.2474	4	corrected	337.2
bracewell4	hab2lo	7.75	long_weighted	30	998.0697	7.7442	converged	0.0000	1897.3413	4	corrected	345.6
bracewell4	hab2lo	7.75	long_weighted	31	1065.2858	7.7434	converged	0.0000	2094.9058	4	corrected	341.0
bracewell4	hab2lo	7.75	long_weighted	32	2092.0217	7.7779	converged	0.0000	3511.8578	4	corrected	343.2
bracewell4	hab2lo	7.75	long_weighted	33	553.3977	7.7618	converged	0.0000	692.0879	5	corrected	413.6
bracewell4	hab2lo	7.75	long_weighted	34	890.2628	7.6825	converged	890.2628	898.3784	9	corrected	681.3
bracewell4	hab2lo	7.75	long_weighted	35	722.5796	7.7089	converged	665.0427	761.1085	6	corrected	478.4
bracewell4	hab2lo	7.75	long_weighted	36	1459.2755	7.7610	converged	0.0000	2696.3788	4	corrected	343.0
bracewell4	hab2lo	7.75	long_weighted	37	1366.4148	7.7902	converged	0.0000	1709.4068	5	corrected	422.1
bracewell4	hab2lo	7.75	long_weighted	38	1411.1882	7.7983	converged	0.0000	2553.1273	4	corrected	344.0
bracewell4	hab2lo	7.75	long_weighted	39	1141.1798	7.7390	converged	1050.7993	1907.7147	5	corrected	406.4
bracewell4	hab2lo	7.75	long_weighted	40	1060.6295	7.7373	converged	0.0000	1142.2237	5	corrected	411.2
bracewell4	hab2lo	7.75	long_weighted	41	1226.2630	7.7790	converged	1177.9537	1298.8340	6	corrected	478.0
bracewell4	hab2lo	7.75	long_weighted	42	961.7102	7.7571	converged	0.0000	1028.5709	5	corrected	412.5
bracewell4	hab2lo	7.75	long_weighted	43	1320.4604	7.7336	converged	0.0000	2468.4975	4	corrected	338.6
bracewell4	hab2lo	7.75	long_weighted	44	1280.5041	7.7900	converged	0.0000	1458.2035	5	corrected	409.7
bracewell4	hab2lo	7.75	long_weighted	45	1438.1033	7.7731	converged	0.0000	1640.2111	5	corrected	402.8
bracewell4	hab2lo	7.75	long_weighted	46	1124.6823	7.7645	converged	0.0000	1300.0803	5	corrected	407.4
bracewell4	hab2lo	7.75	long_weighted	47	992.9163	7.7589	converged	920.9484	1612.4389	5	corrected	394.1
bracewell4	hab2lo	7.75	long_weighted	48	1061.1380	7.7904	converged	0.0000	1132.6279	6	corrected	460.4
bracewell4	hab2lo	7.75	long_weighted	49	1476.1931	7.7764	converged	0.0000	2698.1834	4	corrected	324.9
