replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
0	0	3.327763	0.554981	2.858616	6.741360
0	1	3.327763	0.628148	3.584614	7.540524
0	2	3.327763	0.688096	4.179442	8.195300
0	3	3.327763	0.575406	3.273133	7.176301
0	4	3.327763	0.688096	4.179442	8.195300
0	5	3.327763	0.539708	2.707067	6.574538
0	6	3.327763	0.628148	3.584614	7.540524
0	7	3.327763	0.688096	4.179442	8.195300
0	8	3.327763	0.568312	2.990886	6.886960
0	9	3.327763	0.508116	2.923233	6.759112
0	10	3.327763	0.613528	3.439546	7.380837
0	11	3.327763	0.598455	3.342948	7.269166
0	12	3.327763	0.495138	2.264825	6.087726
0	13	3.327763	0.633614	3.638849	7.600225
0	14	3.327763	0.628148	3.584614	7.540524
0	15	3.327763	0.540193	2.711882	6.579838
0	16	3.327763	0.613528	3.439546	7.380837
0	17	3.327763	0.651278	3.814116	7.793157
0	18	3.327763	0.523164	2.542911	6.393838
0	19	3.327763	0.657462	3.875480	7.860704
0	20	3.327763	0.651278	3.814116	7.793157
0	21	3.327763	0.510449	2.416748	6.254960
0	22	3.327763	0.520440	2.515877	6.364079
0	23	3.327763	0.583928	3.145838	7.057529
0	24	3.327763	0.501713	2.330062	6.159538
0	25	3.327763	0.480037	2.114985	5.922784
0	26	3.327763	0.597936	3.284837	7.210535
0	27	3.327763	0.624997	3.553350	7.506110
0	28	3.327763	0.510449	2.416748	6.254960
0	29	3.327763	0.539708	2.707067	6.574538
0	30	3.327763	0.555621	2.864967	6.748351
0	31	3.327763	0.520463	2.516110	6.364336
0	32	3.327763	0.500128	2.314337	6.142227
0	33	3.327763	0.633614	3.638849	7.600225
0	34	3.327763	0.538198	2.692084	6.558045
0	35	3.327763	0.605518	3.360067	7.293348
0	36	3.327763	0.540193	2.711882	6.579838
0	37	3.327763	0.633614	3.638849	7.600225
0	38	3.327763	0.654504	4.005025	7.987292
0	39	3.327763	0.542495	2.734724	6.604982
0	40	3.327763	0.663159	3.932005	7.922926
0	41	3.327763	0.452862	2.427934	6.208558
0	42	3.327763	0.530419	2.614895	6.473077
0	43	3.327763	0.478434	2.099079	5.905276
0	44	3.327763	0.582425	3.130927	7.041114
0	45	3.327763	0.688096	4.179442	8.195300
0	46	3.327763	0.496489	2.278227	6.102479
0	47	3.327763	0.568312	2.990886	6.886960
0	48	3.327763	0.490668	2.220469	6.038900
0	49	3.327763	0.555621	2.864967	6.748351
0	50	3.327763	0.659713	4.003745	7.991221
0	51	3.327763	0.541988	2.729692	6.599442
0	52	3.327763	0.559736	2.905799	6.793298
0	53	3.327763	0.512224	2.434359	6.274346
0	54	3.327763	0.663737	3.937747	7.929247
0	55	3.327763	0.636948	3.671928	7.636639
0	56	3.327763	0.525150	3.039287	6.892200
0	57	3.327763	0.533658	2.647040	6.508461
0	58	3.327763	0.539708	2.707067	6.574538
0	59	3.327763	0.507269	2.967794	6.802825
0	60	3.327763	0.562029	2.928548	6.818340
0	61	3.327763	0.624997	3.553350	7.506110
0	62	3.327763	0.538198	2.692084	6.558045
0	63	3.327763	0.708828	4.385156	8.421746
0	64	3.327763	0.567251	2.980361	6.875375
0	65	3.327763	0.533658	2.647040	6.508461
0	66	3.327763	0.538198	2.692084	6.558045
0	67	3.327763	0.636948	3.671928	7.636639
0	68	3.327763	0.593194	3.502602	7.423559
0	69	3.327763	0.490668	2.220469	6.038900
0	70	3.327763	0.613528	3.439546	7.380837
0	71	3.327763	0.520440	2.515877	6.364079
0	72	3.327763	0.530419	2.614895	6.473077
0	73	3.327763	0.500128	2.314337	6.142227
0	74	3.327763	0.616811	3.472120	7.416693
0	75	3.327763	0.511083	2.423038	6.261884
0	76	3.327763	0.554981	2.858616	6.741360
0	77	3.327763	0.512224	2.434359	6.274346
0	78	3.327763	0.609995	3.404486	7.342243
0	79	3.327763	0.533658	2.647040	6.508461
0	80	3.327763	0.512224	2.434359	6.274346
0	81	3.327763	0.501713	2.330062	6.159538
0	82	3.327763	0.564110	2.949196	6.841069
0	83	3.327763	0.628955	3.592620	7.549338
0	84	3.327763	0.628955	3.592620	7.549338
0	85	3.327763	0.617331	3.477278	7.422371
0	86	3.327763	0.578602	3.092996	6.999361
0	87	3.327763	0.597936	3.284837	7.210535
0	88	3.327763	0.496489	2.278227	6.102479
0	89	3.327763	0.625459	3.663861	7.617083
0	90	3.327763	0.478434	2.099079	5.905276
0	91	3.327763	0.542495	2.734724	6.604982
0	92	3.327763	0.490668	2.220469	6.038900
0	93	3.327763	0.519107	2.502649	6.349518
0	94	3.327763	0.480037	2.114985	5.922784
0	95	3.327763	0.494281	2.256317	6.078360
0	96	3.327763	0.624997	3.553350	7.506110
0	97	3.327763	0.563688	2.945007	6.836457
0	98	3.327763	0.568312	2.990886	6.886960
0	99	3.327763	0.539285	2.702866	6.569914
1	0	3.173657	0.643011	3.838016	7.654684
1	1	3.173657	0.687579	4.174318	8.035554
1	2	3.173657	0.674512	4.044656	7.892825
1	3	3.173657	0.543588	2.745567	6.462813
1	4	3.173657	0.613632	3.440575	7.227864
1	5	3.173657	0.508368	2.396100	6.078126
1	6	3.173657	0.520954	3.103577	6.798188
1	7	3.173657	0.529255	2.603347	6.306259
1	8	3.173657	0.559135	2.899830	6.632622
1	9	3.173657	0.433655	1.654751	5.262063
1	10	3.173657	0.595530	3.260957	7.030144
1	11	3.173657	0.534517	2.655561	6.363735
1	12	3.173657	0.481364	2.128144	5.783165
1	13	3.173657	0.542977	2.739504	6.456139
1	14	3.173657	0.508368	2.396100	6.078126
1	15	3.173657	0.590441	3.634176	7.398274
1	16	3.173657	0.587274	3.179044	6.939976
1	17	3.173657	0.565477	2.962758	6.701892
1	18	3.173657	0.568006	2.987851	6.729514
1	19	3.173657	0.591956	3.596244	7.361858
1	20	3.173657	0.599352	3.298883	7.071892
1	21	3.173657	0.650711	3.808497	7.632866
1	22	3.173657	0.468611	2.001607	5.643875
1	23	3.173657	0.587748	3.183741	6.945146
1	24	3.173657	0.674512	4.044656	7.892825
1	25	3.173657	0.506295	2.375523	6.055475
1	26	3.173657	0.506295	2.375523	6.055475
1	27	3.173657	0.589966	3.205751	6.969374
1	28	3.173657	0.687579	4.174318	8.035554
1	29	3.173657	0.486949	2.183561	5.844167
1	30	3.173657	0.526573	2.576736	6.276967
1	31	3.173657	0.490258	2.216394	5.880309
1	32	3.173657	0.573663	3.043984	6.791305
