design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
bracewell4	hab2lo	8.0	long_weighted	200	1512.8041	8.0377	converged	0.0000	2673.3579	4	corrected	362.7
bracewell4	hab2lo	8.0	long_weighted	201	1288.5801	8.0347	converged	0.0000	1439.8137	5	corrected	416.5
bracewell4	hab2lo	8.0	long_weighted	202	1238.2131	7.9959	converged	0.0000	1310.8826	6	corrected	499.8
bracewell4	hab2lo	8.0	long_weighted	203	1498.8625	8.0339	converged	0.0000	1634.9110	5	corrected	420.2
bracewell4	hab2lo	8.0	long_weighted	204	2024.4912	7.9993	converged	0.0000	2165.1204	5	corrected	414.1
bracewell4	hab2lo	8.0	long_weighted	205	1826.6790	7.9724	converged	0.0000	2097.6787	5	corrected	419.3
bracewell4	hab2lo	8.0	long_weighted	206	1815.0329	8.0140	converged	0.0000	1947.7346	6	corrected	490.2
bracewell4	hab2lo	8.0	long_weighted	207	2230.5919	8.1140	converged	2223.8982	2230.5919	10	corrected	753.1
bracewell4	hab2lo	8.0	long_weighted	208	1194.0554	7.9911	converged	0.0000	1260.3721	5	corrected	401.8
bracewell4	hab2lo	8.0	long_weighted	209	1227.1687	7.9867	converged	1127.0584	2103.3120	5	corrected	401.6
bracewell4	hab2lo	8.0	long_weighted	210	1789.5702	7.9834	converged	0.0000	2026.1776	5	corrected	405.7
bracewell4	hab2lo	8.0	long_weighted	211	1422.3766	7.9608	converged	1293.9210	2335.2621	6	corrected	463.9
bracewell4	hab2lo	8.0	long_weighted	212	1329.1363	8.0030	converged	0.0000	1419.5826	5	corrected	412.5
bracewell4	hab2lo	8.0	long_weighted	213	1583.3868	7.9891	converged	1561.0979	1709.9201	9	corrected	673.0
bracewell4	hab2lo	8.0	long_weighted	214	1490.7766	8.0019	converged	0.0000	1634.9440	5	corrected	412.7
bracewell4	hab2lo	8.0	long_weighted	215	2207.7009	8.0256	converged	0.0000	2484.4469	5	corrected	412.4
