design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
bracewell4	hab2lo	7.75	short_weighted	0	1132.9438	7.7964	converged	1069.5802	1170.3707	6	corrected	517.5
bracewell4	hab2lo	7.75	short_weighted	1	1700.1289	7.7774	converged	0.0000	3396.3410	4	corrected	349.1
bracewell4	hab2lo	7.75	short_weighted	2	951.7316	7.7199	converged	0.0000	2176.1477	4	corrected	352.8
bracewell4	hab2lo	7.75	short_weighted	3	1455.7659	7.7494	converged	0.0000	1853.0945	5	corrected	419.7
bracewell4	hab2lo	7.75	short_weighted	4	1164.0715	7.7202	converged	1071.5652	1220.6316	6	corrected	488.9
bracewell4	hab2lo	7.75	short_weighted	5	781.9720	7.7818	converged	0.0000	863.6056	6	corrected	495.3
bracewell4	hab2lo	7.75	short_weighted	6	788.2275	7.7413	converged	0.0000	972.3304	5	corrected	423.6
bracewell4	hab2lo	7.75	short_weighted	7	1740.5755	7.6888	converged	1740.5755	1748.0526	10	corrected	781.6
bracewell4	hab2lo	7.75	short_weighted	8	1540.5493	7.7782	converged	0.0000	1889.2282	5	corrected	427.9
bracewell4	hab2lo	7.75	short_weighted	9	1018.7963	7.7742	converged	0.0000	1115.0851	5	corrected	427.0
bracewell4	hab2lo	7.75	short_weighted	10	841.9580	7.7165	converged	0.0000	1823.1834	4	corrected	351.9
bracewell4	hab2lo	7.75	short_weighted	11	933.8877	7.7673	converged	0.0000	1205.4522	5	corrected	422.1
bracewell4	hab2lo	7.75	short_weighted	12	1428.3620	7.7916	converged	1360.7427	1478.0792	7	corrected	562.7
bracewell4	hab2lo	7.75	short_weighted	13	1415.0515	7.7717	converged	0.0000	1695.5153	5	corrected	432.3
bracewell4	hab2lo	7.75	short_weighted	14	1135.1191	7.7502	converged	1046.5201	1294.3397	6	corrected	497.0
bracewell4	hab2lo	7.75	short_weighted	15	1561.6657	7.7959	converged	0.0000	1664.1926	6	corrected	493.7
bracewell4	hab2lo	7.75	short_weighted	16	920.0021	7.7706	converged	0.0000	1101.2601	5	corrected	434.9
bracewell4	hab2lo	7.75	short_weighted	17	1136.3310	7.7640	converged	0.0000	2380.1314	4	corrected	350.4
bracewell4	hab2lo	7.75	short_weighted	18	1251.1562	7.7946	converged	0.0000	2264.3706	4	corrected	356.7
bracewell4	hab2lo	7.75	short_weighted	19	1341.1060	7.7867	converged	0.0000	1528.7777	5	corrected	422.8
bracewell4	hab2lo	7.75	short_weighted	20	798.9757	7.7405	converged	747.1407	844.2759	6	corrected	488.5
bracewell4	hab2lo	7.75	short_weighted	21	1529.7714	7.7622	converged	0.0000	1689.8962	5	corrected	421.8
bracewell4	hab2lo	7.75	short_weighted	22	608.0223	7.7061	converged	554.3413	657.7499	6	corrected	507.4
bracewell4	hab2lo	7.75	short_weighted	23	2046.0304	7.7803	converged	0.0000	2296.0078	5	corrected	439.3
bracewell4	hab2lo	7.75	short_weighted	24	1820.3276	7.7516	converged	0.0000	2012.4711	5	corrected	440.5
bracewell4	hab2lo	7.75	short_weighted	25	1036.1106	7.7036	converged	1029.7038	1057.6059	8	corrected	639.0
