replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
0	0	3.287040	0.553359	2.842521	6.682921
0	1	3.287040	0.628355	3.586662	7.502057
0	2	3.287040	0.684253	4.141310	8.112603
0	3	3.287040	0.557597	3.149392	6.994029
0	4	3.287040	0.684253	4.141310	8.112603
0	5	3.287040	0.543162	2.741338	6.571540
0	6	3.287040	0.628355	3.586662	7.502057
0	7	3.287040	0.684253	4.141310	8.112603
0	8	3.287040	0.573481	3.042181	6.902702
0	9	3.287040	0.503362	2.876057	6.666458
0	10	3.287040	0.615851	3.462593	7.365483
0	11	3.287040	0.593115	3.289966	7.170121
0	12	3.287040	0.503783	2.350598	6.141420
0	13	3.287040	0.640438	3.706564	7.634042
0	14	3.287040	0.628355	3.586662	7.502057
0	15	3.287040	0.545321	2.762761	6.595122
0	16	3.287040	0.615851	3.462593	7.365483
0	17	3.287040	0.655178	3.852819	7.795037
0	18	3.287040	0.556305	2.871749	6.715093
0	19	3.287040	0.694630	4.244284	8.225954
0	20	3.287040	0.655178	3.852819	7.795037
0	21	3.287040	0.513366	2.445692	6.246099
0	22	3.287040	0.522992	2.541206	6.351238
0	23	3.287040	0.588689	3.193077	7.068805
0	24	3.287040	0.505446	2.367104	6.159590
0	25	3.287040	0.480612	2.120691	5.888344
0	26	3.287040	0.615444	3.458559	7.361043
0	27	3.287040	0.625687	3.560196	7.472923
0	28	3.287040	0.513366	2.445692	6.246099
0	29	3.287040	0.543162	2.741338	6.571540
0	30	3.287040	0.557752	2.886104	6.730895
0	31	3.287040	0.522521	2.536530	6.346091
0	32	3.287040	0.501192	2.324894	6.113126
0	33	3.287040	0.640438	3.706564	7.634042
0	34	3.287040	0.540653	2.716441	6.544134
0	35	3.287040	0.605372	3.358619	7.251031
0	36	3.287040	0.545321	2.762761	6.595122
0	37	3.287040	0.640438	3.706564	7.634042
0	38	3.287040	0.657676	4.036494	7.981210
0	39	3.287040	0.550247	2.811636	6.648922
0	40	3.287040	0.630360	3.712492	7.629892
0	41	3.287040	0.491516	2.705552	6.484107
0	42	3.287040	0.536911	2.679309	6.503259
0	43	3.287040	0.482124	2.135684	5.904848
0	44	3.287040	0.594943	3.255136	7.137119
0	45	3.287040	0.684253	4.141310	8.112603
0	46	3.287040	0.497303	2.286305	6.070648
0	47	3.287040	0.573481	3.042181	6.902702
0	48	3.287040	0.491340	2.227132	6.005512
0	49	3.287040	0.557752	2.886104	6.730895
0	50	3.287040	0.703881	4.336069	8.326990
0	51	3.287040	0.541005	2.719941	6.547986
0	52	3.287040	0.558456	2.893092	6.738587
0	53	3.287040	0.515134	2.463231	6.265405
0	54	3.287040	0.656422	3.865163	7.808626
0	55	3.287040	0.648213	3.783711	7.718965
0	56	3.287040	0.571577	3.394035	7.252652
0	57	3.287040	0.534822	2.658590	6.480452
0	58	3.287040	0.543162	2.741338	6.571540
0	59	3.287040	0.509536	2.990283	6.786859
0	60	3.287040	0.563264	2.940803	6.791107
0	61	3.287040	0.625687	3.560196	7.472923
0	62	3.287040	0.540653	2.716441	6.544134
0	63	3.287040	0.663753	4.096791	8.047583
0	64	3.287040	0.571672	3.024233	6.882945
0	65	3.287040	0.534822	2.658590	6.480452
0	66	3.287040	0.540653	2.716441	6.544134
0	67	3.287040	0.648213	3.783711	7.718965
0	68	3.287040	0.617670	3.745466	7.650176
0	69	3.287040	0.491340	2.227132	6.005512
0	70	3.287040	0.615851	3.462593	7.365483
0	71	3.287040	0.522992	2.541206	6.351238
0	72	3.287040	0.536911	2.679309	6.503259
0	73	3.287040	0.501192	2.324894	6.113126
0	74	3.287040	0.609254	3.397134	7.293427
0	75	3.287040	0.524766	2.558809	6.370615
0	76	3.287040	0.553359	2.842521	6.682921
0	77	3.287040	0.515134	2.463231	6.265405
0	78	3.287040	0.610763	3.412107	7.309910
0	79	3.287040	0.534822	2.658590	6.480452
0	80	3.287040	0.515134	2.463231	6.265405
0	81	3.287040	0.505446	2.367104	6.159590
0	82	3.287040	0.567372	2.981562	6.835974
0	83	3.287040	0.633134	3.634082	7.554256
0	84	3.287040	0.633134	3.634082	7.554256
0	85	3.287040	0.618731	3.491174	7.396945
0	86	3.287040	0.598009	3.285555	7.170604
0	87	3.287040	0.615444	3.458559	7.361043
0	88	3.287040	0.497303	2.286305	6.070648
0	89	3.287040	0.665106	3.951324	7.903469
0	90	3.287040	0.482124	2.135684	5.904848
0	91	3.287040	0.550247	2.811636	6.648922
0	92	3.287040	0.491340	2.227132	6.005512
0	93	3.287040	0.526048	2.571528	6.384616
0	94	3.287040	0.480612	2.120691	5.888344
0	95	3.287040	0.496476	2.278096	6.061611
0	96	3.287040	0.625687	3.560196	7.472923
0	97	3.287040	0.565958	2.967536	6.820534
0	98	3.287040	0.573481	3.042181	6.902702
0	99	3.287040	0.559084	2.899322	6.745446
1	0	3.207975	0.645707	3.864772	7.718454
1	1	3.207975	0.696680	4.264621	8.169276
1	2	3.207975	0.677502	4.074329	7.959806
1	3	3.207975	0.545824	2.767752	6.521551
1	4	3.207975	0.610369	3.408198	7.226542
1	5	3.207975	0.515029	2.462194	6.185198
1	6	3.207975	0.508958	2.984549	6.701482
1	7	3.207975	0.540472	2.714652	6.463099
1	8	3.207975	0.566974	2.977616	6.752566
1	9	3.207975	0.435765	1.675690	5.319430
1	10	3.207975	0.602340	3.328529	7.138843
1	11	3.207975	0.539161	2.701640	6.448776
1	12	3.207975	0.487534	2.189366	5.884875
1	13	3.207975	0.542896	2.738697	6.489568
1	14	3.207975	0.515029	2.462194	6.185198
1	15	3.207975	0.667502	4.239923	8.115400
1	16	3.207975	0.600736	3.312617	7.121328
1	17	3.207975	0.566402	2.971938	6.746315
1	18	3.207975	0.572043	3.027908	6.807925
1	19	3.207975	0.583557	3.565865	7.357397
1	20	3.207975	0.596039	3.266012	7.070027
1	21	3.207975	0.645349	3.755291	7.608615
1	22	3.207975	0.474501	2.060053	5.742529
1	23	3.207975	0.593898	3.244769	7.046642
1	24	3.207975	0.677502	4.074329	7.959806
1	25	3.207975	0.509648	2.408792	6.126414
1	26	3.207975	0.509648	2.408792	6.126414
1	27	3.207975	0.595144	3.257130	7.060249
1	28	3.207975	0.696680	4.264621	8.169276
1	29	3.207975	0.495908	2.272465	5.976349
1	30	3.207975	0.531069	2.621350	6.360394
1	31	3.207975	0.492438	2.238032	5.938445
1	32	3.207975	0.577092	3.078007	6.863074
1	33	3.207975	0.600736	3.312617	7.121328
1	34	3.207975	0.671885	4.018589	7.898448
1	35	3.207975	0.593884	3.244625	7.046483
1	36	3.207975	0.598638	3.291801	7.098414
1	37	3.207975	0.519506	2.506611	6.234092
1	38	3.207975	0.500891	2.321910	6.030776
1	39	3.207975	0.536894	2.679148	6.424018
1	40	3.207975	0.637681	3.679200	7.524856
1	41	3.207975	0.512694	2.439017	6.159686
1	42	3.207975	0.598638	3.291801	7.098414
1	43	3.207975	0.604009	3.345098	7.157082
1	44	3.207975	0.600736	3.312617	7.121328
1	45	3.207975	0.597356	3.279075	7.084405
1	46	3.207975	0.623681	3.540293	7.371949
1	47	3.207975	0.581275	3.119516	6.908766
1	48	3.207975	0.623681	3.540293	7.371949
1	49	3.207975	0.600259	3.307888	7.116122
1	50	3.207975	0.453800	1.854641	5.516415
1	51	3.207975	0.676887	4.068225	7.953087
1	52	3.207975	0.574619	3.053469	6.836063
1	53	3.207975	0.645707	3.864772	7.718454
1	54	3.207975	0.611332	3.417756	7.237063
1	55	3.207975	0.534309	2.653499	6.395784
1	56	3.207975	0.515029	2.462194	6.185198
1	57	3.207975	0.500891	2.321910	6.030776
1	58	3.207975	0.601788	3.323059	7.132822
1	59	3.207975	0.474501	2.060053	5.742529
1	60	3.207975	0.676887	4.068225	7.953087
1	61	3.207975	0.545824	2.767752	6.521551
1	62	3.207975	0.645707	3.864772	7.718454
1	63	3.207975	0.562714	2.935344	6.706033
1	64	3.207975	0.574619	3.053469	6.836063
1	65	3.207975	0.605515	3.360038	7.173528
1	66	3.207975	0.619998	3.503741	7.331714
1	67	3.207975	0.650771	3.809094	7.667841
1	68	3.207975	0.554033	2.849211	6.611219
1	69	3.207975	0.512694	2.439017	6.159686
1	70	3.207975	0.558541	3.370615	7.137131
1	71	3.207975	0.671885	4.018589	7.898448
1	72	3.207975	0.635272	3.708267	7.551514
1	73	3.207975	0.512694	2.439017	6.159686
1	74	3.207975	0.616231	3.678217	7.502423
1	75	3.207975	0.640321	3.705395	7.553690
1	76	3.207975	0.597356	3.279075	7.084405
1	77	3.207975	0.519506	2.506611	6.234092
1	78	3.207975	0.595144	3.257130	7.060249
1	79	3.207975	0.635272	3.708267	7.551514
1	80	3.207975	0.566402	2.971938	6.746315
1	81	3.207975	0.660804	3.908644	7.777423
1	82	3.207975	0.487534	2.189366	5.884875
1	83	3.207975	0.623681	3.540293	7.371949
1	84	3.207975	0.453800	1.854641	5.516415
1	85	3.207975	0.554033	2.849211	6.611219
1	86	3.207975	0.640321	3.705395	7.553690
1	87	3.207975	0.566402	2.971938	6.746315
1	88	3.207975	0.595144	3.257130	7.060249
1	89	3.207975	0.580813	3.114929	6.903717
1	90	3.207975	0.598020	3.285672	7.091668
1	91	3.207975	0.492438	2.238032	5.938445
1	92	3.207975	0.660804	3.908644	7.777423
1	93	3.207975	0.604894	3.353878	7.166748
1	94	3.207975	0.640321	3.705395	7.553690
1	95	3.207975	0.512694	2.439017	6.159686
1	96	3.207975	0.534309	2.653499	6.395784
1	97	3.207975	0.589812	3.204221	7.002008
1	98	3.207975	0.495908	2.272465	5.976349
1	99	3.207975	0.531069	2.621350	6.360394
2	0	3.361484	0.602006	3.537078	7.500569
2	1	3.361484	0.528892	2.599741	6.490117
2	2	3.361484	0.498301	2.296207	6.155993
2	3	3.361484	0.566780	2.975687	6.903952
2	4	3.361484	0.482122	2.135674	5.979281
2	5	3.361484	0.517942	2.491089	6.370515
2	6	3.361484	0.574090	3.048220	6.983794
2	7	3.361484	0.626398	3.567246	7.555128
2	8	3.361484	0.478041	2.095174	5.934699
2	9	3.361484	0.623116	3.640610	7.625210
2	10	3.361484	0.563471	2.942859	6.867815
2	11	3.361484	0.596377	3.269369	7.227231
2	12	3.361484	0.442657	1.744078	5.548219
2	13	3.361484	0.573486	3.042227	6.977197
2	14	3.361484	0.568600	2.993745	6.923829
2	15	3.361484	0.423112	1.550145	5.334741
2	16	3.361484	0.569301	3.000701	6.931486
2	17	3.361484	0.523750	2.548724	6.433958
2	18	3.361484	0.516630	2.478071	6.356185
2	19	3.361484	0.572516	3.032605	6.966605
2	20	3.361484	0.570343	3.011043	6.942870
2	21	3.361484	0.471153	2.026827	5.859464
2	22	3.361484	0.547896	2.788312	6.697693
2	23	3.361484	0.670075	4.000631	8.032190
2	24	3.361484	0.648272	3.784294	7.794050
2	25	3.361484	0.531244	2.623083	6.515811
2	26	3.361484	0.573486	3.042227	6.977197
2	27	3.361484	0.533862	2.649064	6.544410
2	28	3.361484	0.569301	3.000701	6.931486
2	29	3.361484	0.471153	2.026827	5.859464
2	30	3.361484	0.648272	3.784294	7.794050
2	31	3.361484	0.499403	2.307138	6.168025
2	32	3.361484	0.512313	2.435239	6.309036
2	33	3.361484	0.516630	2.478071	6.356185
2	34	3.361484	0.631027	3.719108	7.711620
2	35	3.361484	0.573486	3.042227	6.977197
2	36	3.361484	0.554825	2.857061	6.773370
2	37	3.361484	0.533221	2.642700	6.537405
2	38	3.361484	0.553379	2.842718	6.757581
2	39	3.361484	0.543258	2.742296	6.647039
