replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
100	0	3.385732	0.619491	3.498717	7.503940
100	1	3.385732	0.604484	3.349807	7.340023
100	2	3.385732	0.648693	3.788465	7.822890
100	3	3.385732	0.593292	3.238756	7.217780
100	4	3.385732	0.619491	3.498717	7.503940
100	5	3.385732	0.539157	2.701601	6.626491
100	6	3.385732	0.553719	2.846087	6.785538
100	7	3.385732	0.594992	3.308589	7.289313
100	8	3.385732	0.557449	2.883103	6.826285
100	9	3.385732	0.592294	3.493672	7.471698
100	10	3.385732	0.702182	4.478107	8.566021
100	11	3.385732	0.647312	3.774766	7.807810
100	12	3.385732	0.585194	3.158406	7.129332
100	13	3.385732	0.517939	2.491066	6.394737
100	14	3.385732	0.593292	3.238756	7.217780
100	15	3.385732	0.616686	3.470880	7.473297
100	16	3.385732	0.575326	3.060485	7.021543
100	17	3.385732	0.517939	2.491066	6.394737
100	18	3.385732	0.504725	2.359949	6.250406
100	19	3.385732	0.641491	3.717006	7.744229
100	20	3.385732	0.601920	3.536219	7.523871
100	21	3.385732	0.481219	2.126705	5.993655
100	22	3.385732	0.594837	3.571871	7.552441
100	23	3.385732	0.671519	4.014957	8.072207
100	24	3.385732	0.584252	3.466841	7.436825
100	25	3.385732	0.538369	2.693777	6.617877
100	26	3.385732	0.516826	2.480021	6.382579
100	27	3.385732	0.535680	3.037843	6.959255
100	28	3.385732	0.516826	2.480021	6.382579
100	29	3.385732	0.572304	3.030500	6.988536
100	30	3.385732	0.662689	3.927342	7.975763
100	31	3.385732	0.513249	2.444528	6.343510
100	32	3.385732	0.634175	3.644414	7.664321
100	33	3.385732	0.437211	1.690036	5.512979
100	34	3.385732	0.647312	3.774766	7.807810
100	35	3.385732	0.530918	2.619851	6.536501
100	36	3.385732	0.553323	2.842165	6.781221
100	37	3.385732	0.604484	3.349807	7.340023
100	38	3.385732	0.619694	3.500725	7.506151
100	39	3.385732	0.662689	3.927342	7.975763
100	40	3.385732	0.590386	3.209915	7.186033
100	41	3.385732	0.633817	3.640863	7.660412
100	42	3.385732	0.635569	3.658246	7.679547
100	43	3.385732	0.687961	4.178112	8.251805
100	44	3.385732	0.619491	3.498717	7.503940
100	45	3.385732	0.522619	2.537502	6.445853
100	46	3.385732	0.726193	4.557459	8.669383
100	47	3.385732	0.795672	5.246866	9.428270
100	48	3.385732	0.553719	2.846087	6.785538
100	49	3.385732	0.596801	3.273574	7.256108
100	50	3.385732	0.761637	4.909160	9.056529
100	51	3.385732	0.616686	3.470880	7.473297
100	52	3.385732	0.525907	2.570123	6.481761
100	53	3.385732	0.572304	3.030500	6.988536
100	54	3.385732	0.497806	2.291294	6.174832
100	55	3.385732	0.590646	3.212499	7.188877
100	56	3.385732	0.645254	3.754348	7.785334
100	57	3.385732	0.648693	3.788465	7.822890
100	58	3.385732	0.555271	2.861491	6.802494
100	59	3.385732	0.538369	2.693777	6.617877
100	60	3.385732	0.571266	3.020200	6.977198
100	61	3.385732	0.569634	3.004006	6.959372
100	62	3.385732	0.662689	3.927342	7.975763
100	63	3.385732	0.589659	3.202701	7.178091
100	64	3.385732	0.606751	3.372299	7.364782
100	65	3.385732	0.525907	2.570123	6.481761
100	66	3.385732	0.525907	2.570123	6.481761
100	67	3.385732	0.621742	3.838833	7.846307
100	68	3.385732	0.556279	2.871490	6.813501
100	69	3.385732	0.555271	2.861491	6.802494
100	70	3.385732	0.575326	3.060485	7.021543
100	71	3.385732	0.557449	2.883103	6.826285
100	72	3.385732	0.641491	3.717006	7.744229
100	73	3.385732	0.586131	3.167701	7.139564
100	74	3.385732	0.510021	2.412494	6.308247
100	75	3.385732	0.553719	2.846087	6.785538
100	76	3.385732	0.497806	2.291294	6.174832
100	77	3.385732	0.621742	3.838833	7.846307
100	78	3.385732	0.504725	2.359949	6.250406
100	79	3.385732	0.641491	3.717006	7.744229
100	80	3.385732	0.647312	3.774766	7.807810
100	81	3.385732	0.662689	3.927342	7.975763
100	82	3.385732	0.504725	2.359949	6.250406
100	83	3.385732	0.522619	2.537502	6.445853
100	84	3.385732	0.556279	2.871490	6.813501
100	85	3.385732	0.481219	2.126705	5.993655
100	86	3.385732	0.658705	3.887819	7.932256
100	87	3.385732	0.602434	3.329461	7.317626
100	88	3.385732	0.647312	3.774766	7.807810
100	89	3.385732	0.602434	3.329461	7.317626
100	90	3.385732	0.588470	3.190905	7.165107
100	91	3.385732	0.643083	3.732809	7.761624
100	92	3.385732	0.556279	2.871490	6.813501
100	93	3.385732	0.572304	3.030500	6.988536
100	94	3.385732	0.602434	3.329461	7.317626
100	95	3.385732	0.538511	3.118903	7.043146
100	96	3.385732	0.517939	2.491066	6.394737
100	97	3.385732	0.687961	4.178112	8.251805
100	98	3.385732	0.571266	3.020200	6.977198
100	99	3.385732	0.605381	3.358710	7.349824
101	0	3.333992	0.489227	2.206165	6.029384
101	1	3.333992	0.516588	2.477657	6.328236
101	2	3.333992	0.533562	2.646078	6.513632
101	3	3.333992	0.505224	2.364895	6.204110
101	4	3.333992	0.517270	2.484424	6.335686
101	5	3.333992	0.537747	2.687612	6.559352
101	6	3.333992	0.537919	2.689318	6.561229
101	7	3.333992	0.682197	4.120914	8.137103
101	8	3.333992	0.683656	4.135386	8.153034
101	9	3.333992	0.684054	4.139336	8.157381
101	10	3.333992	0.637098	3.673423	7.644514
101	11	3.333992	0.516588	2.477657	6.328236
101	12	3.333992	0.629690	3.599911	7.563593
101	13	3.333992	0.715380	4.450168	8.499539
101	14	3.333992	0.637098	3.673423	7.644514
101	15	3.333992	0.516588	2.477657	6.328236
101	16	3.333992	0.593893	3.244714	7.172598
101	17	3.333992	0.629502	3.703972	7.667466
101	18	3.333992	0.517025	2.481990	6.333007
101	19	3.333992	0.537919	2.689318	6.561229
101	20	3.333992	0.570539	3.012984	6.917514
101	21	3.333992	0.565167	2.959688	6.858847
101	22	3.333992	0.517025	2.481990	6.333007
