design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
bracewell4	hab2lo	8.0	short_weighted	200	1821.3802	7.9566	converged	0.0000	3510.0512	4	corrected	369.0
bracewell4	hab2lo	8.0	short_weighted	201	1697.0932	8.0249	converged	0.0000	3448.0737	4	corrected	357.2
bracewell4	hab2lo	8.0	short_weighted	202	1598.2828	8.0317	converged	0.0000	1807.2028	5	corrected	434.0
bracewell4	hab2lo	8.0	short_weighted	203	1925.4938	7.9918	converged	0.0000	2054.7413	5	corrected	432.4
bracewell4	hab2lo	8.0	short_weighted	204	2429.2872	7.9607	converged	2394.4613	2471.9247	7	corrected	567.3
bracewell4	hab2lo	8.0	short_weighted	205	2194.0967	8.0029	converged	0.0000	2312.6262	6	corrected	492.4
bracewell4	hab2lo	8.0	short_weighted	206	2204.3427	8.0195	converged	0.0000	2306.9514	6	corrected	493.4
bracewell4	hab2lo	8.0	short_weighted	207	2372.0155	7.9748	converged	0.0000	2615.5224	6	corrected	486.7
bracewell4	hab2lo	8.0	short_weighted	208	1441.1011	8.0328	converged	0.0000	1687.0075	5	corrected	423.7
bracewell4	hab2lo	8.0	short_weighted	209	1229.3971	7.9876	converged	0.0000	1566.3362	5	corrected	415.6
bracewell4	hab2lo	8.0	short_weighted	210	2062.2355	7.9813	converged	1972.5125	2374.0084	6	corrected	477.1
bracewell4	hab2lo	8.0	short_weighted	211	1346.4087	8.0246	converged	0.0000	1515.3639	6	corrected	474.7
bracewell4	hab2lo	8.0	short_weighted	212	1481.9153	8.0422	converged	0.0000	1765.2473	5	corrected	410.2
bracewell4	hab2lo	8.0	short_weighted	213	2165.7144	8.0448	converged	2148.3952	2177.6850	9	corrected	679.9
bracewell4	hab2lo	8.0	short_weighted	214	1637.2070	8.0087	converged	0.0000	1715.2296	6	corrected	478.5
bracewell4	hab2lo	8.0	short_weighted	215	2524.3685	7.9922	converged	0.0000	2779.0158	6	corrected	490.9
bracewell4	hab2lo	8.0	short_weighted	216	1932.6573	8.0026	converged	0.0000	2029.6261	5	corrected	418.4
bracewell4	hab2lo	8.0	short_weighted	217	1808.7921	8.0142	converged	0.0000	3337.8046	4	corrected	352.1
bracewell4	hab2lo	8.0	short_weighted	218	1693.3339	8.0113	converged	0.0000	1912.1343	5	corrected	417.0
bracewell4	hab2lo	8.0	short_weighted	219	2842.9625	8.0248	converged	0.0000	3047.3075	5	corrected	412.1
bracewell4	hab2lo	8.0	short_weighted	220	1959.0620	7.9603	converged	1842.2431	2198.5861	6	corrected	478.2
bracewell4	hab2lo	8.0	short_weighted	221	1845.4267	8.0098	converged	0.0000	2018.4382	5	corrected	415.4
bracewell4	hab2lo	8.0	short_weighted	222	1997.5632	8.0168	converged	0.0000	2238.8233	5	corrected	408.9
bracewell4	hab2lo	8.0	short_weighted	223	1680.0275	7.9845	converged	0.0000	2019.8162	5	corrected	421.2
bracewell4	hab2lo	8.0	short_weighted	224	1585.0160	8.1264	converged	1577.3691	1585.0160	10	corrected	766.9
bracewell4	hab2lo	8.0	short_weighted	225	1617.8853	8.0170	converged	0.0000	1740.2031	6	corrected	486.2
bracewell4	hab2lo	8.0	short_weighted	226	1612.4792	8.0131	converged	0.0000	1694.3065	5	corrected	421.6
bracewell4	hab2lo	8.0	short_weighted	227	1877.4589	7.9850	converged	1818.2385	1947.6715	6	corrected	490.4
bracewell4	hab2lo	8.0	short_weighted	228	1948.1575	8.0353	converged	0.0000	3209.9946	4	corrected	356.5
bracewell4	hab2lo	8.0	short_weighted	229	2214.2005	7.9757	converged	0.0000	2358.1807	5	corrected	421.8
bracewell4	hab2lo	8.0	short_weighted	230	1748.2272	8.0475	converged	0.0000	3464.9619	4	corrected	352.9
bracewell4	hab2lo	8.0	short_weighted	231	1883.8553	8.0417	converged	0.0000	3083.9399	4	corrected	356.6
bracewell4	hab2lo	8.0	short_weighted	232	2204.3828	8.0115	converged	0.0000	2305.6017	6	corrected	496.2
bracewell4	hab2lo	8.0	short_weighted	233	2104.2929	7.9635	converged	0.0000	2289.5240	5	corrected	430.2
bracewell4	hab2lo	8.0	short_weighted	234	1907.8773	8.0254	converged	0.0000	3639.4117	4	corrected	359.7
bracewell4	hab2lo	8.0	short_weighted	235	2067.0258	7.9753	converged	0.0000	2395.4571	5	corrected	436.0
bracewell4	hab2lo	8.0	short_weighted	236	1322.2985	8.0212	converged	0.0000	1504.0047	5	corrected	434.0
bracewell4	hab2lo	8.0	short_weighted	237	1580.6651	8.0278	converged	0.0000	3017.2168	4	corrected	346.9
bracewell4	hab2lo	8.0	short_weighted	238	2210.0898	8.0140	converged	0.0000	3646.7452	4	corrected	344.8
bracewell4	hab2lo	8.0	short_weighted	239	1743.8354	7.9934	converged	1640.6038	3212.9135	5	corrected	424.6
bracewell4	hab2lo	8.0	short_weighted	240	1908.5128	7.9664	converged	0.0000	2040.5264	6	corrected	501.0
bracewell4	hab2lo	8.0	short_weighted	241	2047.7334	7.9814	converged	0.0000	2402.3513	5	corrected	416.2
bracewell4	hab2lo	8.0	short_weighted	242	1488.1501	8.0031	converged	0.0000	1643.0690	5	corrected	417.5
bracewell4	hab2lo	8.0	short_weighted	243	2357.4581	8.0457	converged	0.0000	2540.1700	5	corrected	423.0
bracewell4	hab2lo	8.0	short_weighted	244	1807.9845	7.9603	converged	0.0000	1923.7450	6	corrected	473.1
bracewell4	hab2lo	8.0	short_weighted	245	1188.8670	7.9814	converged	0.0000	1833.0884	4	corrected	353.0
bracewell4	hab2lo	8.0	short_weighted	246	1398.6599	7.9880	converged	0.0000	1655.0841	5	corrected	411.7
