design	catalog	target_yr	family	n	median	mean	sd	rel_sd_pct	p16	p84	p2p5	p97p5	n_infeasible
bracewell4	hab2hi	5.5	flat	100	318.3	311.4	161.3	51.8	162.5	435.9	0.0	642.9	6
bracewell4	hab2hi	5.5	long_weighted	100	586.8	571.8	272.4	47.6	301.2	800.7	0.0	1127.5	6
bracewell4	hab2hi	5.5	short_weighted	100	700.3	691.4	345.5	50.0	371.7	1006.8	0.0	1430.2	6
bracewell4	hab2hi	5.75	flat	50	602.3	605.0	151.3	25.0	462.9	752.1	352.0	908.5	0
bracewell4	hab2hi	5.75	long_weighted	50	1086.6	1089.1	267.4	24.6	813.9	1382.5	573.5	1544.3	0
bracewell4	hab2hi	5.75	short_weighted	50	1426.9	1392.6	402.8	28.9	873.2	1777.5	693.6	2176.6	0
bracewell4	hab2hi	6.0	flat	300	920.9	921.3	194.4	21.1	732.7	1106.6	570.0	1338.0	0
bracewell4	hab2hi	6.0	long_weighted	300	1702.2	1687.3	325.0	19.3	1380.7	1989.8	1080.1	2395.3	0
bracewell4	hab2hi	6.0	short_weighted	300	2160.8	2168.9	474.9	21.9	1684.1	2618.7	1236.9	3137.2	0
bracewell4	hab2hi	6.25	flat	50	1206.1	1191.5	200.5	16.8	982.6	1409.2	813.3	1543.3	0
bracewell4	hab2hi	6.25	long_weighted	50	2130.3	2158.1	347.4	16.1	1843.6	2549.3	1503.8	2807.0	0
bracewell4	hab2hi	6.25	short_weighted	50	2871.5	2884.4	511.9	17.7	2324.6	3304.5	2049.7	3906.3	0
bracewell4	hab2lo	7.5	flat	100	368.7	387.7	160.7	41.5	235.8	561.4	135.1	669.3	1
bracewell4	hab2lo	7.5	long_weighted	100	718.0	737.3	288.8	39.2	434.6	1047.6	249.8	1280.5	1
bracewell4	hab2lo	7.5	short_weighted	100	817.2	825.8	325.4	39.4	510.5	1169.7	322.3	1421.6	1
bracewell4	hab2lo	7.75	flat	50	580.8	582.7	163.5	28.1	414.7	738.1	354.2	885.8	0
bracewell4	hab2lo	7.75	long_weighted	50	1052.7	1112.7	306.5	27.5	861.4	1414.1	629.5	1727.3	0
bracewell4	hab2lo	7.75	short_weighted	50	1295.1	1259.7	375.8	29.8	900.9	1564.8	623.5	1995.2	0
bracewell4	hab2lo	8.0	flat	300	772.7	788.3	170.9	21.7	622.0	955.6	523.0	1176.4	0
bracewell4	hab2lo	8.0	long_weighted	300	1483.0	1503.4	299.6	19.9	1204.6	1806.6	1031.6	2178.9	0
bracewell4	hab2lo	8.0	short_weighted	300	1721.4	1742.5	373.6	21.4	1353.4	2103.8	1102.7	2528.9	0
bracewell4	hab2lo	8.25	flat	50	923.7	957.8	178.2	18.6	783.4	1128.2	674.1	1295.9	0
