design	catalog	target_yr	z	original_point	rel_sd_min	rel_sd_max	rel_sd_flat	n_flat	rel_sd_short	n_short	rel_sd_long	n_long
collinear4	hab2hi	3.5	1.044	0	82.7	85.8	83.7	50	85.8	50	82.7	50
bracewell4	hab2hi	5.5	2.129	1	47.6	51.8	51.8	100	50.0	100	47.6	100
kernel5_deep	hab2hi	5.5	2.362	0	51.7	55.9	53.1	50	55.9	50	51.7	50
bracewell4	hab2lo	7.5	3.017	1	39.2	41.5	41.5	100	39.4	100	39.2	100
kernel5_deep	hab2lo	8.0	3.022	0	33.5	37.3	33.5	50	37.3	50	35.3	50
collinear4	hab2lo	5.0	3.169	0	31.7	38.8	33.2	50	38.8	50	31.7	50
triple6	hab2lo	5.25	3.461	0	35.6	42.3	38.0	50	42.3	50	35.6	50
bracewell4	hab2hi	5.75	3.909	0	24.6	28.9	25.0	50	28.9	50	24.6	50
bracewell4	hab2lo	7.75	4.418	0	27.5	29.8	28.1	50	29.8	50	27.5	50
triple6	hab2hi	4.0	4.518	1	22.2	26.4	24.0	100	26.4	100	22.2	100
kernel5_deep	hab2lo	8.5	5.291	0	19.4	23.7	23.7	50	23.5	50	19.4	50
triple6	hab2lo	5.5	5.488	1	22.8	27.2	23.9	100	27.2	100	22.8	100
bracewell4	hab2hi	6.0	5.689	1	19.3	21.9	21.1	300	21.9	300	19.3	300
collinear4	hab2hi	4.0	5.742	0	18.5	25.0	20.9	50	25.0	50	18.5	50
bracewell4	hab2lo	8.0	5.819	1	19.9	21.7	21.7	300	21.4	300	19.9	300
triple6	hab2hi	4.25	7.047	0	15.0	16.6	15.0	50	16.6	50	15.9	50
bracewell4	hab2lo	8.25	7.22	0	18.6	20.2	18.6	50	20.2	50	18.8	50
kernel5_deep	hab2hi	6.0	7.244	0	20.9	23.8	20.9	50	23.8	50	21.0	50
collinear4	hab2lo	5.5	7.365	0	17.5	22.3	20.0	50	22.3	50	17.5	50
bracewell4	hab2hi	6.25	7.469	0	16.1	17.7	16.8	50	17.7	50	16.1	50
triple6	hab2lo	5.75	7.516	0	18.0	21.2	18.0	50	21.2	50	18.2	50
triple6	hab2lo	6.0	9.543	1	14.3	16.2	15.2	300	16.2	300	14.3	300
triple6	hab2hi	4.5	9.576	1	13.3	16.3	14.6	300	16.3	300	13.3	300
triple6	hab2lo	6.25	11.57	0	13.4	13.8	13.4	50	13.8	50	13.6	50
triple6	hab2hi	4.75	12.106	0	10.2	11.2	10.2	50	11.2	50	10.4	50
