design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
collinear4	hab2hi	3.5	flat	0	302.4800	3.5084	converged	0.0000	368.9548	5	corrected	482.5
collinear4	hab2hi	3.5	flat	1	366.5965	3.5451	converged	0.0000	1238.7594	4	corrected	394.7
collinear4	hab2hi	3.5	flat	2	120.3556	3.5485	converged	0.0000	280.1448	4	corrected	395.1
collinear4	hab2hi	3.5	flat	3	0.0000	3.4804	zero_budget_at_or_above_target	0.0000	20000.0000	2	corrected	230.4
collinear4	hab2hi	3.5	flat	4	35.4689	3.4938	converged	0.0000	68.5211	5	corrected	463.0
collinear4	hab2hi	3.5	flat	5	117.5935	3.4921	converged	0.0000	170.2455	7	corrected	620.2
collinear4	hab2hi	3.5	flat	6	97.7153	3.5470	converged	0.0000	399.1214	4	corrected	376.8
collinear4	hab2hi	3.5	flat	7	255.7976	3.5373	converged	0.0000	747.4156	4	corrected	378.8
collinear4	hab2hi	3.5	flat	8	95.5871	3.5322	converged	0.0000	265.8060	4	corrected	383.9
collinear4	hab2hi	3.5	flat	9	211.6556	3.5462	converged	0.0000	302.2019	5	corrected	456.3
collinear4	hab2hi	3.5	flat	10	0.0000	3.4720	zero_budget_at_or_above_target	0.0000	20000.0000	2	corrected	225.1
collinear4	hab2hi	3.5	flat	11	267.0744	3.5116	converged	0.0000	754.9135	4	corrected	375.5
collinear4	hab2hi	3.5	flat	12	375.4979	3.5135	converged	0.0000	432.5173	6	corrected	536.1
collinear4	hab2hi	3.5	flat	13	154.6074	3.5140	converged	0.0000	241.2191	5	corrected	473.4
collinear4	hab2hi	3.5	flat	14	182.6739	3.5124	converged	0.0000	634.8773	4	corrected	386.3
collinear4	hab2hi	3.5	flat	15	0.0000	3.5176	zero_budget_at_or_above_target	0.0000	20000.0000	2	corrected	238.2
collinear4	hab2hi	3.5	flat	16	127.6411	3.4758	converged	0.0000	195.8641	5	corrected	480.2
collinear4	hab2hi	3.5	flat	17	315.8878	3.4991	converged	0.0000	853.2511	4	corrected	388.9
collinear4	hab2hi	3.5	flat	18	138.1157	3.5155	converged	0.0000	226.8509	5	corrected	451.4
collinear4	hab2hi	3.5	flat	19	0.0000	3.5693	zero_budget_at_or_above_target	0.0000	20000.0000	2	corrected	234.5
collinear4	hab2hi	3.5	flat	20	248.5896	3.5496	converged	0.0000	725.3067	4	corrected	374.4
collinear4	hab2hi	3.5	flat	21	93.4637	3.4826	converged	0.0000	282.3998	4	corrected	381.6
collinear4	hab2hi	3.5	flat	22	0.0000	3.4966	zero_budget_at_or_above_target	0.0000	20000.0000	2	corrected	229.0
collinear4	hab2hi	3.5	flat	23	0.0000	3.4818	zero_budget_at_or_above_target	0.0000	20000.0000	2	corrected	224.6
