replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
0	0	1.397573	0.385431	1.176249	2.959253
0	1	1.397573	0.382072	1.142920	2.922565
0	2	1.397573	0.424596	1.564868	3.387037
0	3	1.397573	0.405777	1.537030	3.340380
0	4	1.397573	0.424596	1.564868	3.387037
0	5	1.397573	0.418370	1.503092	3.319035
0	6	1.397573	0.382072	1.142920	2.922565
0	7	1.397573	0.424596	1.564868	3.387037
0	8	1.397573	0.399169	1.312569	3.109311
0	9	1.397573	0.414550	1.518146	3.330269
0	10	1.397573	0.354364	0.867995	2.619932
0	11	1.397573	0.385442	1.176364	2.959379
0	12	1.397573	0.456823	1.884642	3.739038
0	13	1.397573	0.424190	1.560840	3.382603
0	14	1.397573	0.382072	1.142920	2.922565
0	15	1.397573	0.404774	1.368185	3.170532
0	16	1.397573	0.354364	0.867995	2.619932
0	17	1.397573	0.380759	1.129893	2.908225
0	18	1.397573	0.395141	1.590378	3.383092
0	19	1.397573	0.448203	1.799109	3.644886
0	20	1.397573	0.380759	1.129893	2.908225
0	21	1.397573	0.393520	1.256519	3.047612
0	22	1.397573	0.385815	1.180065	2.963453
0	23	1.397573	0.463704	1.952917	3.814194
0	24	1.397573	0.438004	1.697907	3.533483
0	25	1.397573	0.420464	1.523864	3.341900
0	26	1.397573	0.418921	1.508562	3.325057
0	27	1.397573	0.399180	1.312680	3.109433
0	28	1.397573	0.393520	1.256519	3.047612
0	29	1.397573	0.418370	1.503092	3.319035
0	30	1.397573	0.425038	1.569257	3.391868
0	31	1.397573	0.424381	1.562729	3.384683
0	32	1.397573	0.349375	0.818485	2.565433
0	33	1.397573	0.424190	1.560840	3.382603
0	34	1.397573	0.429639	1.614904	3.442116
0	35	1.397573	0.387717	1.198938	2.984229
0	36	1.397573	0.404774	1.368185	3.170532
0	37	1.397573	0.424190	1.560840	3.382603
0	38	1.397573	0.423510	1.554092	3.375175
0	39	1.397573	0.391308	1.234567	3.023448
0	40	1.397573	0.426776	1.586502	3.410851
0	41	1.397573	0.388242	1.204148	2.989963
0	42	1.397573	0.400261	1.323400	3.121233
0	43	1.397573	0.383929	1.161345	2.942846
0	44	1.397573	0.393234	1.253674	3.044480
0	45	1.397573	0.424596	1.564868	3.387037
0	46	1.397573	0.411465	1.699394	3.508432
0	47	1.397573	0.399169	1.312569	3.109311
0	48	1.397573	0.390691	1.228443	3.016706
0	49	1.397573	0.425038	1.569257	3.391868
0	50	1.397573	0.391949	1.240923	3.030444
0	51	1.397573	0.390126	1.222840	3.010539
0	52	1.397573	0.421707	1.536206	3.355487
0	53	1.397573	0.357903	0.903106	2.658582
0	54	1.397573	0.409947	1.419510	3.227030
0	55	1.397573	0.327340	1.182449	2.907362
0	56	1.397573	0.389284	1.532270	3.319127
0	57	1.397573	0.432914	1.647404	3.477891
0	58	1.397573	0.418370	1.503092	3.319035
0	59	1.397573	0.413321	1.611883	3.422777
0	60	1.397573	0.446481	1.782018	3.626071
0	61	1.397573	0.399180	1.312680	3.109433
0	62	1.397573	0.429639	1.614904	3.442116
0	63	1.397573	0.372370	1.046658	2.816601
0	64	1.397573	0.435069	1.668788	3.501430
0	65	1.397573	0.432914	1.647404	3.477891
0	66	1.397573	0.429639	1.614904	3.442116
0	67	1.397573	0.327340	1.182449	2.907362
0	68	1.397573	0.449549	1.812469	3.659591
0	69	1.397573	0.390691	1.228443	3.016706
0	70	1.397573	0.354364	0.867995	2.619932
0	71	1.397573	0.385815	1.180065	2.963453
0	72	1.397573	0.400261	1.323400	3.121233
0	73	1.397573	0.349375	0.818485	2.565433
0	74	1.397573	0.436158	1.679593	3.513324
0	75	1.397573	0.406168	1.382016	3.185757
0	76	1.397573	0.385431	1.176249	2.959253
0	77	1.397573	0.357903	0.903106	2.658582
0	78	1.397573	0.419072	1.510051	3.326695
0	79	1.397573	0.432914	1.647404	3.477891
0	80	1.397573	0.357903	0.903106	2.658582
0	81	1.397573	0.438004	1.697907	3.533483
0	82	1.397573	0.414153	1.461246	3.272972
0	83	1.397573	0.356528	0.889461	2.643562
0	84	1.397573	0.356528	0.889461	2.643562
0	85	1.397573	0.464268	2.011472	3.873313
0	86	1.397573	0.431484	1.633215	3.462273
0	87	1.397573	0.418921	1.508562	3.325057
0	88	1.397573	0.411465	1.699394	3.508432
0	89	1.397573	0.422465	1.543719	3.363756
0	90	1.397573	0.383929	1.161345	2.942846
0	91	1.397573	0.391308	1.234567	3.023448
0	92	1.397573	0.390691	1.228443	3.016706
0	93	1.397573	0.402761	1.348206	3.148539
0	94	1.397573	0.420464	1.523864	3.341900
0	95	1.397573	0.350430	0.828959	2.576962
0	96	1.397573	0.399180	1.312680	3.109433
0	97	1.397573	0.412905	1.448863	3.259340
0	98	1.397573	0.399169	1.312569	3.109311
0	99	1.397573	0.406354	1.383858	3.187784
1	0	1.289446	0.385881	1.180718	2.856046
1	1	1.289446	0.373666	1.059513	2.722625
1	2	1.289446	0.388287	1.204592	2.882325
1	3	1.289446	0.430484	1.623287	3.343217
1	4	1.289446	0.395138	1.272573	2.957157
1	5	1.289446	0.465262	1.968376	3.723084
1	6	1.289446	0.395154	1.484580	3.169180
1	7	1.289446	0.439798	1.715709	3.444953
1	8	1.289446	0.435059	1.668690	3.393195
1	9	1.289446	0.359716	0.921100	2.570263
1	10	1.289446	0.453095	1.847653	3.590194
1	11	1.289446	0.422031	1.539420	3.250898
1	12	1.289446	0.345260	0.777657	2.412363
1	13	1.289446	0.399415	1.315007	3.003869
1	14	1.289446	0.465262	1.968376	3.723084
1	15	1.289446	0.429223	1.822632	3.541301
1	16	1.289446	0.412269	1.442550	3.144265
1	17	1.289446	0.428988	1.608449	3.326883
1	18	1.289446	0.439035	1.708136	3.436616
1	19	1.289446	0.421407	1.533225	3.244078
1	20	1.289446	0.457968	1.895999	3.643413
1	21	1.289446	0.435511	1.673170	3.398127
1	22	1.289446	0.384137	1.163414	2.836997
1	23	1.289446	0.436904	1.686991	3.413341
1	24	1.289446	0.388287	1.204592	2.882325
1	25	1.289446	0.384077	1.533561	3.207084
1	26	1.289446	0.384077	1.533561	3.207084
1	27	1.289446	0.425647	1.575295	3.290388
1	28	1.289446	0.373666	1.059513	2.722625
1	29	1.289446	0.384365	1.165675	2.839486
1	30	1.289446	0.363451	0.958153	2.611050
1	31	1.289446	0.435264	1.670726	3.395436
1	32	1.289446	0.383386	1.526710	3.199543
1	33	1.289446	0.412269	1.442550	3.144265
1	34	1.289446	0.443094	1.748418	3.480958
1	35	1.289446	0.396662	1.287689	2.973797
1	36	1.289446	0.408462	1.404775	3.102683
1	37	1.289446	0.445004	1.767365	3.501815
1	38	1.289446	0.379007	1.112509	2.780962
1	39	1.289446	0.407785	1.398057	3.095287
