design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
collinear4	hab2hi	3.5	long_weighted	0	676.2524	3.5355	converged	0.0000	1465.4418	4	corrected	410.7
collinear4	hab2hi	3.5	long_weighted	1	818.8630	3.5060	converged	0.0000	1639.1268	4	corrected	392.0
collinear4	hab2hi	3.5	long_weighted	2	220.0283	3.5245	converged	0.0000	390.7823	4	corrected	382.9
collinear4	hab2hi	3.5	long_weighted	3	0.0000	3.4804	zero_budget_at_or_above_target	0.0000	20000.0000	2	corrected	230.4
collinear4	hab2hi	3.5	long_weighted	4	188.2362	3.5414	converged	0.0000	455.0564	4	corrected	375.8
collinear4	hab2hi	3.5	long_weighted	5	409.2992	3.5216	converged	0.0000	524.1683	5	corrected	469.6
collinear4	hab2hi	3.5	long_weighted	6	191.3793	3.4797	converged	0.0000	529.1013	4	corrected	391.7
collinear4	hab2hi	3.5	long_weighted	7	424.5949	3.5242	converged	0.0000	998.3462	4	corrected	378.0
collinear4	hab2hi	3.5	long_weighted	8	157.6343	3.5224	converged	0.0000	362.2194	4	corrected	380.5
collinear4	hab2hi	3.5	long_weighted	9	434.9576	3.4610	converged	0.0000	1141.1063	4	corrected	379.6
collinear4	hab2hi	3.5	long_weighted	10	0.0000	3.4720	zero_budget_at_or_above_target	0.0000	20000.0000	2	corrected	234.0
collinear4	hab2hi	3.5	long_weighted	11	473.3653	3.5151	converged	0.0000	998.9960	4	corrected	397.4
collinear4	hab2hi	3.5	long_weighted	12	1054.5049	3.4623	converged	0.0000	2176.9228	4	corrected	386.8
collinear4	hab2hi	3.5	long_weighted	13	492.0073	3.5385	converged	0.0000	1097.2455	4	corrected	383.9
collinear4	hab2hi	3.5	long_weighted	14	552.3933	3.4731	converged	0.0000	876.9595	4	corrected	387.8
collinear4	hab2hi	3.5	long_weighted	15	0.0000	3.5176	zero_budget_at_or_above_target	0.0000	20000.0000	2	corrected	234.9
collinear4	hab2hi	3.5	long_weighted	16	424.4290	3.4658	converged	0.0000	853.6634	4	corrected	395.1
collinear4	hab2hi	3.5	long_weighted	17	677.0863	3.4624	converged	0.0000	1203.9558	4	corrected	389.2
collinear4	hab2hi	3.5	long_weighted	18	509.0445	3.5374	converged	0.0000	1061.1709	4	corrected	392.5
collinear4	hab2hi	3.5	long_weighted	19	0.0000	3.5693	zero_budget_at_or_above_target	0.0000	20000.0000	2	corrected	238.7
collinear4	hab2hi	3.5	long_weighted	20	605.5206	3.5179	converged	0.0000	982.5676	4	corrected	385.0
