replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
0	0	1.421388	0.381945	1.141660	2.944993
0	1	1.421388	0.378627	1.108737	2.908752
0	2	1.421388	0.419465	1.513954	3.354807
0	3	1.421388	0.433345	1.704643	3.559376
0	4	1.421388	0.419465	1.513954	3.354807
0	5	1.421388	0.414906	1.468719	3.305013
0	6	1.421388	0.378627	1.108737	2.908752
0	7	1.421388	0.419465	1.513954	3.354807
0	8	1.421388	0.396457	1.285654	3.103499
0	9	1.421388	0.423522	1.554212	3.399122
0	10	1.421388	0.350147	0.826150	2.597685
0	11	1.421388	0.380478	1.127111	2.928978
0	12	1.421388	0.457528	1.891634	3.770550
0	13	1.421388	0.420070	1.519963	3.361422
0	14	1.421388	0.378627	1.108737	2.908752
0	15	1.421388	0.404039	1.360891	3.186318
0	16	1.421388	0.350147	0.826150	2.597685
0	17	1.421388	0.377783	1.100364	2.899535
0	18	1.421388	0.397206	1.610874	3.429468
0	19	1.421388	0.446973	1.786902	3.655263
0	20	1.421388	0.377783	1.100364	2.899535
0	21	1.421388	0.385268	1.174631	2.981287
0	22	1.421388	0.381275	1.135011	2.937674
0	23	1.421388	0.444367	1.814013	3.679768
0	24	1.421388	0.433940	1.657579	3.512906
0	25	1.421388	0.414675	1.466423	3.302485
0	26	1.421388	0.416216	1.481719	3.319324
0	27	1.421388	0.396676	1.287836	3.105901
0	28	1.421388	0.385268	1.174631	2.981287
0	29	1.421388	0.414906	1.468719	3.305013
0	30	1.421388	0.422209	1.541185	3.384783
0	31	1.421388	0.423449	1.553485	3.398322
0	32	1.421388	0.348497	0.809776	2.579661
0	33	1.421388	0.420070	1.519963	3.361422
0	34	1.421388	0.423963	1.558588	3.403940
0	35	1.421388	0.388755	1.209232	3.019374
0	36	1.421388	0.404039	1.360891	3.186318
0	37	1.421388	0.420070	1.519963	3.361422
0	38	1.421388	0.422282	1.541908	3.385578
0	39	1.421388	0.388616	1.207856	3.017860
0	40	1.421388	0.423939	1.558352	3.403679
0	41	1.421388	0.387742	1.199183	3.008313
0	42	1.421388	0.399839	1.319217	3.140444
0	43	1.421388	0.379842	1.120792	2.922022
0	44	1.421388	0.391604	1.237509	3.050501
0	45	1.421388	0.419465	1.513954	3.354807
0	46	1.421388	0.434325	1.767329	3.623041
0	47	1.421388	0.396457	1.285654	3.103499
0	48	1.421388	0.388414	1.205850	3.015652
0	49	1.421388	0.422209	1.541185	3.384783
0	50	1.421388	0.391648	1.237938	3.050974
0	51	1.421388	0.383862	1.160685	2.965935
0	52	1.421388	0.413022	1.450025	3.284435
0	53	1.421388	0.355673	0.880984	2.658045
0	54	1.421388	0.407960	1.399801	3.229149
0	55	1.421388	0.309564	1.059026	2.789978
0	56	1.421388	0.361372	1.361240	3.144000
0	57	1.421388	0.425149	1.570359	3.416896
0	58	1.421388	0.414906	1.468719	3.305013
0	59	1.421388	0.416335	1.641794	3.479517
0	60	1.421388	0.447494	1.792069	3.660951
0	61	1.421388	0.396676	1.287836	3.105901
0	62	1.421388	0.423963	1.558588	3.403940
0	63	1.421388	0.371893	1.041920	2.835201
0	64	1.421388	0.442888	1.746371	3.610647
0	65	1.421388	0.425149	1.570359	3.416896
0	66	1.421388	0.423963	1.558588	3.403940
0	67	1.421388	0.309564	1.059026	2.789978
0	68	1.421388	0.449057	1.807577	3.678022
0	69	1.421388	0.388414	1.205850	3.015652
0	70	1.421388	0.350147	0.826150	2.597685
0	71	1.421388	0.381275	1.135011	2.937674
0	72	1.421388	0.399839	1.319217	3.140444
0	73	1.421388	0.348497	0.809776	2.579661
0	74	1.421388	0.435767	1.675716	3.532871
0	75	1.421388	0.406649	1.386787	3.214823
0	76	1.421388	0.381945	1.141660	2.944993
0	77	1.421388	0.355673	0.880984	2.658045
0	78	1.421388	0.418806	1.507417	3.347612
0	79	1.421388	0.425149	1.570359	3.416896
0	80	1.421388	0.355673	0.880984	2.658045
0	81	1.421388	0.433940	1.657579	3.512906
0	82	1.421388	0.412645	1.446288	3.280321
0	83	1.421388	0.355887	0.883105	2.660381
0	84	1.421388	0.355887	0.883105	2.660381
0	85	1.421388	0.444187	1.865183	3.730758
0	86	1.421388	0.429371	1.612249	3.463009
0	87	1.421388	0.416216	1.481719	3.319324
0	88	1.421388	0.434325	1.767329	3.623041
0	89	1.421388	0.420805	1.527250	3.369443
0	90	1.421388	0.379842	1.120792	2.922022
0	91	1.421388	0.388616	1.207856	3.017860
0	92	1.421388	0.388414	1.205850	3.015652
0	93	1.421388	0.399479	1.315647	3.136514
0	94	1.421388	0.414675	1.466423	3.302485
0	95	1.421388	0.349234	0.817093	2.587715
0	96	1.421388	0.396676	1.287836	3.105901
0	97	1.421388	0.411993	1.439813	3.273193
0	98	1.421388	0.396457	1.285654	3.103499
0	99	1.421388	0.403662	1.357152	3.182203
1	0	1.305087	0.385169	1.173649	2.863904
1	1	1.305087	0.371550	1.038514	2.715150
1	2	1.305087	0.386755	1.189392	2.881234
1	3	1.305087	0.428364	1.602254	3.335705
1	4	1.305087	0.394717	1.268393	2.968197
1	5	1.305087	0.442140	1.738944	3.486170
1	6	1.305087	0.400888	1.541477	3.247452
1	7	1.305087	0.435145	1.669537	3.409768
1	8	1.305087	0.433042	1.648671	3.386800
1	9	1.305087	0.359868	0.922603	2.587558
1	10	1.305087	0.437770	1.695591	3.438448
1	11	1.305087	0.421554	1.534684	3.261325
1	12	1.305087	0.344220	0.767333	2.416639
1	13	1.305087	0.393005	1.251403	2.949494
1	14	1.305087	0.442140	1.738944	3.486170
1	15	1.305087	0.429296	1.823354	3.557736
1	16	1.305087	0.411879	1.438687	3.155652
1	17	1.305087	0.427437	1.593058	3.325582
1	18	1.305087	0.442172	1.739268	3.486527
1	19	1.305087	0.416723	1.486751	3.208561
1	20	1.305087	0.457415	1.890515	3.653017
1	21	1.305087	0.436835	1.686314	3.428236
1	22	1.305087	0.378363	1.106122	2.789571
1	23	1.305087	0.419483	1.567100	3.291669
1	24	1.305087	0.386755	1.189392	2.881234
1	25	1.305087	0.381998	1.512930	3.200015
1	26	1.305087	0.381998	1.512930	3.200015
1	27	1.305087	0.423858	1.557546	3.286491
1	28	1.305087	0.371550	1.038514	2.715150
1	29	1.305087	0.381197	1.134238	2.820522
1	30	1.305087	0.361128	0.935102	2.601316
1	31	1.305087	0.426467	1.583432	3.314986
1	32	1.305087	0.395385	1.592808	3.293280
1	33	1.305087	0.411879	1.438687	3.155652
