design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
collinear4	hab2hi	4.0	short_weighted	0	2122.7433	4.0052	converged	0.0000	2305.6706	6	corrected	557.8
collinear4	hab2hi	4.0	short_weighted	1	1805.5937	4.0393	converged	0.0000	2113.2902	6	corrected	543.0
collinear4	hab2hi	4.0	short_weighted	2	2394.9100	4.0343	converged	0.0000	4205.1871	4	corrected	377.7
collinear4	hab2hi	4.0	short_weighted	3	1517.0891	4.0228	converged	0.0000	1877.2704	5	corrected	454.1
collinear4	hab2hi	4.0	short_weighted	4	1393.5644	4.0342	converged	0.0000	2057.6682	5	corrected	454.9
collinear4	hab2hi	4.0	short_weighted	5	1870.6118	3.9901	converged	0.0000	2008.1634	7	corrected	595.7
collinear4	hab2hi	4.0	short_weighted	6	1225.2383	3.9570	converged	1161.0625	1368.1543	7	corrected	605.8
collinear4	hab2hi	4.0	short_weighted	7	2109.2540	4.0308	converged	0.0000	2347.7556	5	corrected	458.7
collinear4	hab2hi	4.0	short_weighted	8	1804.7660	4.0409	converged	0.0000	2151.7730	5	corrected	458.3
collinear4	hab2hi	4.0	short_weighted	9	2067.1946	4.0224	converged	0.0000	2684.1562	5	corrected	460.9
collinear4	hab2hi	4.0	short_weighted	10	1490.5717	3.9996	converged	0.0000	1629.6419	6	corrected	533.2
collinear4	hab2hi	4.0	short_weighted	11	2143.0604	4.0350	converged	0.0000	2622.5031	5	corrected	452.9
collinear4	hab2hi	4.0	short_weighted	12	2360.2265	4.0217	converged	0.0000	2599.7429	6	corrected	530.9
collinear4	hab2hi	4.0	short_weighted	13	1739.7744	4.0423	converged	0.0000	1957.7425	6	corrected	529.3
collinear4	hab2hi	4.0	short_weighted	14	1554.1357	4.0060	converged	0.0000	1864.2590	6	corrected	530.1
collinear4	hab2hi	4.0	short_weighted	15	1202.3277	4.0106	converged	0.0000	1432.9306	6	corrected	546.3
collinear4	hab2hi	4.0	short_weighted	16	1894.5290	4.0446	converged	0.0000	2323.7680	5	corrected	469.9
collinear4	hab2hi	4.0	short_weighted	17	2393.2867	4.0372	converged	0.0000	2713.8894	5	corrected	472.7
collinear4	hab2hi	4.0	short_weighted	18	1557.7452	4.0354	converged	0.0000	1731.7373	6	corrected	540.6
collinear4	hab2hi	4.0	short_weighted	19	1450.8786	3.9978	converged	0.0000	3090.1269	4	corrected	395.5
collinear4	hab2hi	4.0	short_weighted	20	1976.8171	3.9926	converged	1893.3843	2055.1737	7	corrected	604.5
collinear4	hab2hi	4.0	short_weighted	21	2027.5999	4.0386	converged	0.0000	4229.9067	4	corrected	392.2
collinear4	hab2hi	4.0	short_weighted	22	1012.5991	4.0201	converged	0.0000	1119.4972	7	corrected	618.8
collinear4	hab2hi	4.0	short_weighted	23	1310.4310	4.0381	converged	0.0000	1554.2607	6	corrected	537.8
collinear4	hab2hi	4.0	short_weighted	24	1141.2889	3.9596	converged	0.0000	1475.9922	6	corrected	535.9
collinear4	hab2hi	4.0	short_weighted	25	1408.4556	4.0161	converged	0.0000	1868.3971	5	corrected	450.9
collinear4	hab2hi	4.0	short_weighted	26	1234.5836	3.9518	converged	0.0000	1518.5105	6	corrected	538.9
