replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
0	0	1.419631	0.412183	1.441703	3.273518
0	1	1.419631	0.407410	1.394342	3.221383
0	2	1.419631	0.459136	1.907589	3.786356
0	3	1.419631	0.408218	1.667173	3.495022
0	4	1.419631	0.459136	1.907589	3.786356
0	5	1.419631	0.455770	1.874190	3.749591
0	6	1.419631	0.407410	1.394342	3.221383
0	7	1.419631	0.459136	1.907589	3.786356
0	8	1.419631	0.429410	1.612630	3.461671
0	9	1.419631	0.458878	1.905029	3.783538
0	10	1.419631	0.378276	1.105258	2.903165
0	11	1.419631	0.413409	1.453867	3.286907
0	12	1.419631	0.503417	2.399932	4.322980
0	13	1.419631	0.461039	1.926478	3.807148
0	14	1.419631	0.407410	1.394342	3.221383
0	15	1.419631	0.429865	1.617147	3.466642
0	16	1.419631	0.378276	1.105258	2.903165
0	17	1.419631	0.418159	1.500993	3.338782
0	18	1.419631	0.360032	1.453868	3.233531
0	19	1.419631	0.483464	2.148983	4.052078
0	20	1.419631	0.418159	1.500993	3.338782
0	21	1.419631	0.415026	1.469912	3.304570
0	22	1.419631	0.413504	1.454804	3.287939
0	23	1.419631	0.478731	2.102026	4.000389
0	24	1.419631	0.479037	2.105058	4.003725
0	25	1.419631	0.458259	1.898894	3.776784
0	26	1.419631	0.458638	1.902651	3.780921
0	27	1.419631	0.429109	1.609652	3.458393
0	28	1.419631	0.415026	1.469912	3.304570
0	29	1.419631	0.455770	1.874190	3.749591
0	30	1.419631	0.466733	1.982972	3.869336
0	31	1.419631	0.457535	1.891702	3.768868
0	32	1.419631	0.365582	0.979298	2.764511
0	33	1.419631	0.461039	1.926478	3.807148
0	34	1.419631	0.485656	2.170739	4.076026
0	35	1.419631	0.414396	1.463657	3.297684
0	36	1.419631	0.429865	1.617147	3.466642
0	37	1.419631	0.461039	1.926478	3.807148
0	38	1.419631	0.450254	1.819458	3.689343
0	39	1.419631	0.418742	1.506778	3.345151
0	40	1.419631	0.452943	1.846140	3.718714
0	41	1.419631	0.418080	1.500210	3.337921
0	42	1.419631	0.430718	1.625615	3.475964
0	43	1.419631	0.415175	1.471390	3.306197
0	44	1.419631	0.424084	1.559788	3.403503
0	45	1.419631	0.459136	1.907589	3.786356
0	46	1.419631	0.501352	2.485367	4.406350
0	47	1.419631	0.429410	1.612630	3.461671
0	48	1.419631	0.419959	1.518856	3.358446
0	49	1.419631	0.466733	1.982972	3.869336
0	50	1.419631	0.416785	1.487365	3.323782
0	51	1.419631	0.416791	1.487419	3.323840
0	52	1.419631	0.464069	1.956538	3.840238
0	53	1.419631	0.379927	1.121644	2.921203
0	54	1.419631	0.443738	1.754800	3.618169
0	55	1.419631	0.375104	1.603423	3.398158
0	56	1.419631	0.436893	1.951702	3.808226
0	57	1.419631	0.473531	2.050427	3.943589
0	58	1.419631	0.455770	1.874190	3.749591
0	59	1.419631	0.416753	1.751860	3.588244
0	60	1.419631	0.485640	2.170581	4.075853
0	61	1.419631	0.429109	1.609652	3.458393
0	62	1.419631	0.485656	2.170739	4.076026
0	63	1.419631	0.404446	1.364925	3.189001
0	64	1.419631	0.462538	1.941352	3.823521
0	65	1.419631	0.473531	2.050427	3.943589
0	66	1.419631	0.485656	2.170739	4.076026
0	67	1.419631	0.375104	1.603423	3.398158
0	68	1.419631	0.484744	2.161682	4.066057
0	69	1.419631	0.419959	1.518856	3.358446
0	70	1.419631	0.378276	1.105258	2.903165
0	71	1.419631	0.413504	1.454804	3.287939
0	72	1.419631	0.430718	1.625615	3.475964
0	73	1.419631	0.365582	0.979298	2.764511
0	74	1.419631	0.461432	1.930376	3.811440
0	75	1.419631	0.431754	1.635889	3.487274
0	76	1.419631	0.412183	1.441703	3.273518
0	77	1.419631	0.379927	1.121644	2.921203
