design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
collinear4	hab2lo	5.0	flat	0	256.5311	5.0263	converged	0.0000	331.6394	5	corrected	425.3
collinear4	hab2lo	5.0	flat	1	258.0030	4.9650	converged	0.0000	308.4247	6	corrected	506.2
collinear4	hab2lo	5.0	flat	2	264.3054	4.9742	converged	0.0000	348.3799	5	corrected	434.0
collinear4	hab2lo	5.0	flat	3	192.1936	4.9971	converged	0.0000	242.7300	5	corrected	441.1
collinear4	hab2lo	5.0	flat	4	308.2676	5.0115	converged	0.0000	370.0200	5	corrected	436.7
collinear4	hab2lo	5.0	flat	5	111.7218	4.9675	converged	0.0000	192.2765	5	corrected	431.4
collinear4	hab2lo	5.0	flat	6	129.4715	5.0488	converged	0.0000	184.1497	6	corrected	499.3
collinear4	hab2lo	5.0	flat	7	323.3405	5.0203	converged	0.0000	397.9926	6	corrected	500.5
collinear4	hab2lo	5.0	flat	8	427.4237	5.0402	converged	0.0000	574.5136	5	corrected	424.6
collinear4	hab2lo	5.0	flat	9	233.8216	5.0344	converged	0.0000	743.9132	4	corrected	352.0
collinear4	hab2lo	5.0	flat	10	109.2727	5.0170	converged	93.8342	128.6011	6	corrected	508.4
collinear4	hab2lo	5.0	flat	11	279.9316	4.9892	converged	0.0000	767.8497	4	corrected	362.8
collinear4	hab2lo	5.0	flat	12	304.2906	5.0365	converged	0.0000	342.1883	6	corrected	486.4
collinear4	hab2lo	5.0	flat	13	272.2325	5.0348	converged	0.0000	365.6339	5	corrected	403.8
collinear4	hab2lo	5.0	flat	14	225.1213	5.0111	converged	0.0000	297.8293	6	corrected	459.3
collinear4	hab2lo	5.0	flat	15	325.5570	4.9368	converged	325.5570	331.2519	9	corrected	643.3
collinear4	hab2lo	5.0	flat	16	245.0787	5.0038	converged	0.0000	282.2007	5	corrected	386.4
collinear4	hab2lo	5.0	flat	17	277.7358	5.0251	converged	0.0000	366.6934	5	corrected	375.8
collinear4	hab2lo	5.0	flat	18	159.4111	4.9639	converged	0.0000	217.0954	5	corrected	375.2
collinear4	hab2lo	5.0	flat	19	214.9477	5.0247	converged	0.0000	256.8932	5	corrected	369.4
collinear4	hab2lo	5.0	flat	20	111.1997	5.0196	converged	0.0000	401.1233	4	corrected	309.6
collinear4	hab2lo	5.0	flat	21	340.0969	5.0117	converged	0.0000	1098.7138	4	corrected	300.8
collinear4	hab2lo	5.0	flat	22	274.3985	5.0420	converged	0.0000	365.8606	5	corrected	355.0
collinear4	hab2lo	5.0	flat	23	250.0386	5.0127	converged	0.0000	434.9708	5	corrected	356.4
collinear4	hab2lo	5.0	flat	24	358.2066	4.9581	converged	0.0000	464.3563	5	corrected	357.7
collinear4	hab2lo	5.0	flat	25	147.5665	5.0352	converged	0.0000	192.0810	5	corrected	355.6
collinear4	hab2lo	5.0	flat	26	164.8636	5.0375	converged	0.0000	215.2700	5	corrected	355.2
collinear4	hab2lo	5.0	flat	27	151.3690	5.1209	converged	145.2775	151.3690	8	corrected	526.9
collinear4	hab2lo	5.0	flat	28	240.3856	5.0091	converged	0.0000	350.0267	5	corrected	353.8
collinear4	hab2lo	5.0	flat	29	248.8697	4.9909	converged	0.0000	305.9480	5	corrected	354.0
collinear4	hab2lo	5.0	flat	30	266.4173	5.0205	converged	0.0000	886.7643	4	corrected	294.3
collinear4	hab2lo	5.0	flat	31	143.9966	4.9672	converged	124.7797	213.2217	6	corrected	410.9
collinear4	hab2lo	5.0	flat	32	417.9058	5.0272	converged	0.0000	452.6762	6	corrected	407.5
collinear4	hab2lo	5.0	flat	33	158.2813	5.0162	converged	0.0000	240.5572	5	corrected	351.4
collinear4	hab2lo	5.0	flat	34	209.9389	5.0330	converged	0.0000	284.4136	5	corrected	351.8
collinear4	hab2lo	5.0	flat	35	177.6750	4.9945	converged	138.0311	205.4679	6	corrected	410.2
collinear4	hab2lo	5.0	flat	36	144.3323	5.0021	converged	0.0000	663.3351	4	corrected	292.8
collinear4	hab2lo	5.0	flat	37	319.5745	5.0018	converged	0.0000	382.6743	6	corrected	408.7
collinear4	hab2lo	5.0	flat	38	260.7547	5.0426	converged	0.0000	296.0447	6	corrected	407.5
collinear4	hab2lo	5.0	flat	39	344.6229	5.0059	converged	0.0000	391.4112	6	corrected	412.2
collinear4	hab2lo	5.0	flat	40	248.8175	5.0265	converged	0.0000	816.0982	4	corrected	292.5
collinear4	hab2lo	5.0	flat	41	195.1613	4.9564	converged	0.0000	268.9688	5	corrected	353.6
collinear4	hab2lo	5.0	flat	42	353.9770	4.9876	converged	0.0000	401.1222	5	corrected	355.3
collinear4	hab2lo	5.0	flat	43	230.4293	4.9688	converged	0.0000	816.8997	4	corrected	293.3
collinear4	hab2lo	5.0	flat	44	162.7416	5.0446	converged	148.8971	172.5580	8	corrected	528.9
collinear4	hab2lo	5.0	flat	45	274.4743	5.0196	converged	0.0000	353.4503	5	corrected	350.1
collinear4	hab2lo	5.0	flat	46	412.6357	5.0441	converged	0.0000	614.8062	5	corrected	348.8
collinear4	hab2lo	5.0	flat	47	178.9779	5.0375	converged	0.0000	239.5053	5	corrected	344.7
collinear4	hab2lo	5.0	flat	48	250.7585	5.0352	converged	0.0000	958.3993	4	corrected	288.8
collinear4	hab2lo	5.0	flat	49	341.2354	5.0105	converged	0.0000	368.9331	7	corrected	458.6
