replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
0	0	2.350115	0.460047	1.916628	4.726790
0	1	2.350115	0.520919	2.520634	5.391668
0	2	2.350115	0.576450	3.071640	5.998205
0	3	2.350115	0.477008	2.296777	5.123899
0	4	2.350115	0.576450	3.071640	5.998205
0	5	2.350115	0.465940	1.975099	4.791153
0	6	2.350115	0.520919	2.520634	5.391668
0	7	2.350115	0.576450	3.071640	5.998205
0	8	2.350115	0.476895	2.083807	4.910818
0	9	2.350115	0.460653	2.293388	5.104155
0	10	2.350115	0.530124	2.611969	5.492207
0	11	2.350115	0.502181	2.334704	5.187000
0	12	2.350115	0.425685	1.575669	4.351468
0	13	2.350115	0.528342	2.594291	5.472748
0	14	2.350115	0.520919	2.520634	5.391668
0	15	2.350115	0.500016	2.313219	5.163349
0	16	2.350115	0.530124	2.611969	5.492207
0	17	2.350115	0.517587	2.487573	5.355275
0	18	2.350115	0.435861	1.676645	4.462621
0	19	2.350115	0.563481	2.942952	5.856547
0	20	2.350115	0.517587	2.487573	5.355275
0	21	2.350115	0.441599	1.733578	4.525292
0	22	2.350115	0.442791	1.745407	4.538313
0	23	2.350115	0.489641	2.210277	5.050033
0	24	2.350115	0.447963	1.796730	4.594809
0	25	2.350115	0.410629	1.426284	4.187028
0	26	2.350115	0.516981	2.481560	5.348656
0	27	2.350115	0.516287	2.474671	5.341073
0	28	2.350115	0.441599	1.733578	4.525292
0	29	2.350115	0.465940	1.975099	4.791153
0	30	2.350115	0.466647	1.982118	4.798879
0	31	2.350115	0.433570	1.653910	4.437595
0	32	2.350115	0.404616	1.366617	4.121347
0	33	2.350115	0.528342	2.594291	5.472748
0	34	2.350115	0.454723	1.863800	4.668637
0	35	2.350115	0.540083	2.710789	5.600987
0	36	2.350115	0.500016	2.313219	5.163349
0	37	2.350115	0.528342	2.594291	5.472748
0	38	2.350115	0.524965	2.719668	5.594747
0	39	2.350115	0.448522	1.802276	4.600913
0	40	2.350115	0.485248	2.272612	5.107975
0	41	2.350115	0.480936	2.335759	5.166810
0	42	2.350115	0.447186	1.789016	4.586316
0	43	2.350115	0.430536	1.623806	4.404456
0	44	2.350115	0.493599	2.249552	5.093266
0	45	2.350115	0.576450	3.071640	5.998205
0	46	2.350115	0.429511	1.613634	4.393260
0	47	2.350115	0.476895	2.083807	4.910818
0	48	2.350115	0.400957	1.330308	4.081380
0	49	2.350115	0.466647	1.982118	4.798879
0	50	2.350115	0.546145	2.770941	5.667201
0	51	2.350115	0.423009	1.549117	4.322240
0	52	2.350115	0.464448	1.960297	4.774860
0	53	2.350115	0.432720	1.645482	4.428318
0	54	2.350115	0.521238	2.523800	5.395153
0	55	2.350115	0.508514	2.397546	5.256175
0	56	2.350115	0.439791	2.245273	5.035179
0	57	2.350115	0.450028	1.817217	4.617359
0	58	2.350115	0.465940	1.975099	4.791153
0	59	2.350115	0.452999	2.376333	5.179447
0	60	2.350115	0.467800	1.993556	4.811471
0	61	2.350115	0.516287	2.474671	5.341073
0	62	2.350115	0.454723	1.863800	4.668637
0	63	2.350115	0.609171	3.396315	6.355601
0	64	2.350115	0.472636	2.041546	4.864297
0	65	2.350115	0.450028	1.817217	4.617359
0	66	2.350115	0.454723	1.863800	4.668637
0	67	2.350115	0.508514	2.397546	5.256175
0	68	2.350115	0.491791	2.655324	5.497231
0	69	2.350115	0.400957	1.330308	4.081380
0	70	2.350115	0.530124	2.611969	5.492207
0	71	2.350115	0.442791	1.745407	4.538313
0	72	2.350115	0.447186	1.789016	4.586316
0	73	2.350115	0.404616	1.366617	4.121347
0	74	2.350115	0.520075	2.565221	5.435410
0	75	2.350115	0.440043	1.718136	4.508293
0	76	2.350115	0.460047	1.916628	4.726790
0	77	2.350115	0.432720	1.645482	4.428318
0	78	2.350115	0.499587	2.308962	5.158663
0	79	2.350115	0.450028	1.817217	4.617359
0	80	2.350115	0.432720	1.645482	4.428318
0	81	2.350115	0.447963	1.796730	4.594809
0	82	2.350115	0.484316	2.157444	4.991875
0	83	2.350115	0.521442	2.525820	5.397376
0	84	2.350115	0.521442	2.525820	5.397376
0	85	2.350115	0.488360	2.197571	5.036046
0	86	2.350115	0.478354	2.098283	4.926752
0	87	2.350115	0.516981	2.481560	5.348656
0	88	2.350115	0.429511	1.613634	4.393260
0	89	2.350115	0.547149	2.833866	5.731130
0	90	2.350115	0.430536	1.623806	4.404456
0	91	2.350115	0.448522	1.802276	4.600913
0	92	2.350115	0.400957	1.330308	4.081380
0	93	2.350115	0.441012	1.727759	4.518886
0	94	2.350115	0.410629	1.426284	4.187028
0	95	2.350115	0.423325	1.552255	4.325694
0	96	2.350115	0.516287	2.474671	5.341073
0	97	2.350115	0.461170	1.927770	4.739054
0	98	2.350115	0.476895	2.083807	4.910818
0	99	2.350115	0.462527	1.941233	4.753875
1	0	2.281950	0.551452	2.823599	5.657002
1	1	2.281950	0.567260	2.980447	5.829656
1	2	2.281950	0.538039	2.690511	5.510500
1	3	2.281950	0.442528	1.742801	4.467279
