replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
0	0	2.177264	0.434421	1.662353	4.274038
0	1	2.177264	0.477477	2.089583	4.744324
0	2	2.177264	0.531588	2.626493	5.335344
0	3	2.177264	0.447777	2.006735	4.631776
0	4	2.177264	0.531588	2.626493	5.335344
0	5	2.177264	0.429947	1.617962	4.225173
0	6	2.177264	0.477477	2.089583	4.744324
0	7	2.177264	0.531588	2.626493	5.335344
0	8	2.177264	0.441953	1.737094	4.356311
0	9	2.177264	0.451193	2.146554	4.775010
0	10	2.177264	0.485609	2.170265	4.833137
0	11	2.177264	0.463296	1.948866	4.589426
0	12	2.177264	0.412035	1.440235	4.029535
0	13	2.177264	0.486151	2.175649	4.839065
0	14	2.177264	0.477477	2.089583	4.744324
0	15	2.177264	0.449801	1.814966	4.442031
0	16	2.177264	0.485609	2.170265	4.833137
0	17	2.177264	0.466513	1.980792	4.624569
0	18	2.177264	0.412667	1.446504	4.036435
0	19	2.177264	0.538591	2.695984	5.411839
0	20	2.177264	0.466513	1.980792	4.624569
0	21	2.177264	0.414209	1.461802	4.053275
0	22	2.177264	0.411572	1.435634	4.024469
0	23	2.177264	0.463170	1.947614	4.588048
0	24	2.177264	0.409259	1.412684	3.999206
0	25	2.177264	0.388774	1.209420	3.775458
0	26	2.177264	0.452745	1.897141	4.527150
0	27	2.177264	0.479014	2.104827	4.761104
0	28	2.177264	0.414209	1.461802	4.053275
0	29	2.177264	0.429947	1.617962	4.225173
0	30	2.177264	0.439905	1.716773	4.333942
0	31	2.177264	0.405090	1.371316	3.953669
0	32	2.177264	0.386606	1.187912	3.751782
0	33	2.177264	0.486151	2.175649	4.839065
0	34	2.177264	0.425150	1.570362	4.172776
0	35	2.177264	0.509822	2.410523	5.097609
0	36	2.177264	0.449801	1.814966	4.442031
0	37	2.177264	0.486151	2.175649	4.839065
0	38	2.177264	0.492986	2.349396	5.019646
0	39	2.177264	0.420963	1.528824	4.127051
0	40	2.177264	0.491597	2.229689	4.898551
0	41	2.177264	0.529661	2.607378	5.314304
0	42	2.177264	0.413126	1.451061	4.041451
0	43	2.177264	0.399650	1.317342	3.894256
0	44	2.177264	0.456336	1.879804	4.513403
0	45	2.177264	0.531588	2.626493	5.335344
0	46	2.177264	0.407623	1.396455	3.981342
0	47	2.177264	0.441953	1.737094	4.356311
0	48	2.177264	0.383669	1.158771	3.719704
0	49	2.177264	0.439905	1.716773	4.333942
0	50	2.177264	0.526902	2.579999	5.284165
0	51	2.177264	0.400061	1.321414	3.898739
0	52	2.177264	0.448130	1.798389	4.423783
0	53	2.177264	0.407780	1.398013	3.983057
0	54	2.177264	0.491721	2.230913	4.899897
0	55	2.177264	0.489287	2.206766	4.873317
0	56	2.177264	0.360324	1.562694	4.100282
0	57	2.177264	0.424678	1.565683	4.167625
0	58	2.177264	0.429947	1.617962	4.225173
0	59	2.177264	0.459803	2.337923	4.974991
0	60	2.177264	0.432349	1.641794	4.251407
0	61	2.177264	0.479014	2.104827	4.761104
0	62	2.177264	0.425150	1.570362	4.172776
0	63	2.177264	0.539941	2.762342	5.479547
0	64	2.177264	0.450591	1.822798	4.450653
0	65	2.177264	0.424678	1.565683	4.167625
0	66	2.177264	0.425150	1.570362	4.172776
0	67	2.177264	0.489287	2.206766	4.873317
0	68	2.177264	0.377910	1.684230	4.239404
0	69	2.177264	0.383669	1.158771	3.719704
0	70	2.177264	0.485609	2.170265	4.833137
0	71	2.177264	0.411572	1.435634	4.024469
0	72	2.177264	0.413126	1.451061	4.041451
0	73	2.177264	0.386606	1.187912	3.751782
0	74	2.177264	0.474287	2.057927	4.709478
0	75	2.177264	0.409901	1.419057	4.006222
0	76	2.177264	0.434421	1.662353	4.274038
0	77	2.177264	0.407780	1.398013	3.983057
0	78	2.177264	0.451809	1.834889	4.463962
