design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
collinear4	hab2lo	5.5	long_weighted	0	1603.5656	5.4911	converged	0.0000	1765.6353	5	corrected	437.4
collinear4	hab2lo	5.5	long_weighted	1	1819.3738	5.4936	converged	0.0000	2067.7690	5	corrected	425.5
collinear4	hab2lo	5.5	long_weighted	2	1573.7611	5.4864	converged	0.0000	1757.3987	5	corrected	412.9
collinear4	hab2lo	5.5	long_weighted	3	1484.3015	5.4706	converged	1426.9905	1565.5520	6	corrected	500.5
collinear4	hab2lo	5.5	long_weighted	4	1600.3218	5.5115	converged	0.0000	1707.7430	6	corrected	501.2
collinear4	hab2lo	5.5	long_weighted	5	1154.4624	5.5474	converged	0.0000	1320.7279	5	corrected	431.2
collinear4	hab2lo	5.5	long_weighted	6	1390.2036	5.4654	converged	1312.3268	1564.9719	6	corrected	510.8
collinear4	hab2lo	5.5	long_weighted	7	1974.7988	5.4561	converged	0.0000	2337.7185	5	corrected	430.0
collinear4	hab2lo	5.5	long_weighted	8	2069.3137	5.5146	converged	0.0000	2276.7954	5	corrected	422.1
collinear4	hab2lo	5.5	long_weighted	9	1577.4809	5.4693	converged	0.0000	2784.4849	4	corrected	333.9
collinear4	hab2lo	5.5	long_weighted	10	1176.8987	5.5449	converged	0.0000	2258.1138	4	corrected	328.7
collinear4	hab2lo	5.5	long_weighted	11	1835.0517	5.5140	converged	1657.8199	2858.7596	5	corrected	381.1
collinear4	hab2lo	5.5	long_weighted	12	1806.2596	5.5006	converged	0.0000	2010.6324	5	corrected	379.4
collinear4	hab2lo	5.5	long_weighted	13	1514.4131	5.5244	converged	0.0000	1648.2113	5	corrected	373.0
collinear4	hab2lo	5.5	long_weighted	14	1501.9730	5.4689	converged	1419.9098	1918.0568	6	corrected	434.8
collinear4	hab2lo	5.5	long_weighted	15	1764.7136	5.4820	converged	0.0000	3267.4415	4	corrected	306.0
collinear4	hab2lo	5.5	long_weighted	16	1688.3225	5.4801	converged	0.0000	3081.8662	4	corrected	306.6
collinear4	hab2lo	5.5	long_weighted	17	1607.4134	5.5355	converged	0.0000	1779.1558	5	corrected	368.8
collinear4	hab2lo	5.5	long_weighted	18	1503.9212	5.5206	converged	0.0000	2850.9394	4	corrected	307.0
collinear4	hab2lo	5.5	long_weighted	19	1366.4362	5.5137	converged	0.0000	1503.7869	5	corrected	362.9
collinear4	hab2lo	5.5	long_weighted	20	934.4595	5.5008	converged	0.0000	1104.5331	5	corrected	360.6
collinear4	hab2lo	5.5	long_weighted	21	1816.9338	5.5131	converged	0.0000	3368.2377	4	corrected	301.5
collinear4	hab2lo	5.5	long_weighted	22	1691.0813	5.4949	converged	0.0000	1855.6734	5	corrected	357.8
collinear4	hab2lo	5.5	long_weighted	23	1715.7771	5.5002	converged	0.0000	1945.5188	5	corrected	363.4
