design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
collinear4	hab2lo	5.0	short_weighted	0	508.8516	5.0169	converged	0.0000	589.1280	5	corrected	424.9
collinear4	hab2lo	5.0	short_weighted	1	560.0178	5.0113	converged	0.0000	625.3589	6	corrected	508.8
collinear4	hab2lo	5.0	short_weighted	2	479.8138	4.9969	converged	0.0000	648.7887	5	corrected	431.2
collinear4	hab2lo	5.0	short_weighted	3	299.0023	4.9745	converged	0.0000	436.5445	5	corrected	429.1
collinear4	hab2lo	5.0	short_weighted	4	503.2283	5.0362	converged	0.0000	661.4230	5	corrected	437.6
collinear4	hab2lo	5.0	short_weighted	5	151.2066	4.9835	converged	0.0000	203.8800	6	corrected	505.4
collinear4	hab2lo	5.0	short_weighted	6	156.4556	4.9552	converged	0.0000	199.2473	8	corrected	660.2
collinear4	hab2lo	5.0	short_weighted	7	529.2867	4.9703	converged	0.0000	598.5540	7	corrected	583.3
collinear4	hab2lo	5.0	short_weighted	8	715.4056	5.0141	converged	0.0000	782.6486	6	corrected	519.1
collinear4	hab2lo	5.0	short_weighted	9	441.7465	5.0438	converged	0.0000	1371.9764	4	corrected	368.9
collinear4	hab2lo	5.0	short_weighted	10	165.0150	5.0318	converged	0.0000	594.5309	4	corrected	360.4
collinear4	hab2lo	5.0	short_weighted	11	523.4535	4.9835	converged	439.6541	1324.6938	5	corrected	415.2
collinear4	hab2lo	5.0	short_weighted	12	456.0591	5.0389	converged	0.0000	576.8811	6	corrected	463.5
collinear4	hab2lo	5.0	short_weighted	13	599.6005	5.0162	converged	0.0000	728.1135	5	corrected	390.5
collinear4	hab2lo	5.0	short_weighted	14	418.8888	5.0395	converged	0.0000	516.2554	6	corrected	448.4
collinear4	hab2lo	5.0	short_weighted	15	502.6839	5.0226	converged	0.0000	746.4476	5	corrected	381.2
collinear4	hab2lo	5.0	short_weighted	16	391.9725	5.0115	converged	0.0000	525.8849	5	corrected	382.7
collinear4	hab2lo	5.0	short_weighted	17	417.8710	4.9930	converged	0.0000	663.4436	5	corrected	371.8
collinear4	hab2lo	5.0	short_weighted	18	246.0252	4.9661	converged	0.0000	379.8401	5	corrected	367.7
collinear4	hab2lo	5.0	short_weighted	19	368.7931	4.9928	converged	0.0000	492.5649	5	corrected	370.7
collinear4	hab2lo	5.0	short_weighted	20	203.1337	4.9681	converged	177.7602	246.4891	6	corrected	425.2
collinear4	hab2lo	5.0	short_weighted	21	497.5459	4.9959	converged	0.0000	593.7524	5	corrected	364.2
collinear4	hab2lo	5.0	short_weighted	22	589.5345	5.0047	converged	0.0000	688.8393	5	corrected	362.0
collinear4	hab2lo	5.0	short_weighted	23	525.6217	4.9370	converged	525.6217	531.9223	11	corrected	722.2
collinear4	hab2lo	5.0	short_weighted	24	657.6715	5.0111	converged	0.0000	734.8523	6	corrected	423.5
collinear4	hab2lo	5.0	short_weighted	25	202.0736	4.9849	converged	0.0000	346.9593	5	corrected	361.5
collinear4	hab2lo	5.0	short_weighted	26	228.2291	5.0062	converged	0.0000	284.4726	6	corrected	417.8
collinear4	hab2lo	5.0	short_weighted	27	221.0788	4.9766	converged	0.0000	479.0199	5	corrected	357.3
collinear4	hab2lo	5.0	short_weighted	28	398.9881	4.9522	converged	0.0000	664.9433	5	corrected	356.4
collinear4	hab2lo	5.0	short_weighted	29	526.9415	5.0322	converged	0.0000	1679.8917	4	corrected	296.0
collinear4	hab2lo	5.0	short_weighted	30	395.2392	5.0048	converged	0.0000	482.0739	5	corrected	356.3
collinear4	hab2lo	5.0	short_weighted	31	189.8539	4.9669	converged	0.0000	227.7013	6	corrected	417.6
collinear4	hab2lo	5.0	short_weighted	32	729.9129	4.9954	converged	0.0000	833.8539	6	corrected	415.9
collinear4	hab2lo	5.0	short_weighted	33	191.0883	4.9803	converged	0.0000	227.5273	7	corrected	483.3
collinear4	hab2lo	5.0	short_weighted	34	340.2247	5.0237	converged	0.0000	509.6402	5	corrected	366.1
collinear4	hab2lo	5.0	short_weighted	35	272.0502	5.0415	converged	251.4533	281.1744	8	corrected	550.6
collinear4	hab2lo	5.0	short_weighted	36	221.5515	4.9958	converged	0.0000	284.8316	5	corrected	365.4
collinear4	hab2lo	5.0	short_weighted	37	633.5967	4.9920	converged	0.0000	1009.2497	5	corrected	362.3
collinear4	hab2lo	5.0	short_weighted	38	483.0277	5.0162	converged	0.0000	725.4952	5	corrected	359.2
collinear4	hab2lo	5.0	short_weighted	39	635.2575	5.0104	converged	0.0000	709.9357	6	corrected	420.2
collinear4	hab2lo	5.0	short_weighted	40	405.7747	4.9694	converged	0.0000	1388.5796	4	corrected	302.4
collinear4	hab2lo	5.0	short_weighted	41	327.1191	5.0428	converged	0.0000	513.6714	5	corrected	357.7
collinear4	hab2lo	5.0	short_weighted	42	569.2228	4.9896	converged	0.0000	645.8508	6	corrected	418.5
collinear4	hab2lo	5.0	short_weighted	43	459.3265	5.0498	converged	0.0000	1421.1568	4	corrected	297.7
collinear4	hab2lo	5.0	short_weighted	44	359.1903	4.9935	converged	0.0000	490.0054	5	corrected	355.0
