replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
0	0	2.338684	0.460202	1.918168	4.717055
0	1	2.338684	0.520760	2.519051	5.378495
0	2	2.338684	0.573673	3.044083	5.956440
0	3	2.338684	0.485205	2.378111	5.202000
0	4	2.338684	0.573673	3.044083	5.956440
0	5	2.338684	0.469979	2.015179	4.823842
0	6	2.338684	0.520760	2.519051	5.378495
0	7	2.338684	0.573673	3.044083	5.956440
0	8	2.338684	0.479933	2.113951	4.932568
0	9	2.338684	0.476658	2.399234	5.214576
0	10	2.338684	0.527499	2.585920	5.452103
0	11	2.338684	0.506577	2.378319	5.223580
0	12	2.338684	0.426409	1.582856	4.347950
0	13	2.338684	0.536072	2.670989	5.545746
0	14	2.338684	0.520760	2.519051	5.378495
0	15	2.338684	0.504528	2.357996	5.201209
0	16	2.338684	0.527499	2.585920	5.452103
0	17	2.338684	0.518786	2.499472	5.356943
0	18	2.338684	0.444664	1.763997	4.547346
0	19	2.338684	0.562237	2.930610	5.831532
0	20	2.338684	0.518786	2.499472	5.356943
0	21	2.338684	0.445288	1.770186	4.554159
0	22	2.338684	0.445135	1.768667	4.552486
0	23	2.338684	0.486037	2.174517	4.999239
0	24	2.338684	0.451192	1.828766	4.618642
0	25	2.338684	0.411595	1.435866	4.186146
0	26	2.338684	0.520111	2.512619	5.371414
0	27	2.338684	0.517398	2.485697	5.341779
0	28	2.338684	0.445288	1.770186	4.554159
0	29	2.338684	0.469979	2.015179	4.823842
0	30	2.338684	0.466970	1.985325	4.790980
0	31	2.338684	0.434527	1.663407	4.436618
0	32	2.338684	0.404913	1.369564	4.113161
0	33	2.338684	0.536072	2.670989	5.545746
0	34	2.338684	0.453767	1.854322	4.646773
0	35	2.338684	0.531983	2.630411	5.501078
0	36	2.338684	0.504528	2.357996	5.201209
0	37	2.338684	0.536072	2.670989	5.545746
0	38	2.338684	0.502845	2.606110	5.447639
0	39	2.338684	0.449087	1.807881	4.595652
0	40	2.338684	0.482452	2.244875	5.066012
0	41	2.338684	0.501880	2.490611	5.331176
0	42	2.338684	0.448287	1.799943	4.586915
0	43	2.338684	0.431631	1.634671	4.404986
0	44	2.338684	0.491775	2.231452	5.061911
0	45	2.338684	0.573673	3.044083	5.956440
0	46	2.338684	0.427864	1.597292	4.363840
0	47	2.338684	0.479933	2.113951	4.932568
0	48	2.338684	0.400840	1.329145	4.068669
0	49	2.338684	0.466970	1.985325	4.790980
0	50	2.338684	0.547240	2.781804	5.667728
0	51	2.338684	0.424023	1.559178	4.321885
0	52	2.338684	0.460197	1.918121	4.717002
0	53	2.338684	0.433717	1.655369	4.427770
0	54	2.338684	0.522384	2.535168	5.396236
0	55	2.338684	0.500396	2.316995	5.156076
0	56	2.338684	0.405352	2.009484	4.753521
