replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
0	0	2.214054	0.444811	1.765450	4.424315
0	1	2.214054	0.451643	1.833240	4.498937
0	2	2.214054	0.486229	2.176418	4.876700
0	3	2.214054	0.478816	2.314721	5.007590
0	4	2.214054	0.486229	2.176418	4.876700
0	5	2.214054	0.510039	2.412672	5.136765
0	6	2.214054	0.451643	1.833240	4.498937
0	7	2.214054	0.486229	2.176418	4.876700
0	8	2.214054	0.479723	2.111861	4.805637
0	9	2.214054	0.509403	2.459328	5.182785
0	10	2.214054	0.395627	1.277419	3.887099
0	11	2.214054	0.484038	2.154677	4.852768
0	12	2.214054	0.510341	2.627524	5.351918
0	13	2.214054	0.507421	2.386698	5.108173
0	14	2.214054	0.451643	1.833240	4.498937
0	15	2.214054	0.485431	2.168503	4.867988
0	16	2.214054	0.395627	1.277419	3.887099
0	17	2.214054	0.438274	1.700588	4.352915
0	18	2.214054	0.455429	2.294523	4.964006
0	19	2.214054	0.504536	2.569925	5.288515
0	20	2.214054	0.438274	1.700588	4.352915
0	21	2.214054	0.475086	2.065854	4.754994
0	22	2.214054	0.474014	2.055213	4.743281
0	23	2.214054	0.518511	2.708590	5.441154
0	24	2.214054	0.516557	2.477350	5.207961
0	25	2.214054	0.527130	2.582257	5.323440
0	26	2.214054	0.498086	2.294073	5.006213
0	27	2.214054	0.481424	2.128747	4.824225
0	28	2.214054	0.475086	2.065854	4.754994
0	29	2.214054	0.510039	2.412672	5.136765
0	30	2.214054	0.512980	2.441859	5.168893
0	31	2.214054	0.528978	2.600595	5.343627
0	32	2.214054	0.403515	1.355693	3.973262
0	33	2.214054	0.507421	2.386698	5.108173
0	34	2.214054	0.522969	2.540977	5.278000
0	35	2.214054	0.457390	1.890265	4.561708
0	36	2.214054	0.485431	2.168503	4.867988
0	37	2.214054	0.507421	2.386698	5.108173
0	38	2.214054	0.520273	2.514224	5.248551
0	39	2.214054	0.476715	2.082015	4.772783
0	40	2.214054	0.527206	2.583019	5.324279
0	41	2.214054	0.474357	2.058625	4.747036
0	42	2.214054	0.492061	2.234290	4.940404
0	43	2.214054	0.438482	1.702651	4.355186
0	44	2.214054	0.485301	2.167214	4.866569
0	45	2.214054	0.486229	2.176418	4.876700
0	46	2.214054	0.559780	2.906233	5.680067
0	47	2.214054	0.479723	2.111861	4.805637
0	48	2.214054	0.462671	1.942670	4.619396
0	49	2.214054	0.512980	2.441859	5.168893
0	50	2.214054	0.471637	2.031635	4.717326
0	51	2.214054	0.489962	2.213465	4.917481
0	52	2.214054	0.549491	2.804140	5.567685
0	53	2.214054	0.423480	1.553790	4.191323
0	54	2.214054	0.511939	2.431524	5.157516
0	55	2.214054	0.524276	2.712836	5.451166
0	56	2.214054	0.430324	2.045412	4.689790
0	57	2.214054	0.545763	2.767143	5.526960
0	58	2.214054	0.510039	2.412672	5.136765
0	59	2.214054	0.548119	2.790525	5.552697
0	60	2.214054	0.544466	2.754276	5.512795
0	61	2.214054	0.481424	2.128747	4.824225
0	62	2.214054	0.522969	2.540977	5.278000
0	63	2.214054	0.460580	1.921923	4.596557
0	64	2.214054	0.533619	2.646646	5.394318
0	65	2.214054	0.545763	2.767143	5.526960
0	66	2.214054	0.522969	2.540977	5.278000
0	67	2.214054	0.524276	2.712836	5.451166
0	68	2.214054	0.544785	2.757446	5.516286
0	69	2.214054	0.462671	1.942670	4.619396
0	70	2.214054	0.395627	1.277419	3.887099
0	71	2.214054	0.474014	2.055213	4.743281
0	72	2.214054	0.492061	2.234290	4.940404
0	73	2.214054	0.403515	1.355693	3.973262
0	74	2.214054	0.551950	2.828535	5.594538
0	75	2.214054	0.498009	2.293307	5.005369
0	76	2.214054	0.444811	1.765450	4.424315
0	77	2.214054	0.423480	1.553790	4.191323
0	78	2.214054	0.510133	2.413608	5.137795
0	79	2.214054	0.545763	2.767143	5.526960
0	80	2.214054	0.423480	1.553790	4.191323
0	81	2.214054	0.516557	2.477350	5.207961
0	82	2.214054	0.487985	2.193844	4.895883
0	83	2.214054	0.420446	1.523686	4.158186
0	84	2.214054	0.420446	1.523686	4.158186
0	85	2.214054	0.472084	2.300882	4.987019
0	86	2.214054	0.491719	2.230895	4.936668
0	87	2.214054	0.498086	2.294073	5.006213
0	88	2.214054	0.559780	2.906233	5.680067
0	89	2.214054	0.508063	2.393073	5.115191
0	90	2.214054	0.438482	1.702651	4.355186
0	91	2.214054	0.476715	2.082015	4.772783
0	92	2.214054	0.462671	1.942670	4.619396
0	93	2.214054	0.523085	2.542128	5.279267
0	94	2.214054	0.527130	2.582257	5.323440
0	95	2.214054	0.393674	1.258045	3.865772
0	96	2.214054	0.481424	2.128747	4.824225
0	97	2.214054	0.475765	2.072593	4.762412
0	98	2.214054	0.479723	2.111861	4.805637
0	99	2.214054	0.480885	2.123396	4.818335
1	0	2.122355	0.466152	1.977211	4.565719
1	1	2.122355	0.450615	1.823036	4.396006
1	2	2.122355	0.451255	1.829387	4.402997
1	3	2.122355	0.526030	2.571348	5.219733
1	4	2.122355	0.466874	1.984374	4.573603
1	5	2.122355	0.545441	2.763952	5.431748
1	6	2.122355	0.550459	2.813741	5.486555
1	7	2.122355	0.562347	2.931701	5.616403
1	8	2.122355	0.569192	3.052586	5.744133
1	9	2.122355	0.424768	1.566573	4.113696
1	10	2.122355	0.542667	2.736426	5.401448
1	11	2.122355	0.558019	2.888756	5.569130
1	12	2.122355	0.394446	1.265701	3.782502
1	13	2.122355	0.496794	2.281255	4.900405
1	14	2.122355	0.545441	2.763952	5.431748
1	15	2.122355	0.491914	2.497650	5.111920
1	16	2.122355	0.503885	2.351614	4.977854
1	17	2.122355	0.506312	2.375696	5.004363
1	18	2.122355	0.543800	2.747670	5.413825
1	19	2.122355	0.526832	2.579300	5.228487
1	20	2.122355	0.568722	2.994962	5.686039
1	21	2.122355	0.539370	2.703714	5.365439
1	22	2.122355	0.454243	1.859044	4.435642
1	23	2.122355	0.541129	2.721170	5.384655
1	24	2.122355	0.451255	1.829387	4.402997
1	25	2.122355	0.528427	2.806988	5.457771
1	26	2.122355	0.528427	2.806988	5.457771
1	27	2.122355	0.523904	2.550251	5.196511
1	28	2.122355	0.450615	1.823036	4.396006
1	29	2.122355	0.443782	1.755239	4.321376
1	30	2.122355	0.429811	1.616611	4.168777
1	31	2.122355	0.538638	2.696452	5.357445
1	32	2.122355	0.556339	2.872092	5.550787
1	33	2.122355	0.503885	2.351614	4.977854
1	34	2.122355	0.516715	2.478920	5.117991
1	35	2.122355	0.484787	2.162111	4.769253
1	36	2.122355	0.490475	2.218547	4.831377
1	37	2.122355	0.522777	2.539065	5.184197
1	38	2.122355	0.460607	1.922185	4.505147
1	39	2.122355	0.499410	2.307207	4.928971
1	40	2.122355	0.495092	2.264363	4.881810
1	41	2.122355	0.405652	1.376895	3.904903
1	42	2.122355	0.490475	2.218547	4.831377
1	43	2.122355	0.503270	2.557361	5.182986
1	44	2.122355	0.503885	2.351614	4.977854
1	45	2.122355	0.506789	2.380424	5.009568
1	46	2.122355	0.476087	2.075784	4.674226
1	47	2.122355	0.553928	2.848163	5.524447
1	48	2.122355	0.476087	2.075784	4.674226
1	49	2.122355	0.463490	1.950797	4.536643
1	50	2.122355	0.555492	2.863684	5.541531
1	51	2.122355	0.443484	1.752282	4.318121
1	52	2.122355	0.420013	1.519395	4.061764
1	53	2.122355	0.466152	1.977211	4.565719
1	54	2.122355	0.568717	3.047874	5.738946
1	55	2.122355	0.460013	1.916297	4.498666
1	56	2.122355	0.545441	2.763952	5.431748
1	57	2.122355	0.460607	1.922185	4.505147
1	58	2.122355	0.461726	1.933285	4.517366
1	59	2.122355	0.454243	1.859044	4.435642
1	60	2.122355	0.443484	1.752282	4.318121
1	61	2.122355	0.526030	2.571348	5.219733
1	62	2.122355	0.466152	1.977211	4.565719
1	63	2.122355	0.493204	2.245628	4.861187
1	64	2.122355	0.420013	1.519395	4.061764
1	65	2.122355	0.489551	2.209382	4.821288
1	66	2.122355	0.443882	2.179941	4.746178
1	67	2.122355	0.520029	2.511799	5.154183
1	68	2.122355	0.576421	3.071349	5.770125
1	69	2.122355	0.405652	1.376895	3.904903
1	70	2.122355	0.481286	2.445160	5.048802
1	71	2.122355	0.516715	2.478920	5.117991
1	72	2.122355	0.506163	2.374221	5.002739
1	73	2.122355	0.405652	1.376895	3.904903
1	74	2.122355	0.504927	2.732694	5.359976
1	75	2.122355	0.532277	2.633334	5.287966
1	76	2.122355	0.506789	2.380424	5.009568
1	77	2.122355	0.522777	2.539065	5.184197
1	78	2.122355	0.523904	2.550251	5.196511
1	79	2.122355	0.506163	2.374221	5.002739
1	80	2.122355	0.506312	2.375696	5.004363
1	81	2.122355	0.472287	2.038082	4.632724
1	82	2.122355	0.394446	1.265701	3.782502
1	83	2.122355	0.476087	2.075784	4.674226
1	84	2.122355	0.555492	2.863684	5.541531
1	85	2.122355	0.576421	3.071349	5.770125
1	86	2.122355	0.532277	2.633334	5.287966
1	87	2.122355	0.506312	2.375696	5.004363
