design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
kernel5_deep	hab2hi	6.0	flat	0	424.1628	6.0492	converged	0.0000	470.3254	6	corrected	539.9
kernel5_deep	hab2hi	6.0	flat	1	488.1869	6.0172	converged	0.0000	669.0379	5	corrected	461.3
kernel5_deep	hab2hi	6.0	flat	2	483.7269	6.0198	converged	0.0000	612.9379	5	corrected	460.1
kernel5_deep	hab2hi	6.0	flat	3	430.5474	6.0395	converged	0.0000	558.7121	5	corrected	462.3
kernel5_deep	hab2hi	6.0	flat	4	353.3765	6.0167	converged	0.0000	383.6876	7	corrected	613.8
kernel5_deep	hab2hi	6.0	flat	5	471.7056	5.9890	converged	0.0000	583.3822	5	corrected	467.1
kernel5_deep	hab2hi	6.0	flat	6	483.0108	6.0110	converged	0.0000	539.9900	5	corrected	460.4
kernel5_deep	hab2hi	6.0	flat	7	403.9738	6.0331	converged	0.0000	450.5080	6	corrected	546.4
kernel5_deep	hab2hi	6.0	flat	8	439.8522	5.9661	converged	400.4048	517.6135	6	corrected	541.1
kernel5_deep	hab2hi	6.0	flat	9	437.2642	6.0337	converged	0.0000	488.6746	6	corrected	546.4
kernel5_deep	hab2hi	6.0	flat	10	323.5279	6.0003	converged	312.1880	337.1029	7	corrected	619.6
kernel5_deep	hab2hi	6.0	flat	11	362.5997	6.0453	converged	0.0000	405.3113	6	corrected	540.2
kernel5_deep	hab2hi	6.0	flat	12	564.4801	6.0039	converged	0.0000	667.3796	5	corrected	463.8
kernel5_deep	hab2hi	6.0	flat	13	333.5256	6.0214	converged	326.7498	338.1426	9	corrected	779.2
kernel5_deep	hab2hi	6.0	flat	14	538.7867	5.9865	converged	0.0000	579.9470	6	corrected	534.5
kernel5_deep	hab2hi	6.0	flat	15	401.0380	6.0212	converged	0.0000	437.7224	5	corrected	470.8
kernel5_deep	hab2hi	6.0	flat	16	436.6828	5.9960	converged	421.7625	461.7002	8	corrected	698.6
kernel5_deep	hab2hi	6.0	flat	17	494.5649	5.9799	converged	0.0000	660.8378	5	corrected	471.8
kernel5_deep	hab2hi	6.0	flat	18	450.0679	5.9551	converged	0.0000	548.0403	5	corrected	476.8
kernel5_deep	hab2hi	6.0	flat	19	496.7731	6.2353	converged	492.8408	496.7731	10	corrected	870.6
kernel5_deep	hab2hi	6.0	flat	20	478.2305	5.9697	converged	445.2679	614.6918	6	corrected	536.8
kernel5_deep	hab2hi	6.0	flat	21	439.0415	5.9611	converged	430.7379	453.1334	8	corrected	715.4
kernel5_deep	hab2hi	6.0	flat	22	474.4374	6.0316	converged	0.0000	581.0827	5	corrected	455.4
kernel5_deep	hab2hi	6.0	flat	23	370.2299	6.0259	converged	0.0000	468.1477	5	corrected	456.0
kernel5_deep	hab2hi	6.0	flat	24	336.8131	5.9762	converged	0.0000	379.8962	7	corrected	610.1
kernel5_deep	hab2hi	6.0	flat	25	385.1743	6.0472	converged	0.0000	438.0035	5	corrected	456.0
kernel5_deep	hab2hi	6.0	flat	26	219.8408	5.9776	converged	205.9890	253.8759	7	corrected	614.6
kernel5_deep	hab2hi	6.0	flat	27	412.7821	5.9917	converged	0.0000	551.3016	5	corrected	467.7
kernel5_deep	hab2hi	6.0	flat	28	480.5021	6.0380	converged	0.0000	701.9718	5	corrected	463.4
kernel5_deep	hab2hi	6.0	flat	29	396.3964	6.0408	converged	0.0000	425.4413	6	corrected	542.5
kernel5_deep	hab2hi	6.0	flat	30	265.7072	5.9951	converged	0.0000	412.8069	5	corrected	459.9
kernel5_deep	hab2hi	6.0	flat	31	375.5172	6.0250	converged	0.0000	525.2738	5	corrected	450.2
kernel5_deep	hab2hi	6.0	flat	32	436.7350	6.0411	converged	0.0000	473.8598	6	corrected	527.6
kernel5_deep	hab2hi	6.0	flat	33	430.0313	6.0230	converged	0.0000	589.9234	5	corrected	454.4
kernel5_deep	hab2hi	6.0	flat	34	457.7278	5.9735	converged	0.0000	520.3022	5	corrected	460.1
kernel5_deep	hab2hi	6.0	flat	35	510.3902	6.0249	converged	469.4518	1194.1854	6	corrected	541.4
kernel5_deep	hab2hi	6.0	flat	36	425.8168	6.0169	converged	0.0000	594.1436	5	corrected	464.6
kernel5_deep	hab2hi	6.0	flat	37	289.4794	5.9610	converged	0.0000	317.9881	7	corrected	607.7
kernel5_deep	hab2hi	6.0	flat	38	500.3150	5.9509	converged	495.4270	515.4736	9	corrected	764.2
kernel5_deep	hab2hi	6.0	flat	39	451.2482	5.9531	converged	424.1436	511.1760	7	corrected	614.0
kernel5_deep	hab2hi	6.0	flat	40	582.6306	6.0318	converged	0.0000	735.5569	5	corrected	460.1
kernel5_deep	hab2hi	6.0	flat	41	419.7817	6.0500	converged	0.0000	466.0267	6	corrected	528.5
kernel5_deep	hab2hi	6.0	flat	42	316.4911	5.9503	converged	0.0000	380.4647	6	corrected	529.7
kernel5_deep	hab2hi	6.0	flat	43	663.6243	6.0341	converged	0.0000	926.5641	5	corrected	446.7
kernel5_deep	hab2hi	6.0	flat	44	506.0925	5.9898	converged	0.0000	540.3252	6	corrected	530.6
kernel5_deep	hab2hi	6.0	flat	45	503.2056	6.0091	converged	0.0000	546.5605	6	corrected	545.7
kernel5_deep	hab2hi	6.0	flat	46	194.0338	6.0069	converged	0.0000	219.0605	7	corrected	616.8
kernel5_deep	hab2hi	6.0	flat	47	540.9934	6.0418	converged	0.0000	696.9352	5	corrected	464.1
kernel5_deep	hab2hi	6.0	flat	48	573.0415	6.0489	converged	0.0000	624.9994	5	corrected	450.7
kernel5_deep	hab2hi	6.0	flat	49	423.5300	5.9924	converged	0.0000	484.1588	6	corrected	535.4
