replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
0	0	2.194951	0.450528	1.822182	4.467662
0	1	2.194951	0.453478	1.851445	4.499874
0	2	2.194951	0.486516	2.179270	4.860738
0	3	2.194951	0.450671	2.141382	4.787005
0	4	2.194951	0.486516	2.179270	4.860738
0	5	2.194951	0.515130	2.463193	5.173275
0	6	2.194951	0.453478	1.851445	4.499874
0	7	2.194951	0.486516	2.179270	4.860738
0	8	2.194951	0.483524	2.149585	4.828060
0	9	2.194951	0.534061	2.651031	5.380043
0	10	2.194951	0.397696	1.297951	3.890598
0	11	2.194951	0.490313	2.216947	4.902212
0	12	2.194951	0.540857	2.877363	5.613171
0	13	2.194951	0.513598	2.447991	5.156541
0	14	2.194951	0.453478	1.851445	4.499874
0	15	2.194951	0.490258	2.216398	4.901608
0	16	2.194951	0.397696	1.297951	3.890598
0	17	2.194951	0.440726	1.724917	4.360594
0	18	2.194951	0.438775	2.182229	4.815955
0	19	2.194951	0.488243	2.461221	5.144416
0	20	2.194951	0.440726	1.724917	4.360594
0	21	2.194951	0.477348	2.088298	4.760597
0	22	2.194951	0.478272	2.097467	4.770690
0	23	2.194951	0.501253	2.590318	5.286522
0	24	2.194951	0.520752	2.518978	5.234681
0	25	2.194951	0.529111	2.601922	5.325985
0	26	2.194951	0.501406	2.327014	5.023371
0	27	2.194951	0.485778	2.171950	4.852680
0	28	2.194951	0.477348	2.088298	4.760597
0	29	2.194951	0.515130	2.463193	5.173275
0	30	2.194951	0.518834	2.499945	5.213731
0	31	2.194951	0.534090	2.651323	5.380365
0	32	2.194951	0.407976	1.399952	4.002879
0	33	2.194951	0.513598	2.447991	5.156541
0	34	2.194951	0.524927	2.560405	5.280283
0	35	2.194951	0.460814	1.924238	4.580003
0	36	2.194951	0.490258	2.216398	4.901608
0	37	2.194951	0.513598	2.447991	5.156541
0	38	2.194951	0.530341	2.614121	5.339413
0	39	2.194951	0.481150	2.126022	4.802123
0	40	2.194951	0.531854	2.629132	5.355937
0	41	2.194951	0.478046	2.095228	4.768225
0	42	2.194951	0.495963	2.273007	4.963922
0	43	2.194951	0.441064	1.728268	4.364283
0	44	2.194951	0.492799	2.241609	4.929359
0	45	2.194951	0.486516	2.179270	4.860738
0	46	2.194951	0.571868	3.026176	5.792996
0	47	2.194951	0.483524	2.149585	4.828060
0	48	2.194951	0.465985	1.975551	4.636488
0	49	2.194951	0.518834	2.499945	5.213731
0	50	2.194951	0.474649	2.061520	4.731121
0	51	2.194951	0.496300	2.276355	4.967607
0	52	2.194951	0.559613	2.904572	5.659136
0	53	2.194951	0.424861	1.567502	4.187315
0	54	2.194951	0.517011	2.481859	5.193821
0	55	2.194951	0.528133	2.751108	5.474193
0	56	2.194951	0.451537	2.202932	4.849420
0	57	2.194951	0.553776	2.846652	5.595379
0	58	2.194951	0.515130	2.463193	5.173275
0	59	2.194951	0.506362	2.535082	5.236396
0	60	2.194951	0.547223	2.781631	5.523805
0	61	2.194951	0.485778	2.171950	4.852680
0	62	2.194951	0.524927	2.560405	5.280283
0	63	2.194951	0.464167	1.957513	4.616631
0	64	2.194951	0.536786	2.678071	5.409808
0	65	2.194951	0.553776	2.846652	5.595379
0	66	2.194951	0.524927	2.560405	5.280283
0	67	2.194951	0.528133	2.751108	5.474193
0	68	2.194951	0.550392	2.813082	5.558426
0	69	2.194951	0.465985	1.975551	4.636488
0	70	2.194951	0.397696	1.297951	3.890598
0	71	2.194951	0.478272	2.097467	4.770690
0	72	2.194951	0.495963	2.273007	4.963922
0	73	2.194951	0.407976	1.399952	4.002879
0	74	2.194951	0.547962	2.788964	5.531877
0	75	2.194951	0.503252	2.345329	5.043532
0	76	2.194951	0.450528	1.822182	4.467662
0	77	2.194951	0.424861	1.567502	4.187315
0	78	2.194951	0.515399	2.465859	5.176210
0	79	2.194951	0.553776	2.846652	5.595379
0	80	2.194951	0.424861	1.567502	4.187315
0	81	2.194951	0.520752	2.518978	5.234681
0	82	2.194951	0.500336	2.316400	5.011688
0	83	2.194951	0.422302	1.542105	4.159358
0	84	2.194951	0.422302	1.542105	4.159358
0	85	2.194951	0.524533	2.715381	5.434865
0	86	2.194951	0.499921	2.312281	5.007153
0	87	2.194951	0.501406	2.327014	5.023371
0	88	2.194951	0.571868	3.026176	5.792996
0	89	2.194951	0.513926	2.451243	5.160120
0	90	2.194951	0.441064	1.728268	4.364283
0	91	2.194951	0.481150	2.126022	4.802123
0	92	2.194951	0.465985	1.975551	4.636488
0	93	2.194951	0.522520	2.536521	5.253992
0	94	2.194951	0.529111	2.601922	5.325985
0	95	2.194951	0.394768	1.268900	3.858619
0	96	2.194951	0.485778	2.171950	4.852680
0	97	2.194951	0.480332	2.117911	4.793194
0	98	2.194951	0.483524	2.149585	4.828060
0	99	2.194951	0.480144	2.116046	4.791141
1	0	2.169206	0.458346	1.899748	4.527300
1	1	2.169206	0.442079	1.738339	4.349625
1	2	2.169206	0.443201	1.749476	4.361884
1	3	2.169206	0.513804	2.450030	5.133040
1	4	2.169206	0.466678	1.982429	4.618313
1	5	2.169206	0.523615	2.547384	5.240205
1	6	2.169206	0.512588	2.543895	5.225689
1	7	2.169206	0.553485	2.843767	5.566458
1	8	2.169206	0.557213	2.933722	5.660142
1	9	2.169206	0.422420	1.543274	4.134900
1	10	2.169206	0.524265	2.553837	5.247308
1	11	2.169206	0.555544	2.864196	5.588946
1	12	2.169206	0.387697	1.198738	3.755642
1	13	2.169206	0.490365	2.217457	4.877028
1	14	2.169206	0.523615	2.547384	5.240205
1	15	2.169206	0.506756	2.591960	5.267923
1	16	2.169206	0.496987	2.283169	4.949363
1	17	2.169206	0.497333	2.286602	4.953142
1	18	2.169206	0.529924	2.609982	5.309112
1	19	2.169206	0.503853	2.351300	5.024360
1	20	2.169206	0.541542	2.725261	5.436009
1	21	2.169206	0.527646	2.587383	5.284235
1	22	2.169206	0.448538	1.802435	4.420180
1	23	2.169206	0.536523	2.675464	5.381194
1	24	2.169206	0.443201	1.749476	4.361884
1	25	2.169206	0.519871	2.669123	5.358201
1	26	2.169206	0.519871	2.669123	5.358201
1	27	2.169206	0.518136	2.493018	5.180360
1	28	2.169206	0.442079	1.738339	4.349625
1	29	2.169206	0.434552	1.663654	4.267412
1	30	2.169206	0.422661	1.545666	4.137534
1	31	2.169206	0.523947	2.550679	5.243833
1	32	2.169206	0.541227	2.722136	5.432570
1	33	2.169206	0.496987	2.283169	4.949363
1	34	2.169206	0.509880	2.411095	5.090181
1	35	2.169206	0.475409	2.069057	4.713672
1	36	2.169206	0.482857	2.142966	4.795029
1	37	2.169206	0.514626	2.458192	5.142025
1	38	2.169206	0.450692	1.823800	4.443698
1	39	2.169206	0.494781	2.261280	4.925267
1	40	2.169206	0.488482	2.198774	4.856462
1	41	2.169206	0.402343	1.344060	3.915610
1	42	2.169206	0.482857	2.142966	4.795029
1	43	2.169206	0.499022	2.462248	5.130476
1	44	2.169206	0.496987	2.283169	4.949363
1	45	2.169206	0.497013	2.283428	4.949648
1	46	2.169206	0.472882	2.043983	4.686071
1	47	2.169206	0.548334	2.792655	5.510195
1	48	2.169206	0.472882	2.043983	4.686071
