design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
kernel5_deep	hab2hi	6.0	long_weighted	0	1224.1439	6.0170	converged	0.0000	1387.8009	5	corrected	465.6
kernel5_deep	hab2hi	6.0	long_weighted	1	1155.2642	5.9955	converged	0.0000	1308.3430	5	corrected	446.6
kernel5_deep	hab2hi	6.0	long_weighted	2	1135.4056	5.9782	converged	0.0000	1209.3735	5	corrected	453.6
kernel5_deep	hab2hi	6.0	long_weighted	3	901.8124	6.0125	converged	0.0000	1060.5711	5	corrected	462.8
kernel5_deep	hab2hi	6.0	long_weighted	4	1071.5488	6.0174	converged	0.0000	1158.8680	5	corrected	450.5
kernel5_deep	hab2hi	6.0	long_weighted	5	1313.7202	5.9853	converged	1172.9845	2339.8287	5	corrected	446.6
kernel5_deep	hab2hi	6.0	long_weighted	6	1162.3254	6.0390	converged	1092.6422	1241.8241	7	corrected	606.7
kernel5_deep	hab2hi	6.0	long_weighted	7	975.8012	6.0116	converged	0.0000	1118.1039	5	corrected	456.8
kernel5_deep	hab2hi	6.0	long_weighted	8	1139.7847	5.9760	converged	0.0000	2037.1159	4	corrected	379.2
kernel5_deep	hab2hi	6.0	long_weighted	9	1102.8873	6.0224	converged	0.0000	1175.9903	5	corrected	453.5
kernel5_deep	hab2hi	6.0	long_weighted	10	943.8860	6.0082	converged	0.0000	1807.3669	4	corrected	393.1
kernel5_deep	hab2hi	6.0	long_weighted	11	936.4462	6.0009	converged	0.0000	993.7864	6	corrected	545.5
kernel5_deep	hab2hi	6.0	long_weighted	12	1379.8015	5.9765	converged	0.0000	2490.0287	4	corrected	383.4
kernel5_deep	hab2hi	6.0	long_weighted	13	923.6868	5.9740	converged	0.0000	1054.6247	5	corrected	465.8
kernel5_deep	hab2hi	6.0	long_weighted	14	1436.0549	5.9995	converged	0.0000	1586.9083	5	corrected	471.3
kernel5_deep	hab2hi	6.0	long_weighted	15	924.4177	5.9848	converged	0.0000	1878.2339	4	corrected	390.9
kernel5_deep	hab2hi	6.0	long_weighted	16	1364.0721	6.0299	converged	0.0000	2758.2926	4	corrected	395.1
kernel5_deep	hab2hi	6.0	long_weighted	17	1126.2486	6.1285	converged	1119.5122	1126.2486	11	corrected	948.0
kernel5_deep	hab2hi	6.0	long_weighted	18	1035.1141	6.0244	converged	0.0000	1155.0451	5	corrected	461.1
kernel5_deep	hab2hi	6.0	long_weighted	19	1314.1373	5.9906	converged	1197.3941	2170.0961	5	corrected	457.5
kernel5_deep	hab2hi	6.0	long_weighted	20	1253.1494	6.0388	converged	0.0000	2362.6751	4	corrected	390.6
kernel5_deep	hab2hi	6.0	long_weighted	21	1050.6545	6.0305	converged	0.0000	1257.0478	5	corrected	457.9
kernel5_deep	hab2hi	6.0	long_weighted	22	1062.5161	5.9806	converged	0.0000	1220.8726	5	corrected	454.4
kernel5_deep	hab2hi	6.0	long_weighted	23	965.6792	6.0162	converged	0.0000	1898.2981	4	corrected	375.3
kernel5_deep	hab2hi	6.0	long_weighted	24	1151.7059	6.0171	converged	0.0000	2124.6158	4	corrected	376.2
kernel5_deep	hab2hi	6.0	long_weighted	25	624.8603	5.9530	converged	0.0000	801.5887	5	corrected	461.3
kernel5_deep	hab2hi	6.0	long_weighted	26	636.0127	6.0062	converged	0.0000	718.0360	5	corrected	466.9
kernel5_deep	hab2hi	6.0	long_weighted	27	1109.1203	5.9507	converged	1064.3813	1194.5116	7	corrected	627.7
kernel5_deep	hab2hi	6.0	long_weighted	28	1191.1412	5.9947	converged	0.0000	1338.9570	5	corrected	469.2
kernel5_deep	hab2hi	6.0	long_weighted	29	919.2196	6.0119	converged	0.0000	1021.4263	5	corrected	467.3
kernel5_deep	hab2hi	6.0	long_weighted	30	436.9612	6.0182	converged	0.0000	511.4458	6	corrected	539.7
kernel5_deep	hab2hi	6.0	long_weighted	31	786.3138	5.9740	converged	0.0000	1026.2894	5	corrected	454.5
kernel5_deep	hab2hi	6.0	long_weighted	32	1062.1594	5.9683	converged	1053.9062	1074.7354	9	corrected	746.8
kernel5_deep	hab2hi	6.0	long_weighted	33	1042.5704	6.0247	converged	0.0000	1172.5532	5	corrected	459.0
kernel5_deep	hab2hi	6.0	long_weighted	34	1077.3787	6.0462	converged	0.0000	2171.1571	4	corrected	373.8
kernel5_deep	hab2hi	6.0	long_weighted	35	965.5527	5.9863	converged	845.9996	1668.8490	5	corrected	462.7
kernel5_deep	hab2hi	6.0	long_weighted	36	1262.6582	6.0445	converged	0.0000	2370.5828	4	corrected	382.5
kernel5_deep	hab2hi	6.0	long_weighted	37	721.2874	6.0426	converged	0.0000	777.3760	7	corrected	614.3
kernel5_deep	hab2hi	6.0	long_weighted	38	1022.1391	6.0092	converged	971.4792	1107.1874	6	corrected	546.9
kernel5_deep	hab2hi	6.0	long_weighted	39	1334.6278	6.0169	converged	0.0000	2550.2030	4	corrected	389.2
kernel5_deep	hab2hi	6.0	long_weighted	40	1416.8698	5.9919	converged	0.0000	1532.9483	5	corrected	473.7
kernel5_deep	hab2hi	6.0	long_weighted	41	946.4456	6.0364	converged	0.0000	1121.1808	5	corrected	460.6
kernel5_deep	hab2hi	6.0	long_weighted	42	819.1610	6.0247	converged	0.0000	891.4555	6	corrected	550.8
kernel5_deep	hab2hi	6.0	long_weighted	43	1530.5032	6.0100	converged	0.0000	1677.8298	5	corrected	457.7
kernel5_deep	hab2hi	6.0	long_weighted	44	1253.3925	6.0272	converged	0.0000	1326.2997	6	corrected	543.0
kernel5_deep	hab2hi	6.0	long_weighted	45	1403.1342	6.0098	converged	0.0000	2434.3939	4	corrected	391.8
kernel5_deep	hab2hi	6.0	long_weighted	46	795.6993	6.0361	converged	0.0000	1860.5377	4	corrected	385.9
kernel5_deep	hab2hi	6.0	long_weighted	47	1263.0301	5.9962	converged	0.0000	1368.5995	5	corrected	469.8
kernel5_deep	hab2hi	6.0	long_weighted	48	1260.4408	6.0243	converged	0.0000	2298.7517	4	corrected	379.3
kernel5_deep	hab2hi	6.0	long_weighted	49	1008.0292	6.0355	converged	0.0000	1198.7195	5	corrected	455.8
