design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
kernel5_deep	hab2hi	5.5	short_weighted	0	226.5093	5.5332	converged	0.0000	269.9003	6	corrected	556.4
kernel5_deep	hab2hi	5.5	short_weighted	1	306.9768	5.5200	converged	0.0000	378.6294	5	corrected	455.3
kernel5_deep	hab2hi	5.5	short_weighted	2	275.1346	5.5045	converged	0.0000	339.9845	5	corrected	470.2
kernel5_deep	hab2hi	5.5	short_weighted	3	167.2635	5.4704	converged	0.0000	263.8682	5	corrected	469.4
kernel5_deep	hab2hi	5.5	short_weighted	4	150.1607	5.5284	converged	0.0000	226.3471	5	corrected	454.9
kernel5_deep	hab2hi	5.5	short_weighted	5	263.7291	5.4690	converged	242.8615	299.2151	6	corrected	534.0
kernel5_deep	hab2hi	5.5	short_weighted	6	284.0343	5.5180	converged	0.0000	334.4158	5	corrected	450.4
kernel5_deep	hab2hi	5.5	short_weighted	7	99.6016	5.4761	converged	0.0000	117.6166	8	corrected	664.5
kernel5_deep	hab2hi	5.5	short_weighted	8	213.1786	5.4688	converged	155.2633	592.0236	5	corrected	453.2
kernel5_deep	hab2hi	5.5	short_weighted	9	120.3874	5.5038	converged	0.0000	146.5541	7	corrected	600.7
kernel5_deep	hab2hi	5.5	short_weighted	10	62.9253	5.5019	converged	0.0000	309.6379	4	corrected	379.3
kernel5_deep	hab2hi	5.5	short_weighted	11	123.8622	5.5421	converged	0.0000	169.9889	6	corrected	533.8
kernel5_deep	hab2hi	5.5	short_weighted	12	428.9546	5.5308	converged	0.0000	1204.3619	4	corrected	378.7
kernel5_deep	hab2hi	5.5	short_weighted	13	142.2863	5.4826	converged	0.0000	189.2222	5	corrected	453.5
kernel5_deep	hab2hi	5.5	short_weighted	14	420.3877	5.5003	converged	0.0000	519.5468	5	corrected	453.1
kernel5_deep	hab2hi	5.5	short_weighted	15	110.0171	5.5039	converged	0.0000	374.8405	4	corrected	375.3
kernel5_deep	hab2hi	5.5	short_weighted	16	327.1362	5.5331	converged	0.0000	457.2601	5	corrected	450.5
kernel5_deep	hab2hi	5.5	short_weighted	17	311.8360	5.5411	converged	0.0000	365.9445	5	corrected	450.8
kernel5_deep	hab2hi	5.5	short_weighted	18	214.3081	5.4937	converged	0.0000	725.6851	4	corrected	374.0
kernel5_deep	hab2hi	5.5	short_weighted	19	326.1091	5.5005	converged	225.2030	696.9477	5	corrected	465.1
kernel5_deep	hab2hi	5.5	short_weighted	20	280.5199	5.4734	converged	0.0000	985.9903	4	corrected	384.1
kernel5_deep	hab2hi	5.5	short_weighted	21	177.0465	5.5139	converged	0.0000	233.8688	6	corrected	535.9
kernel5_deep	hab2hi	5.5	short_weighted	22	202.3579	5.4846	converged	0.0000	285.1723	5	corrected	456.1
kernel5_deep	hab2hi	5.5	short_weighted	23	116.0298	5.5422	converged	0.0000	424.8083	4	corrected	391.9
kernel5_deep	hab2hi	5.5	short_weighted	24	136.9866	5.5131	converged	0.0000	199.2702	5	corrected	465.4
kernel5_deep	hab2hi	5.5	short_weighted	25	48.6877	5.4753	converged	0.0000	110.6404	5	corrected	462.4
kernel5_deep	hab2hi	5.5	short_weighted	26	0.0000	5.4374	unreachable	0.0000	6.3522	6	corrected	533.5
kernel5_deep	hab2hi	5.5	short_weighted	27	153.5016	5.5497	converged	0.0000	214.1195	6	corrected	527.9
kernel5_deep	hab2hi	5.5	short_weighted	28	268.4976	5.5463	converged	0.0000	382.3002	5	corrected	446.1
kernel5_deep	hab2hi	5.5	short_weighted	29	125.5353	5.5261	converged	0.0000	211.3102	5	corrected	447.7
kernel5_deep	hab2hi	5.5	short_weighted	30	0.0000	5.4538	zero_budget_at_or_above_target	0.0000	20000.0000	2	corrected	225.7
kernel5_deep	hab2hi	5.5	short_weighted	31	96.6600	5.4713	converged	0.0000	150.5770	5	corrected	453.8
kernel5_deep	hab2hi	5.5	short_weighted	32	220.7064	5.5353	converged	0.0000	383.3085	5	corrected	456.6
kernel5_deep	hab2hi	5.5	short_weighted	33	229.9146	5.5383	converged	0.0000	797.5196	4	corrected	378.6
kernel5_deep	hab2hi	5.5	short_weighted	34	230.0143	5.5311	converged	0.0000	745.3346	4	corrected	372.0
kernel5_deep	hab2hi	5.5	short_weighted	35	0.0000	5.4587	zero_budget_at_or_above_target	0.0000	20000.0000	2	corrected	224.7
kernel5_deep	hab2hi	5.5	short_weighted	36	231.8537	5.5494	converged	0.0000	289.0946	5	corrected	451.2
kernel5_deep	hab2hi	5.5	short_weighted	37	160.5614	5.5108	converged	134.8891	211.1104	6	corrected	525.2
kernel5_deep	hab2hi	5.5	short_weighted	38	279.3738	5.5370	converged	0.0000	801.9650	4	corrected	382.5
kernel5_deep	hab2hi	5.5	short_weighted	39	295.8029	5.5406	converged	258.7512	336.7878	6	corrected	521.8
kernel5_deep	hab2hi	5.5	short_weighted	40	339.9942	5.5026	converged	0.0000	384.6490	6	corrected	530.3
kernel5_deep	hab2hi	5.5	short_weighted	41	113.8704	5.4952	converged	0.0000	156.4451	6	corrected	522.2
kernel5_deep	hab2hi	5.5	short_weighted	42	88.0879	5.5154	converged	0.0000	163.7700	5	corrected	468.4
kernel5_deep	hab2hi	5.5	short_weighted	43	452.0529	5.4534	converged	0.0000	542.0039	6	corrected	520.2
kernel5_deep	hab2hi	5.5	short_weighted	44	333.0516	5.4878	converged	0.0000	517.4895	5	corrected	447.9
kernel5_deep	hab2hi	5.5	short_weighted	45	324.2673	5.5056	converged	0.0000	397.4171	5	corrected	457.7
kernel5_deep	hab2hi	5.5	short_weighted	46	62.6385	5.5018	converged	57.7622	69.7531	7	corrected	609.1
kernel5_deep	hab2hi	5.5	short_weighted	47	399.8224	5.5492	converged	0.0000	1193.3456	4	corrected	385.6
kernel5_deep	hab2hi	5.5	short_weighted	48	125.0684	5.5079	converged	0.0000	156.5916	7	corrected	592.8
kernel5_deep	hab2hi	5.5	short_weighted	49	144.0552	5.4776	converged	126.1431	161.2063	7	corrected	629.3
