replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
0	0	2.266956	0.444679	1.764144	4.475779
0	1	2.266956	0.452216	1.838930	4.558102
0	2	2.266956	0.487345	2.187491	4.941792
0	3	2.266956	0.491039	2.383036	5.141030
0	4	2.266956	0.487345	2.187491	4.941792
0	5	2.266956	0.509518	2.407504	5.183977
0	6	2.266956	0.452216	1.838930	4.558102
0	7	2.266956	0.487345	2.187491	4.941792
0	8	2.266956	0.479596	2.110609	4.857161
0	9	2.266956	0.500694	2.372916	5.140566
0	10	2.266956	0.395616	1.277311	3.939882
0	11	2.266956	0.483741	2.151732	4.902428
0	12	2.266956	0.527786	2.747666	5.542408
0	13	2.266956	0.506386	2.376430	5.149772
0	14	2.266956	0.452216	1.838930	4.558102
0	15	2.266956	0.484382	2.158095	4.909433
0	16	2.266956	0.395616	1.277311	3.939882
0	17	2.266956	0.438512	1.702954	4.408422
0	18	2.266956	0.465626	2.342738	5.075320
0	19	2.266956	0.540804	2.770905	5.578665
0	20	2.266956	0.438512	1.702954	4.408422
0	21	2.266956	0.475209	2.067071	4.809235
0	22	2.266956	0.473318	2.048315	4.788589
0	23	2.266956	0.518073	2.704243	5.489271
0	24	2.266956	0.516340	2.475194	5.258489
0	25	2.266956	0.526621	2.577214	5.370791
0	26	2.266956	0.497894	2.292168	5.057018
0	27	2.266956	0.480916	2.123699	4.871571
0	28	2.266956	0.475209	2.067071	4.809235
0	29	2.266956	0.509518	2.407504	5.183977
0	30	2.266956	0.511857	2.430713	5.209525
0	31	2.266956	0.528137	2.592253	5.387345
0	32	2.266956	0.402104	1.341689	4.010748
0	33	2.266956	0.506386	2.376430	5.149772
0	34	2.266956	0.523400	2.545250	5.335606
0	35	2.266956	0.456998	1.886380	4.610334
0	36	2.266956	0.484382	2.158095	4.909433
0	37	2.266956	0.506386	2.376430	5.149772
0	38	2.266956	0.519504	2.506588	5.293047
0	39	2.266956	0.476630	2.081179	4.824765
0	40	2.266956	0.526764	2.578633	5.372353
0	41	2.266956	0.474086	2.055928	4.796969
0	42	2.266956	0.491170	2.225453	4.983579
0	43	2.266956	0.438703	1.704839	4.410498
0	44	2.266956	0.475229	2.067270	4.809454
0	45	2.266956	0.487345	2.187491	4.941792
0	46	2.266956	0.557518	2.883786	5.708259
0	47	2.266956	0.479596	2.110609	4.857161
0	48	2.266956	0.462482	1.940791	4.670229
0	49	2.266956	0.511857	2.430713	5.209525
0	50	2.266956	0.464459	1.960406	4.691820
0	51	2.266956	0.483225	2.146611	4.896791
0	52	2.266956	0.541394	2.723791	5.532141
0	53	2.266956	0.423737	1.556348	4.247041
0	54	2.266956	0.502486	2.337726	5.107167
0	55	2.266956	0.513298	2.656866	5.437120
0	56	2.266956	0.462381	2.257575	4.986911
0	57	2.266956	0.545072	2.760289	5.572316
0	58	2.266956	0.509518	2.407504	5.183977
0	59	2.266956	0.540416	2.714090	5.521461
0	60	2.266956	0.545519	2.764722	5.577196
0	61	2.266956	0.480916	2.123699	4.871571
0	62	2.266956	0.523400	2.545250	5.335606
0	63	2.266956	0.460494	1.921070	4.648520
0	64	2.266956	0.534035	2.650772	5.451762
0	65	2.266956	0.545072	2.760289	5.572316
0	66	2.266956	0.523400	2.545250	5.335606
0	67	2.266956	0.513298	2.656866	5.437120
0	68	2.266956	0.544066	2.750307	5.561329
0	69	2.266956	0.462482	1.940791	4.670229
0	70	2.266956	0.395616	1.277311	3.939882
0	71	2.266956	0.473318	2.048315	4.788589
0	72	2.266956	0.491170	2.225453	4.983579
0	73	2.266956	0.402104	1.341689	4.010748
0	74	2.266956	0.550206	2.811236	5.628398
0	75	2.266956	0.490320	2.217010	4.974285
0	76	2.266956	0.444679	1.764144	4.475779
0	77	2.266956	0.423737	1.556348	4.247041
0	78	2.266956	0.508988	2.402251	5.178195
0	79	2.266956	0.545072	2.760289	5.572316
0	80	2.266956	0.423737	1.556348	4.247041
0	81	2.266956	0.516340	2.475194	5.258489
0	82	2.266956	0.487625	2.190269	4.944849
0	83	2.266956	0.420346	1.522699	4.210001
0	84	2.266956	0.420346	1.522699	4.210001
0	85	2.266956	0.481718	2.343516	5.092190
0	86	2.266956	0.490958	2.223346	4.981260
0	87	2.266956	0.497894	2.292168	5.057018
0	88	2.266956	0.557518	2.883786	5.708259
0	89	2.266956	0.506739	2.379931	5.153626
0	90	2.266956	0.438703	1.704839	4.410498
0	91	2.266956	0.476630	2.081179	4.824765
0	92	2.266956	0.462482	1.940791	4.670229
0	93	2.266956	0.524060	2.551795	5.342810
0	94	2.266956	0.526621	2.577214	5.370791
0	95	2.266956	0.393349	1.254817	3.915121
0	96	2.266956	0.480916	2.123699	4.871571
0	97	2.266956	0.472745	2.042629	4.782330
0	98	2.266956	0.479596	2.110609	4.857161
0	99	2.266956	0.479843	2.113057	4.859856
1	0	2.125409	0.465352	1.969273	4.560034
1	1	2.125409	0.449055	1.807560	4.382023
1	2	2.125409	0.449127	1.808277	4.382813
1	3	2.125409	0.524646	2.557611	5.207666
1	4	2.125409	0.465745	1.973164	4.564317
1	5	2.125409	0.543659	2.746267	5.415334
1	6	2.125409	0.547311	2.782504	5.455224
1	7	2.125409	0.559860	2.907022	5.592290
1	8	2.125409	0.590396	3.210021	5.925826
1	9	2.125409	0.422366	1.542743	4.090518
1	10	2.125409	0.540319	2.713126	5.378854
1	11	2.125409	0.555372	2.862490	5.543270
1	12	2.125409	0.393800	1.259294	3.778503
1	13	2.125409	0.494540	2.258888	4.878837
1	14	2.125409	0.543659	2.746267	5.415334
1	15	2.125409	0.489371	2.472420	5.087200
1	16	2.125409	0.501488	2.327827	4.954724
1	17	2.125409	0.504736	2.360056	4.990201
1	18	2.125409	0.550011	2.809302	5.484722
1	19	2.125409	0.505056	2.416195	5.046659
1	20	2.125409	0.567971	2.987509	5.680889
1	21	2.125409	0.531803	2.628625	5.285836
1	22	2.125409	0.453258	1.849265	4.427931
1	23	2.125409	0.538697	2.697032	5.361138
1	24	2.125409	0.449127	1.808277	4.382813
1	25	2.125409	0.526770	2.790545	5.442724
1	26	2.125409	0.526770	2.790545	5.442724
1	27	2.125409	0.521364	2.525051	5.171824
1	28	2.125409	0.449055	1.807560	4.382023
1	29	2.125409	0.443208	1.749549	4.318166
1	30	2.125409	0.429150	1.610057	4.164616
1	31	2.125409	0.538145	2.691555	5.355109
1	32	2.125409	0.544022	2.802834	5.472264
1	33	2.125409	0.501488	2.327827	4.954724
1	34	2.125409	0.514391	2.455854	5.095653
1	35	2.125409	0.483383	2.148178	4.756969
1	36	2.125409	0.489186	2.205762	4.820356
1	37	2.125409	0.521370	2.525111	5.171889
1	38	2.125409	0.459635	1.912541	4.497585
1	39	2.125409	0.497224	2.285517	4.908149
