design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
kernel5_deep	hab2lo	8.0	flat	0	129.2554	8.0324	converged	0.0000	156.3607	6	corrected	509.4
kernel5_deep	hab2lo	8.0	flat	1	322.3039	8.0175	converged	241.2896	877.3288	5	corrected	432.4
kernel5_deep	hab2lo	8.0	flat	2	107.6993	7.9592	converged	0.0000	115.9168	11	corrected	858.7
kernel5_deep	hab2lo	8.0	flat	3	238.7973	8.0127	converged	0.0000	262.8822	6	corrected	499.9
kernel5_deep	hab2lo	8.0	flat	4	212.2532	8.0288	converged	0.0000	287.7545	5	corrected	429.5
kernel5_deep	hab2lo	8.0	flat	5	208.9119	8.1242	converged	201.3209	208.9119	6	corrected	493.2
kernel5_deep	hab2lo	8.0	flat	6	184.0203	8.0444	converged	0.0000	679.5762	4	corrected	367.6
kernel5_deep	hab2lo	8.0	flat	7	208.1435	8.0228	converged	0.0000	235.5447	6	corrected	516.8
kernel5_deep	hab2lo	8.0	flat	8	264.4468	8.0325	converged	0.0000	349.5508	5	corrected	435.0
kernel5_deep	hab2lo	8.0	flat	9	186.0532	8.0251	converged	0.0000	268.8456	5	corrected	428.8
kernel5_deep	hab2lo	8.0	flat	10	205.7772	8.0050	converged	0.0000	245.3480	5	corrected	428.3
kernel5_deep	hab2lo	8.0	flat	11	191.7321	8.0203	converged	0.0000	241.0950	5	corrected	428.4
kernel5_deep	hab2lo	8.0	flat	12	226.9067	8.0370	converged	203.3277	289.9472	6	corrected	506.8
kernel5_deep	hab2lo	8.0	flat	13	226.0023	7.9560	converged	219.8562	242.6240	8	corrected	637.7
kernel5_deep	hab2lo	8.0	flat	14	240.5638	7.9928	converged	226.6606	266.0586	6	corrected	502.6
kernel5_deep	hab2lo	8.0	flat	15	352.1416	8.0245	converged	0.0000	376.6749	6	corrected	506.2
kernel5_deep	hab2lo	8.0	flat	16	219.1097	8.0004	converged	0.0000	258.7571	5	corrected	437.8
kernel5_deep	hab2lo	8.0	flat	17	192.9128	8.0180	converged	0.0000	261.9926	5	corrected	436.5
kernel5_deep	hab2lo	8.0	flat	18	94.1002	8.1053	converged	88.1217	94.1002	8	corrected	640.9
kernel5_deep	hab2lo	8.0	flat	19	252.8954	7.9645	converged	0.0000	301.1920	5	corrected	425.6
kernel5_deep	hab2lo	8.0	flat	20	149.6342	7.9195	converged	149.6342	154.0002	7	corrected	571.7
kernel5_deep	hab2lo	8.0	flat	21	279.3274	8.0247	converged	0.0000	294.5944	6	corrected	507.0
kernel5_deep	hab2lo	8.0	flat	22	78.7131	8.0260	converged	0.0000	94.3990	5	corrected	423.3
kernel5_deep	hab2lo	8.0	flat	23	368.1431	8.0397	converged	0.0000	406.7183	6	corrected	494.9
kernel5_deep	hab2lo	8.0	flat	24	247.1217	8.0457	converged	0.0000	277.3439	6	corrected	493.8
kernel5_deep	hab2lo	8.0	flat	25	156.7727	7.9990	converged	132.1139	549.7207	5	corrected	426.6
