replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
0	0	3.614653	0.528407	2.594936	6.737996
0	1	3.614653	0.596355	3.269145	7.480153
0	2	3.614653	0.661036	3.910939	8.186628
0	3	3.614653	0.643384	3.894684	8.152722
0	4	3.614653	0.661036	3.910939	8.186628
0	5	3.614653	0.537841	2.688540	6.841033
0	6	3.614653	0.596355	3.269145	7.480153
0	7	3.614653	0.661036	3.910939	8.186628
0	8	3.614653	0.552445	2.833452	7.000550
0	9	3.614653	0.533750	3.124623	7.273026
0	10	3.614653	0.600696	3.312220	7.527568
0	11	3.614653	0.618216	3.539022	7.771890
0	12	3.614653	0.484954	2.163768	6.263374
0	13	3.614653	0.645938	3.761132	8.021723
0	14	3.614653	0.596355	3.269145	7.480153
0	15	3.614653	0.539252	2.702540	6.856445
0	16	3.614653	0.600696	3.312220	7.527568
0	17	3.614653	0.638931	3.691604	7.945188
0	18	3.614653	0.514103	2.453001	6.581757
0	19	3.614653	0.649935	3.800798	8.065386
0	20	3.614653	0.638931	3.691604	7.945188
0	21	3.614653	0.506558	2.378134	6.499345
0	22	3.614653	0.528963	2.600453	6.744069
0	23	3.614653	0.577281	3.079882	7.271816
0	24	3.614653	0.481267	2.127185	6.223104
0	25	3.614653	0.460968	1.925769	6.001390
0	26	3.614653	0.549207	2.801317	6.965177
0	27	3.614653	0.638152	3.683878	7.936683
0	28	3.614653	0.506558	2.378134	6.499345
0	29	3.614653	0.537841	2.688540	6.841033
0	30	3.614653	0.568665	2.994395	7.177713
0	31	3.614653	0.503714	2.349916	6.468282
0	32	3.614653	0.488562	2.199573	6.302788
0	33	3.614653	0.645938	3.761132	8.021723
0	34	3.614653	0.520629	2.517753	6.653035
0	35	3.614653	0.609051	3.395121	7.618825
0	36	3.614653	0.539252	2.702540	6.856445
0	37	3.614653	0.645938	3.761132	8.021723
0	38	3.614653	0.532244	3.003754	7.150651
0	39	3.614653	0.519014	2.501726	6.635393
0	40	3.614653	0.646580	3.767507	8.028740
0	41	3.614653	0.471754	2.562434	6.648842
0	42	3.614653	0.521289	2.524308	6.660250
0	43	3.614653	0.488802	2.201953	6.305408
0	44	3.614653	0.554030	2.849173	7.017856
0	45	3.614653	0.661036	3.910939	8.186628
0	46	3.614653	0.473845	2.053537	6.142035
0	47	3.614653	0.552445	2.833452	7.000550
0	48	3.614653	0.484465	2.158914	6.258031
0	49	3.614653	0.568665	2.994395	7.177713
0	50	3.614653	0.697867	4.276399	8.588919
0	51	3.614653	0.518367	2.495307	6.628326
0	52	3.614653	0.544871	2.758299	6.917823
0	53	3.614653	0.500782	2.320821	6.436256
0	54	3.614653	0.634078	3.643449	7.892180
0	55	3.614653	0.608401	3.388671	7.611725
0	56	3.614653	0.463818	2.483683	6.562153
0	57	3.614653	0.534041	2.650835	6.799529
0	58	3.614653	0.537841	2.688540	6.841033
0	59	3.614653	0.653237	4.045417	8.313307
0	60	3.614653	0.541117	2.721047	6.876817
0	61	3.614653	0.638152	3.683878	7.936683
0	62	3.614653	0.520629	2.517753	6.653035
0	63	3.614653	0.718219	4.478346	8.811218
0	64	3.614653	0.565875	2.966710	7.147238
0	65	3.614653	0.534041	2.650835	6.799529
0	66	3.614653	0.520629	2.517753	6.653035
0	67	3.614653	0.608401	3.388671	7.611725
0	68	3.614653	0.657435	3.928177	8.200265
0	69	3.614653	0.484465	2.158914	6.258031
0	70	3.614653	0.600696	3.312220	7.527568
0	71	3.614653	0.528963	2.600453	6.744069
0	72	3.614653	0.521289	2.524308	6.660250
0	73	3.614653	0.488562	2.199573	6.302788
0	74	3.614653	0.581245	3.225140	7.421037
0	75	3.614653	0.538336	2.693454	6.846443
0	76	3.614653	0.528407	2.594936	6.737996
0	77	3.614653	0.500782	2.320821	6.436256
0	78	3.614653	0.586693	3.173279	7.374625
0	79	3.614653	0.534041	2.650835	6.799529
0	80	3.614653	0.500782	2.320821	6.436256
0	81	3.614653	0.481267	2.127185	6.223104
0	82	3.614653	0.570689	3.014476	7.199818
0	83	3.614653	0.626678	3.570025	7.811356
0	84	3.614653	0.626678	3.570025	7.811356
0	85	3.614653	0.623168	3.535194	7.773015
0	86	3.614653	0.615446	3.458581	7.688681
0	87	3.614653	0.549207	2.801317	6.965177
0	88	3.614653	0.473845	2.053537	6.142035
0	89	3.614653	0.586090	3.326179	7.526922
0	90	3.614653	0.488802	2.201953	6.305408
0	91	3.614653	0.519014	2.501726	6.635393
0	92	3.614653	0.484465	2.158914	6.258031
0	93	3.614653	0.500952	2.322510	6.438115
0	94	3.614653	0.460968	1.925769	6.001390
0	95	3.614653	0.479083	2.105510	6.199246
0	96	3.614653	0.638152	3.683878	7.936683
0	97	3.614653	0.511099	2.423192	6.548944
0	98	3.614653	0.552445	2.833452	7.000550
0	99	3.614653	0.551771	2.826764	6.993188
1	0	3.205334	0.503809	2.827533	6.536676
1	1	3.205334	0.716312	4.459420	8.381066
1	2	3.205334	0.695052	4.248463	8.148848
1	3	3.205334	0.538084	2.690955	6.434373
1	4	3.205334	0.649579	3.797262	7.652175
1	5	3.205334	0.520882	2.520265	6.246480
1	6	3.205334	0.594408	3.620569	7.420310
1	7	3.205334	0.519136	2.502936	6.227405
1	8	3.205334	0.566526	2.973169	6.745029
1	9	3.205334	0.430665	1.625091	5.261090
1	10	3.205334	0.611637	3.420780	7.237751
1	11	3.205334	0.541795	2.727773	6.474902
1	12	3.205334	0.492576	2.239399	5.937309
1	13	3.205334	0.533494	2.645410	6.384238
1	14	3.205334	0.520882	2.520265	6.246480
1	15	3.205334	0.669006	4.201879	8.076218
1	16	3.205334	0.620883	3.512521	7.338737
1	17	3.205334	0.569748	3.005137	6.780219
1	18	3.205334	0.558539	2.893913	6.657785
1	19	3.205334	0.513354	3.028165	6.746853
1	20	3.205334	0.597574	3.281237	7.084145
1	21	3.205334	0.663240	3.932810	7.801384
1	22	3.205334	0.465844	1.974147	5.645324
1	23	3.205334	0.564059	2.948692	6.718085
1	24	3.205334	0.695052	4.248463	8.148848
1	25	3.205334	0.514380	2.455754	6.175468
1	26	3.205334	0.514380	2.455754	6.175468
1	27	3.205334	0.613596	3.440216	7.259145
1	28	3.205334	0.716312	4.459420	8.381066
1	29	3.205334	0.513003	2.442088	6.160425
1	30	3.205334	0.526951	2.580488	6.312773
1	31	3.205334	0.478003	2.094803	5.778140
1	32	3.205334	0.562336	2.931593	6.699262
1	33	3.205334	0.620883	3.512521	7.338737
1	34	3.205334	0.652627	3.986394	7.844355
1	35	3.205334	0.575040	3.057644	6.838017
1	36	3.205334	0.590530	3.211348	7.007212
1	37	3.205334	0.508051	2.392953	6.106339
1	38	3.205334	0.512422	2.436321	6.154077
1	39	3.205334	0.553928	2.848168	6.607430
1	40	3.205334	0.641126	3.713385	7.559845
1	41	3.205334	0.506530	2.377860	6.089724
1	42	3.205334	0.590530	3.211348	7.007212
1	43	3.205334	0.606602	3.370825	7.182761
1	44	3.205334	0.620883	3.512521	7.338737
1	45	3.205334	0.591649	3.222449	7.019432
1	46	3.205334	0.640701	3.709170	7.555204
1	47	3.205334	0.598497	3.290397	7.094228
1	48	3.205334	0.640701	3.709170	7.555204
1	49	3.205334	0.592080	3.226727	7.024141
1	50	3.205334	0.438887	1.706674	5.350896
1	51	3.205334	0.682942	4.128302	8.016578
