replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
0	0	3.804788	0.553826	2.847153	7.205767
0	1	3.804788	0.626582	3.569074	8.000444
0	2	3.804788	0.699065	4.288284	8.792136
0	3	3.804788	0.702350	4.426812	8.933950
0	4	3.804788	0.699065	4.288284	8.792136
0	5	3.804788	0.561287	2.921184	7.287259
0	6	3.804788	0.626582	3.569074	8.000444
0	7	3.804788	0.699065	4.288284	8.792136
0	8	3.804788	0.577113	3.078221	7.460122
0	9	3.804788	0.539273	3.232392	7.576453
0	10	3.804788	0.625952	3.562825	7.993564
0	11	3.804788	0.636228	3.717751	8.158767
0	12	3.804788	0.504871	2.361401	6.671060
0	13	3.804788	0.673778	4.037374	8.515939
0	14	3.804788	0.626582	3.569074	8.000444
0	15	3.804788	0.560834	2.916692	7.282314
0	16	3.804788	0.625952	3.562825	7.993564
0	17	3.804788	0.671040	4.010203	8.486030
0	18	3.804788	0.536383	2.674078	7.015249
0	19	3.804788	0.676343	4.062829	8.543960
0	20	3.804788	0.671040	4.010203	8.486030
0	21	3.804788	0.526079	2.571833	6.902700
0	22	3.804788	0.554395	2.852803	7.211986
0	23	3.804788	0.601453	3.319729	7.725970
0	24	3.804788	0.498299	2.296184	6.599270
0	25	3.804788	0.479379	2.108448	6.392615
0	26	3.804788	0.576062	3.067792	7.448642
0	27	3.804788	0.668744	3.987430	8.460962
0	28	3.804788	0.526079	2.571833	6.902700
0	29	3.804788	0.561287	2.921184	7.287259
0	30	3.804788	0.593121	3.237056	7.634965
0	31	3.804788	0.524276	2.553945	6.883009
0	32	3.804788	0.507354	2.386036	6.698178
0	33	3.804788	0.673778	4.037374	8.515939
0	34	3.804788	0.543792	2.747588	7.096167
0	35	3.804788	0.637654	3.678933	8.121374
0	36	3.804788	0.560834	2.916692	7.282314
0	37	3.804788	0.673778	4.037374	8.515939
0	38	3.804788	0.527089	3.005563	7.337439
0	39	3.804788	0.540763	2.717539	7.063089
0	40	3.804788	0.677041	4.069754	8.551583
0	41	3.804788	0.481899	2.716057	7.002744
0	42	3.804788	0.544434	2.753958	7.103179
0	43	3.804788	0.506761	2.380153	6.691702
0	44	3.804788	0.578696	3.093926	7.477410
0	45	3.804788	0.699065	4.288284	8.792136
0	46	3.804788	0.491808	2.231776	6.528371
0	47	3.804788	0.577113	3.078221	7.460122
0	48	3.804788	0.502751	2.340362	6.647901
0	49	3.804788	0.593121	3.237056	7.634965
0	50	3.804788	0.707412	4.424069	8.936268
0	51	3.804788	0.541538	2.725229	7.071555
0	52	3.804788	0.570009	3.007724	7.382520
0	53	3.804788	0.519809	2.509622	6.834219
0	54	3.804788	0.665838	3.958588	8.429213
0	55	3.804788	0.637295	3.675374	8.117456
0	56	3.804788	0.530158	3.036019	7.370965
0	57	3.804788	0.556323	2.871930	7.233041
0	58	3.804788	0.561287	2.921184	7.287259
0	59	3.804788	0.714918	4.604482	9.124188
0	60	3.804788	0.564433	2.952402	7.321623
0	61	3.804788	0.668744	3.987430	8.460962
0	62	3.804788	0.543792	2.747588	7.096167
0	63	3.804788	0.743377	4.727972	9.276137
0	64	3.804788	0.592152	3.227441	7.624380
0	65	3.804788	0.556323	2.871930	7.233041
0	66	3.804788	0.543792	2.747588	7.096167
0	67	3.804788	0.637295	3.675374	8.117456
0	68	3.804788	0.721629	4.512176	9.038593
0	69	3.804788	0.502751	2.340362	6.647901
0	70	3.804788	0.625952	3.562825	7.993564
0	71	3.804788	0.554395	2.852803	7.211986
0	72	3.804788	0.544434	2.753958	7.103179
0	73	3.804788	0.507354	2.386036	6.698178
0	74	3.804788	0.616238	3.519400	7.940426
0	75	3.804788	0.557044	2.879087	7.240919
0	76	3.804788	0.553826	2.847153	7.205767
0	77	3.804788	0.519809	2.509622	6.834219
0	78	3.804788	0.614434	3.448535	7.867757
