replicate	universe	detection_yr	orbit_yr	char_yr	total_yr
0	0	3.543705	0.527832	2.589227	6.660764
0	1	3.543705	0.595422	3.259891	7.399019
0	2	3.543705	0.659380	3.894512	8.097597
0	3	3.543705	0.644976	3.910477	8.099158
0	4	3.543705	0.659380	3.894512	8.097597
0	5	3.543705	0.538766	2.697723	6.780195
0	6	3.543705	0.595422	3.259891	7.399019
0	7	3.543705	0.659380	3.894512	8.097597
0	8	3.543705	0.552891	2.837877	6.934473
0	9	3.543705	0.514728	2.988842	7.047275
0	10	3.543705	0.602967	3.334753	7.481426
0	11	3.543705	0.586524	3.277522	7.407750
0	12	3.543705	0.491256	2.226305	6.261266
0	13	3.543705	0.647065	3.772317	7.963087
0	14	3.543705	0.595422	3.259891	7.399019
0	15	3.543705	0.544002	2.749671	6.837378
0	16	3.543705	0.602967	3.334753	7.481426
0	17	3.543705	0.639760	3.699834	7.883300
0	18	3.543705	0.513519	2.447208	6.504433
0	19	3.543705	0.650094	3.802370	7.996169
0	20	3.543705	0.639760	3.699834	7.883300
0	21	3.543705	0.507663	2.389102	6.440470
0	22	3.543705	0.529157	2.602375	6.675238
0	23	3.543705	0.577144	3.078529	7.199378
0	24	3.543705	0.482325	2.137679	6.163709
0	25	3.543705	0.460269	1.918835	5.922810
0	26	3.543705	0.549906	2.808258	6.901869
0	27	3.543705	0.639552	3.697767	7.881024
0	28	3.543705	0.507663	2.389102	6.440470
0	29	3.543705	0.538766	2.697723	6.780195
0	30	3.543705	0.568286	2.990634	7.102626
0	31	3.543705	0.504819	2.360881	6.409405
0	32	3.543705	0.488165	2.195629	6.227498
0	33	3.543705	0.647065	3.772317	7.963087
0	34	3.543705	0.521586	2.527250	6.592542
0	35	3.543705	0.611571	3.420130	7.575406
0	36	3.543705	0.544002	2.749671	6.837378
0	37	3.543705	0.647065	3.772317	7.963087
0	38	3.543705	0.501322	2.749895	6.794922
0	39	3.543705	0.519753	2.509063	6.572521
0	40	3.543705	0.644984	3.751665	7.940354
0	41	3.543705	0.457045	2.469445	6.470195
0	42	3.543705	0.520723	2.518690	6.583118
0	43	3.543705	0.489355	2.207435	6.240495
0	44	3.543705	0.555077	2.859567	6.958349
0	45	3.543705	0.659380	3.894512	8.097597
0	46	3.543705	0.473164	2.046787	6.063656
0	47	3.543705	0.552891	2.837877	6.934473
0	48	3.543705	0.484516	2.159428	6.187650
0	49	3.543705	0.568286	2.990634	7.102626
0	50	3.543705	0.693509	4.233157	8.470371
0	51	3.543705	0.517555	2.487256	6.548516
0	52	3.543705	0.544426	2.753883	6.842014
0	53	3.543705	0.501910	2.332016	6.377631
0	54	3.543705	0.635926	3.661785	7.841416
0	55	3.543705	0.610200	3.406526	7.560431
0	56	3.543705	0.463713	2.482647	6.490066
0	57	3.543705	0.534016	2.650584	6.728305
0	58	3.543705	0.538766	2.697723	6.780195
0	59	3.543705	0.689037	4.294709	8.527451
0	60	3.543705	0.540497	2.714894	6.799096
0	61	3.543705	0.639552	3.697767	7.881024
0	62	3.543705	0.521586	2.527250	6.592542
0	63	3.543705	0.722566	4.521470	8.787741
0	64	3.543705	0.564488	2.952943	7.061136
0	65	3.543705	0.534016	2.650584	6.728305
0	66	3.543705	0.521586	2.527250	6.592542
0	67	3.543705	0.610200	3.406526	7.560431
0	68	3.543705	0.656903	3.922895	8.123503
0	69	3.543705	0.484516	2.159428	6.187650
0	70	3.543705	0.602967	3.334753	7.481426
0	71	3.543705	0.529157	2.602375	6.675238
0	72	3.543705	0.520723	2.518690	6.583118
0	73	3.543705	0.488165	2.195629	6.227498
0	74	3.543705	0.579703	3.209841	7.333249
0	75	3.543705	0.540226	2.712211	6.796142
0	76	3.543705	0.527832	2.589227	6.660764
0	77	3.543705	0.501910	2.332016	6.377631
0	78	3.543705	0.585555	3.161984	7.291244
0	79	3.543705	0.534016	2.650584	6.728305
0	80	3.543705	0.501910	2.332016	6.377631
0	81	3.543705	0.482325	2.137679	6.163709
0	82	3.543705	0.570233	3.009955	7.123894
0	83	3.543705	0.633606	3.638771	7.816082
0	84	3.543705	0.633606	3.638771	7.816082
0	85	3.543705	0.621504	3.518685	7.683893
