design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	search_status	bracket_lo	bracket_hi	search_its	scheduler	wall_s
kernel5_deep	hab2lo	8.5	short_weighted	0	479.7101	8.4867	converged	0.0000	566.2192	7	corrected	591.7
kernel5_deep	hab2lo	8.5	short_weighted	1	750.7490	8.5310	converged	722.2337	772.4024	7	corrected	569.9
kernel5_deep	hab2lo	8.5	short_weighted	2	562.8093	8.5162	converged	0.0000	619.7997	7	corrected	580.5
kernel5_deep	hab2lo	8.5	short_weighted	3	774.0965	8.5142	converged	0.0000	804.5760	6	corrected	498.8
kernel5_deep	hab2lo	8.5	short_weighted	4	634.3759	8.5176	converged	0.0000	720.8365	6	corrected	500.2
kernel5_deep	hab2lo	8.5	short_weighted	5	526.7425	8.5360	converged	0.0000	645.7423	6	corrected	498.5
kernel5_deep	hab2lo	8.5	short_weighted	6	603.1358	8.5157	converged	570.3419	723.6260	6	corrected	490.2
kernel5_deep	hab2lo	8.5	short_weighted	7	653.4267	8.5334	converged	637.7872	665.9437	9	corrected	709.4
kernel5_deep	hab2lo	8.5	short_weighted	8	810.6371	8.4962	converged	0.0000	1197.7232	5	corrected	435.1
kernel5_deep	hab2lo	8.5	short_weighted	9	644.8353	8.5083	converged	0.0000	696.1177	7	corrected	580.0
kernel5_deep	hab2lo	8.5	short_weighted	10	693.5073	8.5485	converged	0.0000	728.7140	6	corrected	495.4
kernel5_deep	hab2lo	8.5	short_weighted	11	648.7787	8.5160	converged	0.0000	695.8542	6	corrected	482.0
kernel5_deep	hab2lo	8.5	short_weighted	12	772.5230	8.4954	converged	0.0000	805.9467	6	corrected	498.1
kernel5_deep	hab2lo	8.5	short_weighted	13	812.6352	8.5444	converged	0.0000	952.3124	6	corrected	485.1
kernel5_deep	hab2lo	8.5	short_weighted	14	651.6702	8.4769	converged	630.1824	720.9723	7	corrected	564.0
kernel5_deep	hab2lo	8.5	short_weighted	15	951.7424	8.5185	converged	0.0000	1002.1670	7	corrected	571.3
kernel5_deep	hab2lo	8.5	short_weighted	16	755.4101	8.5157	converged	0.0000	919.4864	5	corrected	419.2
kernel5_deep	hab2lo	8.5	short_weighted	17	604.6613	8.5413	converged	0.0000	670.0979	6	corrected	496.8
kernel5_deep	hab2lo	8.5	short_weighted	18	499.7269	8.5318	converged	0.0000	577.5492	6	corrected	490.5
kernel5_deep	hab2lo	8.5	short_weighted	19	808.5537	8.5365	converged	0.0000	1066.4139	5	corrected	401.2
kernel5_deep	hab2lo	8.5	short_weighted	20	496.4617	8.5159	converged	0.0000	529.8165	6	corrected	463.8
kernel5_deep	hab2lo	8.5	short_weighted	21	730.1794	8.5022	converged	0.0000	761.7159	7	corrected	519.8
kernel5_deep	hab2lo	8.5	short_weighted	22	322.3489	8.4934	converged	305.9838	367.0062	8	corrected	572.7
kernel5_deep	hab2lo	8.5	short_weighted	23	1135.5568	8.4985	converged	0.0000	1298.1537	6	corrected	439.2
kernel5_deep	hab2lo	8.5	short_weighted	24	775.5345	8.5379	converged	0.0000	910.9570	6	corrected	438.9
kernel5_deep	hab2lo	8.5	short_weighted	25	583.5015	8.4639	converged	569.4669	697.2988	8	corrected	552.1
kernel5_deep	hab2lo	8.5	short_weighted	26	492.3445	8.5103	converged	0.0000	528.6615	6	corrected	421.9
kernel5_deep	hab2lo	8.5	short_weighted	27	614.0382	8.5195	converged	0.0000	694.4447	6	corrected	419.2
kernel5_deep	hab2lo	8.5	short_weighted	28	741.3170	8.5100	converged	0.0000	831.1559	6	corrected	417.7
kernel5_deep	hab2lo	8.5	short_weighted	29	733.3193	8.4546	converged	0.0000	1055.9115	5	corrected	357.4
kernel5_deep	hab2lo	8.5	short_weighted	30	625.4725	8.5113	converged	0.0000	656.2208	6	corrected	415.3
kernel5_deep	hab2lo	8.5	short_weighted	31	633.9251	8.4503	converged	602.7397	698.8581	7	corrected	475.5
kernel5_deep	hab2lo	8.5	short_weighted	32	1026.0272	8.5207	converged	0.0000	1104.6933	6	corrected	413.2
kernel5_deep	hab2lo	8.5	short_weighted	33	420.1876	8.5165	converged	0.0000	446.2602	6	corrected	420.1
kernel5_deep	hab2lo	8.5	short_weighted	34	673.9494	8.5275	converged	0.0000	714.3830	7	corrected	482.2
kernel5_deep	hab2lo	8.5	short_weighted	35	687.2157	8.5178	converged	0.0000	716.9550	7	corrected	483.9
kernel5_deep	hab2lo	8.5	short_weighted	36	954.8351	8.5203	converged	0.0000	994.4153	7	corrected	478.6
kernel5_deep	hab2lo	8.5	short_weighted	37	818.6271	8.4774	converged	0.0000	932.5463	6	corrected	416.7
kernel5_deep	hab2lo	8.5	short_weighted	38	552.9001	8.5249	converged	0.0000	605.3551	8	corrected	528.3
