design	catalog	target_yr	z	original_point	n	mean_flat	dt_sd_yr	slope_ph_per_yr	solver_amp_ph	raw_rel_sd	corrected_rel_sd
collinear4	hab2hi	3.5	1.044	0	50	132.2	0.0376	20.1	0.8	83.7	83.7
bracewell4	hab2hi	5.5	2.129	1	100	311.4	0.0311	831.2	25.9	51.8	51.1
kernel5_deep	hab2hi	5.5	2.362	0	50	122.9	0.0356	349.2	12.4	53.1	52.1
bracewell4	hab2lo	7.5	3.017	1	100	387.7	0.0435	48.4	2.1	41.5	41.4
kernel5_deep	hab2lo	8.0	3.022	0	50	217.3	0.0351	132.7	4.7	33.5	33.5
collinear4	hab2lo	5.0	3.169	0	50	246.0	0.0318	-116.4	3.7	33.2	33.2
triple6	hab2lo	5.25	3.461	0	50	207.2	0.0298	372.3	11.1	38.0	37.7
bracewell4	hab2hi	5.75	3.909	0	50	605.0	0.0356	437.6	15.6	25.0	24.9
bracewell4	hab2lo	7.75	4.418	0	50	582.7	0.0338	-850.3	28.8	28.1	27.6
triple6	hab2hi	4.0	4.518	1	100	421.6	0.0252	450.7	11.4	24.0	23.9
kernel5_deep	hab2lo	8.5	5.291	0	50	404.7	0.0357	381.7	13.6	23.7	23.5
triple6	hab2lo	5.5	5.488	1	100	357.4	0.0292	-388.9	11.4	23.9	23.6
bracewell4	hab2hi	6.0	5.689	1	300	921.3	0.0302	685.8	20.7	21.1	21.0
collinear4	hab2hi	4.0	5.742	0	50	815.9	0.0246	1876.6	46.1	20.9	20.2
bracewell4	hab2lo	8.0	5.819	1	300	788.3	0.0356	376.9	13.4	21.7	21.6
triple6	hab2hi	4.25	7.047	0	50	687.1	0.0325	356.6	11.6	15.0	14.9
bracewell4	hab2lo	8.25	7.22	0	50	957.8	0.0345	1424.4	49.1	18.6	17.9
kernel5_deep	hab2hi	6.0	7.244	0	50	433.6	0.0441	396.7	17.5	20.9	20.5
collinear4	hab2lo	5.5	7.365	0	50	646.4	0.0238	-1024.7	24.4	20.0	19.7
bracewell4	hab2hi	6.25	7.469	0	50	1191.5	0.0292	1166.9	34.0	16.8	16.6
triple6	hab2lo	5.75	7.516	0	50	525.3	0.0229	-309.2	7.1	18.0	18.0
triple6	hab2lo	6.0	9.543	1	300	712.8	0.0317	346.0	11.0	15.2	15.1
triple6	hab2hi	4.5	9.576	1	300	992.5	0.0284	1143.0	32.4	14.6	14.3
triple6	hab2lo	6.25	11.57	0	50	885.7	0.0243	282.1	6.9	13.4	13.4
triple6	hab2hi	4.75	12.106	0	50	1285.8	0.0252	319.8	8.1	10.2	10.2
