design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	wall_s
bracewell4	hab2hi	5.5	flat	0	223.7345	5.5383	252.0
bracewell4	hab2hi	5.5	flat	1	628.3310	5.5096	202.4
bracewell4	hab2hi	5.5	flat	2	0.0000	5.4843	114.7
bracewell4	hab2hi	5.5	flat	3	310.7353	5.5286	206.8
bracewell4	hab2hi	5.5	flat	4	382.9763	5.5010	243.7
bracewell4	hab2hi	5.5	flat	5	0.0000	5.4984	119.1
bracewell4	hab2hi	5.5	flat	6	0.0000	5.5100	123.2
bracewell4	hab2hi	5.5	flat	7	0.0000	5.4837	126.4
bracewell4	hab2hi	5.5	flat	8	0.0000	5.5403	119.8
bracewell4	hab2hi	5.5	flat	9	386.1599	5.5000	289.9
bracewell4	hab2hi	5.5	flat	10	86.8231	5.4845	207.2
bracewell4	hab2hi	5.5	flat	11	267.6304	5.5303	257.5
bracewell4	hab2hi	5.5	flat	12	276.2870	5.4734	283.5
bracewell4	hab2hi	5.5	flat	13	0.0000	5.4966	121.4
