design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	wall_s
bracewell4	hab2hi	5.5	long_weighted	0	368.4575	5.4735	329.2
bracewell4	hab2hi	5.5	long_weighted	1	950.0012	5.5386	240.8
bracewell4	hab2hi	5.5	long_weighted	2	0.0000	5.4843	124.0
bracewell4	hab2hi	5.5	long_weighted	3	548.0356	5.5100	204.9
bracewell4	hab2hi	5.5	long_weighted	4	833.0918	5.5277	201.0
bracewell4	hab2hi	5.5	long_weighted	5	0.0000	5.4984	119.8
bracewell4	hab2hi	5.5	long_weighted	6	0.0000	5.5100	128.4
bracewell4	hab2hi	5.5	long_weighted	7	0.0000	5.4837	122.5
bracewell4	hab2hi	5.5	long_weighted	8	0.0000	5.5403	123.8
bracewell4	hab2hi	5.5	long_weighted	9	839.6820	5.5041	246.9
bracewell4	hab2hi	5.5	long_weighted	10	140.3012	5.4982	206.4
bracewell4	hab2hi	5.5	long_weighted	11	518.0462	5.5057	256.3
bracewell4	hab2hi	5.5	long_weighted	12	435.0450	5.5243	202.6
bracewell4	hab2hi	5.5	long_weighted	13	0.0000	5.4966	121.8
