design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	wall_s
bracewell4	hab2hi	5.5	short_weighted	0	367.8281	5.4622	212.3
bracewell4	hab2hi	5.5	short_weighted	1	1422.3182	5.4737	202.3
bracewell4	hab2hi	5.5	short_weighted	2	0.0000	5.4843	114.3
bracewell4	hab2hi	5.5	short_weighted	3	708.1944	5.5226	207.0
bracewell4	hab2hi	5.5	short_weighted	4	856.8821	5.5088	203.4
bracewell4	hab2hi	5.5	short_weighted	5	0.0000	5.4984	119.0
bracewell4	hab2hi	5.5	short_weighted	6	0.0000	5.5100	119.6
bracewell4	hab2hi	5.5	short_weighted	7	0.0000	5.4837	128.2
bracewell4	hab2hi	5.5	short_weighted	8	0.0000	5.5403	123.1
bracewell4	hab2hi	5.5	short_weighted	9	947.4773	5.5119	204.6
bracewell4	hab2hi	5.5	short_weighted	10	397.0150	5.5017	164.5
bracewell4	hab2hi	5.5	short_weighted	11	609.4582	5.4888	248.3
bracewell4	hab2hi	5.5	short_weighted	12	619.4823	5.5027	216.6
bracewell4	hab2hi	5.5	short_weighted	13	0.0000	5.4966	119.7
