design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	wall_s
bracewell4	hab2lo	7.5	flat	0	177.3273	7.4930	184.5
bracewell4	hab2lo	7.5	flat	1	60.7790	7.4871	225.0
bracewell4	hab2lo	7.5	flat	2	492.9784	7.4963	257.3
bracewell4	hab2lo	7.5	flat	3	0.0000	7.5044	104.9
bracewell4	hab2lo	7.5	flat	4	94.9921	7.5272	234.4
bracewell4	hab2lo	7.5	flat	5	304.4497	7.4793	180.8
bracewell4	hab2lo	7.5	flat	6	138.3700	7.6315	367.1
bracewell4	hab2lo	7.5	flat	7	241.2621	7.5472	222.2
bracewell4	hab2lo	7.5	flat	8	501.1352	7.5176	249.5
bracewell4	hab2lo	7.5	flat	9	231.9608	7.5384	226.4
bracewell4	hab2lo	7.5	flat	10	138.1778	7.4508	192.9
bracewell4	hab2lo	7.5	flat	11	407.2677	7.5307	219.7
bracewell4	hab2lo	7.5	flat	12	711.7629	7.5498	178.7
bracewell4	hab2lo	7.5	flat	13	195.6612	7.5234	213.8
